load_case,Fx_east_lb,Fz_up_lb,Fy_north_lb,detail
D,0.0,-26834.5,0.0,self_weight_lb=10448.4; solar_roof_ft2=263.8; upper_roof_ft2=335.9; loft_bay_1_ft2=82.2; loft_bay_2_ft2=82.2; loft_bay_3_ft2=141.5; shelf_SH-W_ft2=34.8; shelf_SH-M_ft2=47.1; shelf_SH-E_ft2=17.0; west_wall_ft2=457.8; east_wall_ft2=217.6; east_outer_wall_ft2=240.2; south_wall_ft2=199.5; north_wall_ft2=390.0; clerestory_ft2=58.6; east_canopy_ft2=264.9
EX+,5081.8,0.0,0.0,base_shear_lb=5081.8; seismic_weight_lb=24773.5; Cs=0.2051
EX-,-5081.8,0.0,0.0,base_shear_lb=5081.8; seismic_weight_lb=24773.5; Cs=0.2051
EZ+,0.0,0.0,-5081.8,base_shear_lb=5081.8; seismic_weight_lb=24773.5; Cs=0.2051
EZ-,0.0,0.0,5081.8,base_shear_lb=5081.8; seismic_weight_lb=24773.5; Cs=0.2051
L100,0.0,-40490.3,0.0,
Lr,0.0,-12948.0,0.0,
WX+.ni,9896.7,11268.7,-515.1,
WX+.pi,11512.0,18051.5,-515.1,
WX-.ni,-12506.1,8617.2,-314.4,
WX-.pi,-10890.7,15399.9,-314.4,
WY+.ni,1862.1,8328.5,4565.3,
WY+.pi,3477.5,15111.3,4565.3,
WY-.ni,1862.1,9655.2,-6851.1,
WY-.pi,3477.5,16438.0,-6851.1,
