support,max_compression,max_uplift,max_vertical,max_shear
E-M/B.base,-118.0,0.0,3653.9,398.4
E-M1/B.base,596.9,0.0,13675.3,1262.5
E-N.base,3727.5,0.0,1001.3,184.7
E-S.base,2708.7,0.0,1130.0,391.5
N1.base,6383.0,0.0,11289.5,3510.3
N2.base,1618.8,0.0,22619.4,915.9
S1.base,4769.0,0.0,6915.6,1483.4
S2.base,6410.5,0.0,5816.2,1745.7
S3.base,2082.2,0.0,20113.7,362.3
SW0.base,-354.1,0.0,2327.2,211.4
W1.base,-273.7,0.0,4247.9,272.5
W2.base,270.6,0.0,15999.9,915.1
W3.base,581.6,0.0,16247.3,1928.7
W4.base,8670.2,0.0,10028.1,3587.2
