month,sunrise,sunset,daylight_hours,sunrise_azimuth,sunset_azimuth,noon_elevation
Jan,06:51 PST,17:04 PST,10.222726179166667,114.70270193870783,245.27283888568485,36.21459444010338
Feb,06:31 PST,17:33 PST,11.029754498333334,104.41664461782437,255.65463492678543,44.753874313566335
Mar,06:58 PDT,18:56 PDT,11.954979812777777,91.83088046735662,268.3032751120237,55.318300561714814
Apr,06:19 PDT,19:18 PDT,12.989914148333332,77.65795654911528,282.47505093994187,67.19336904055538
May,05:49 PDT,19:40 PDT,13.842579551111111,66.69317787783257,293.3735043018893,76.2159634428393
Jun,05:40 PDT,19:58 PDT,14.298675576944445,61.28856531950305,298.6925997299909,80.53529275811414
Jul,05:51 PDT,19:58 PDT,14.107266232222221,63.58995848593918,296.34737306914974,78.62232275197368
Aug,06:12 PDT,19:34 PDT,13.372935077222222,72.78824325341088,287.14676109073923,71.05263979072933
Sep,06:32 PDT,18:56 PDT,12.3913224,86.03139730553977,273.91532797121886,59.99184751316295
Oct,06:53 PDT,18:16 PDT,11.394086397777778,99.76888383206398,260.18306960051814,48.47070283505674
Nov,06:19 PST,16:48 PST,10.479740795833333,111.69874600693072,248.24341544229642,38.5842123588165
Dec,06:44 PST,16:44 PST,9.999357518333333,117.44855679295694,242.4832862749005,33.92828615253122
