id,role,from_joint,to_joint,centerline_length_in,section_width_in,section_depth_in
T1.upright.1,upright,L1,U1,93.6432482349228,3.0,3.0
T1.upright.6,upright,L6,U6,93.6432482349228,3.0,3.0
T1.top,top chord,U0,U6,224.25,3.0,3.0
T1.upright.5,upright,L5,U5,93.6432482349228,3.0,3.0
T1.upright.2,upright,L2,U2,93.6432482349228,3.0,3.0
T1.bottom,bottom chord,L0,L6,224.25,3.0,3.0
T1.brace.west,end brace,L0,U1,100.82632872909423,2.5,2.5
T1.upright.4,upright,L4,U4,93.6432482349228,3.0,3.0
T1.upright.0,upright,L0,U0,93.6432482349228,3.0,3.0
T1.brace.east,end brace,U5,L6,100.82632872909423,2.5,2.5
T1.upright.3,upright,L3,U3,93.6432482349228,3.0,3.0
