truss,stage,case,physical_member,maximum_compression_lb,maximum_tension_lb
T1,complete,service40,T1 upper lower chord,668.7502512878398,2328.2051098749216
T1,complete,service40,T1 future floor beam,0.0,681.98289435261
T1,complete,service40,T1 vertical 1,0.0,1280.5544436945465
T1,complete,service40,T1 vertical 2,0.0,1108.0960962378524
T1,complete,service40,T1 vertical 3,49.91360441745666,0.0
T1,complete,service40,T1 vertical 4,0.0,1148.0380676433715
T1,complete,service40,T1 vertical 5,0.0,734.8513827678829
T1,complete,service40,T1 diagonal 6,3289.8962050901687,0.0
T1,complete,service40,T1 diagonal 7,0.0,1313.2752595711495
T1,complete,service40,T1 diagonal 8,0.0,1373.7091827398076
T1,complete,service40,T1 diagonal 9,3394.3073237109174,0.0
T1,complete,service40,T1 future hanger 1,0.0,341.9703419080075
T1,complete,service40,T1 future hanger 2,0.0,1127.2072456911962
T1,complete,service40,T1 future hanger 3,0.0,1406.7858454376803
T1,complete,service40,T1 future hanger 4,0.0,1164.4527054183113
T1,complete,service40,T1 future hanger 5,0.0,219.13059667971976
T1,complete,service40,T1 top / segment 1,3771.9979211461464,182.89802454098646
T1,complete,service_patches,T1 upper lower chord,716.8160144082121,2344.880910945901
T1,complete,service_patches,T1 future floor beam,0.0,727.5225538468904
T1,complete,service_patches,T1 vertical 1,0.0,1298.555812172673
T1,complete,service_patches,T1 vertical 2,0.0,1109.0381464003456
T1,complete,service_patches,T1 vertical 3,52.07099930693564,0.0
T1,complete,service_patches,T1 vertical 4,0.0,1296.6948899343415
T1,complete,service_patches,T1 vertical 5,0.0,845.0925940981177
T1,complete,service_patches,T1 diagonal 6,3342.6513924705177,0.0
T1,complete,service_patches,T1 diagonal 7,0.0,1370.506877415085
T1,complete,service_patches,T1 diagonal 8,0.0,1291.1505424094678
T1,complete,service_patches,T1 diagonal 9,3564.26609486993,0.0
T1,complete,service_patches,T1 future hanger 1,0.0,343.23034525246095
T1,complete,service_patches,T1 future hanger 2,0.0,1130.2736136702476
T1,complete,service_patches,T1 future hanger 3,0.0,1387.6468784944925
T1,complete,service_patches,T1 future hanger 4,0.0,1320.4832062164273
T1,complete,service_patches,T1 future hanger 5,0.0,304.4039863032664
T1,complete,service_patches,T1 top / segment 1,3860.5406242955555,167.50842430448182
T1,complete,typical30,T1 upper lower chord,519.6132419406838,1952.2103722986633
T1,complete,typical30,T1 future floor beam,0.0,571.3766930093403
T1,complete,typical30,T1 vertical 1,0.0,1064.4278181327459
T1,complete,typical30,T1 vertical 2,0.0,910.6514361406549
T1,complete,typical30,T1 vertical 3,48.81547175737273,0.0
T1,complete,typical30,T1 vertical 4,0.0,951.4225652927856
T1,complete,typical30,T1 vertical 5,0.0,620.3979687473324
T1,complete,typical30,T1 diagonal 6,2764.3482806025504,0.0
T1,complete,typical30,T1 diagonal 7,0.0,1118.5117147116307
T1,complete,typical30,T1 diagonal 8,0.0,1123.227318834073
T1,complete,typical30,T1 diagonal 9,2823.455343166699,0.0
T1,complete,typical30,T1 future hanger 1,0.0,277.2731297100119
T1,complete,typical30,T1 future hanger 2,0.0,918.1474716559211
T1,complete,typical30,T1 future hanger 3,0.0,1154.4431036500991
T1,complete,typical30,T1 future hanger 4,0.0,956.6443574527653
T1,complete,typical30,T1 future hanger 5,0.0,205.2302157052688
T1,complete,typical30,T1 top / segment 1,3158.6162967636014,113.74335501539971
T1,complete,storage125_sensitivity,T1 upper lower chord,1566.4177530368631,5512.527443484639
T1,complete,storage125_sensitivity,T1 future floor beam,0.0,1633.3414435418845
T1,complete,storage125_sensitivity,T1 vertical 1,0.0,2857.2039477978515
T1,complete,storage125_sensitivity,T1 vertical 2,0.0,2719.8667756045947
T1,complete,storage125_sensitivity,T1 vertical 3,58.90572197074763,0.0
T1,complete,storage125_sensitivity,T1 vertical 4,0.0,2911.1103517499937
T1,complete,storage125_sensitivity,T1 vertical 5,0.0,1760.7054005671566
T1,complete,storage125_sensitivity,T1 diagonal 6,7907.284191135538,0.0
T1,complete,storage125_sensitivity,T1 diagonal 7,0.0,3275.165755431955
T1,complete,storage125_sensitivity,T1 diagonal 8,0.0,3187.0238882984777
T1,complete,storage125_sensitivity,T1 diagonal 9,8135.186664401999,0.0
T1,complete,storage125_sensitivity,T1 future hanger 1,0.0,541.4774257181942
T1,complete,storage125_sensitivity,T1 future hanger 2,0.0,2837.7985206884505
T1,complete,storage125_sensitivity,T1 future hanger 3,0.0,3547.559658903871
T1,complete,storage125_sensitivity,T1 future hanger 4,0.0,3022.6602247027135
T1,complete,storage125_sensitivity,T1 future hanger 5,0.0,484.53074149118856
T1,complete,storage125_sensitivity,T1 top / segment 1,9158.941518645319,245.3551238178034
T1,complete,live_only,T1 upper lower chord,422.4317695718161,1498.5046269496095
T1,complete,live_only,T1 future floor beam,0.0,447.69814259828524
T1,complete,live_only,T1 vertical 1,0.0,741.9527067259793
T1,complete,live_only,T1 vertical 2,0.0,758.4803208739792
T1,complete,live_only,T1 vertical 3,4.231584879649311,0.0
T1,complete,live_only,T1 vertical 4,0.0,829.6810736599239
T1,complete,live_only,T1 vertical 5,0.0,482.7548297812301
T1,complete,live_only,T1 diagonal 6,2172.888540228851,0.0
T1,complete,live_only,T1 diagonal 7,0.0,923.2425834106436
T1,complete,live_only,T1 diagonal 8,0.0,853.3245714875078
T1,complete,live_only,T1 diagonal 9,2231.002092099614,0.0
T1,complete,live_only,T1 future hanger 1,0.0,93.88568298261116
T1,complete,live_only,T1 future hanger 2,0.0,804.9841303923023
T1,complete,live_only,T1 future hanger 3,0.0,1007.4229715400862
T1,complete,live_only,T1 future hanger 4,0.0,874.4505963682025
T1,complete,live_only,T1 future hanger 5,0.0,124.89418607382187
T1,complete,live_only,T1 top / segment 1,2535.0322660164124,30.56409898193547
T1,complete,machine200,T1 upper lower chord,634.8477887923009,2359.4392206791645
T1,complete,machine200,T1 future floor beam,0.0,695.3107325037613
T1,complete,machine200,T1 vertical 1,0.0,1265.4731854420693
T1,complete,machine200,T1 vertical 2,0.0,1098.1755180824814
T1,complete,machine200,T1 vertical 3,49.393406511080094,0.0
T1,complete,machine200,T1 vertical 4,0.0,1176.1700504173498
T1,complete,machine200,T1 vertical 5,0.0,751.7984733862695
