case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N219,-32.0,69.75,150.143,-47.67299816593164,28.276694921394377,8.621487737254018,-60.915123288711165,17.865974368870415,-221.1067617359138
roof_first_service,N233,224.25,69.75,150.143,-12.242025401050546,198.25788127995426,1.9512787993326444,-42.40990992075968,110.51043561730756,-723.9005861975502
roof_first_service,N338,-32.0,69.75,193.643,-31.734089341855462,184.8120795488403,-7.997553142499303,683.3950129476135,-236.63569781018413,-966.6638071098669
roof_first_service,N403,224.25,69.75,193.643,91.64911247591448,50.7967028966351,-2.5752123076100912,-120.15463863149512,-51.623740266803956,-90.14469701853193
strength_roof_first,N219,-32.0,69.75,150.143,-61.80760259453,16.121284560398497,12.29426733429841,-80.78684436258696,27.024513002864676,-324.02405499566765
strength_roof_first,N233,224.25,69.75,150.143,-35.24132518297917,247.3651435890357,2.8599823686513113,-56.09232544994143,154.44022324804396,-947.1878139208715
strength_roof_first,N338,-32.0,69.75,193.643,-32.13241059255226,234.22853877818798,-11.559665949486789,965.3536377744484,-287.08554954869425,-1225.055486091151
strength_roof_first,N403,224.25,69.75,193.643,129.18133775089478,56.85706344530403,-3.594582211262071,-169.26461063845503,-82.62049124291279,-184.50345951631533
lateral_HX,N219,-32.0,69.75,150.143,54.76572666486925,24.69418675670977,2.149128225093387,-38.93452137797286,37.206396268448536,647.456698645085
lateral_HX,N233,224.25,69.75,150.143,187.21508853194086,158.21514570265902,-0.0947145724599651,-31.387570615542494,-22.109445996765963,-108.10295176662937
lateral_HX,N338,-32.0,69.75,193.643,-172.61029300039138,256.9258166226185,-0.7961182185561423,211.7172218528302,-347.48119207436355,1213.7142669022255
lateral_HX,N403,224.25,69.75,193.643,-69.37052144613057,22.308209556700408,-1.258295111123161,-52.028137127354505,-14.324521236550817,673.7745761283708
strength_lateral_HX_1,N219,-32.0,69.75,150.143,47.53113090597274,39.25489868675055,2.8991848033755643,-47.2731994274811,37.986919095432036,632.5833292654848
strength_lateral_HX_1,N233,224.25,69.75,150.143,195.04213708152488,193.1388765336846,0.03631723560256675,-37.269337570813995,-10.921209671887661,-213.62949574639754
strength_lateral_HX_1,N338,-32.0,69.75,193.643,-181.93136152398077,287.66121427053736,-1.4143277610450664,275.75641563675106,-393.24698151304756,1052.9109997870235
strength_lateral_HX_1,N403,224.25,69.75,193.643,-60.64190575112467,34.51704085880743,-1.521173842325118,-63.51954137640226,-14.313273298030605,693.9105760714938
strength_lateral_HX_-1,N219,-32.0,69.75,150.143,-134.34628351821974,135.47364751188923,6.1014939588065324,-52.790933770526046,-28.62064563306582,-811.0637972472891
strength_lateral_HX_-1,N233,224.25,69.75,150.143,-101.11756718458832,225.94589954651028,1.536064487837731,-33.311861840562955,145.18004522899923,-1052.6890735255402
strength_lateral_HX_-1,N338,-32.0,69.75,193.643,70.07853983685999,81.16355109464189,-6.004186640706478,492.7138997860321,-155.9424870104685,-2982.550267286888
strength_lateral_HX_-1,N403,224.25,69.75,193.643,165.3853097054754,111.98893221759447,-1.6333709688009668,-74.37731342705845,14.448260443231625,-452.27862488398614
strength_lateral_HX_2,N219,-32.0,69.75,150.143,138.46983811724488,-8.854475728727488,1.298030225297713,-44.51433225594754,71.29070146042567,1354.4068925174379
strength_lateral_HX_2,N233,224.25,69.75,150.143,343.12198921547423,176.7353650247532,-0.7135563917005523,-39.24807543600557,-88.97183712356674,205.90029314242568
strength_lateral_HX_2,N338,-32.0,69.75,193.643,-307.93631220480967,390.9100458714369,0.880601679105622,167.2776735618632,-511.89922876439465,3070.6416333295
strength_lateral_HX_2,N403,224.25,69.75,193.643,-173.6555134786867,-4.218904813194397,-1.4650752838020722,-58.09065535107168,-28.694040171401138,1267.0051765458034
strength_lateral_HX_-2,N219,-32.0,69.75,150.143,-225.28499069142822,183.58302195680258,7.702648542224486,-55.54980095646521,-61.924427930591776,-1532.8873597263005
strength_lateral_HX_-2,N233,224.25,69.75,150.143,-249.197419315702,242.349410971463,2.2859381208461276,-31.333123977643595,223.23067281623585,-1472.218862080016
strength_lateral_HX_-2,N338,-32.0,69.75,193.643,196.0834908216814,-22.085280543755793,-8.29911609465724,601.1926423110922,-37.29023918318931,-5000.280901583837
strength_lateral_HX_-2,N403,224.25,69.75,193.643,278.39891708928064,150.724877975574,-1.6894695269703703,-79.8061994633371,28.829027186578017,-1025.373225873013
lateral_HZ,N219,-32.0,69.75,150.143,-24.03556203739525,56.628968125443116,4.098195630972187,-53.60132432899613,2.1312784272611314,20.02213409387614
lateral_HZ,N233,224.25,69.75,150.143,92.83700150373274,164.7208251226591,-1.0427550203446074,-21.948638339709056,50.60977901872634,-386.8905821022834
lateral_HZ,N338,-32.0,69.75,193.643,-70.73854395347037,184.18490019366524,-2.9718785715680203,340.2397022431425,-291.57497629308835,-485.06244956219143
lateral_HZ,N403,224.25,69.75,193.643,1.937104487103482,56.608665187180215,-0.08356085309252544,-131.77808151028165,-49.784686147636606,355.5042129775747
strength_lateral_HZ_1,N219,-32.0,69.75,150.143,-31.270157148222882,71.1896792855105,4.8482522300295745,-61.94000307859271,2.9118011775134196,5.1487701524786305
strength_lateral_HZ_1,N233,224.25,69.75,150.143,100.66405282017827,199.64455491278466,-0.9117232272147126,-27.830405975790956,61.79801510143168,-492.41711816964795
strength_lateral_HZ_1,N338,-32.0,69.75,193.643,-80.05961354208354,214.9202993519167,-3.590088115189759,404.27889701997054,-337.34076842783315,-645.8657009087088
strength_lateral_HZ_1,N403,224.25,69.75,193.643,10.665717832598713,68.81749679296148,-0.34643956169008017,-143.26948542041347,-49.773440626245204,375.6402252047887
strength_lateral_HZ_-1,N219,-32.0,69.75,150.143,-55.54499559695671,103.53886638355321,4.152426485397204,-38.1241302147908,6.4544716795139045,-183.62924316678468
strength_lateral_HZ_-1,N233,224.25,69.75,150.143,-6.73948205442082,219.4402215359544,2.4841049203062227,-42.75079360092554,72.46081920995752,-773.9014514941648
strength_lateral_HZ_-1,N338,-32.0,69.75,193.643,-31.79321112515248,153.90446669403713,-3.8284262171136945,364.19141480672687,-211.84870593724494,-1283.773555083954
strength_lateral_HZ_-1,N403,224.25,69.75,193.643,94.07768836787642,77.68847573060803,-2.8081052317412714,5.372630727641156,49.90842812374038,-134.0082656848648
strength_lateral_HZ_2,N219,-32.0,69.75,150.143,-19.132738018874985,55.01508565733026,5.196165086278452,-73.84793948385713,1.1404657494425798,99.53777482203677
strength_lateral_HZ_2,N233,224.25,69.75,150.143,154.36582030283756,189.7467218048684,-2.60963731588258,-20.370212200154945,56.46661268758117,-351.67495229212284
strength_lateral_HZ_2,N338,-32.0,69.75,193.643,-104.19281557781444,245.4282157705657,-3.470919047266764,424.3226369411324,-400.08680122482383,-326.91177161538144
strength_lateral_HZ_2,N403,224.25,69.75,193.643,-31.040266557738946,64.3820071222071,0.8843932742989074,-217.59054337092022,-99.61437467096144,630.4644722826488
strength_lateral_HZ_-2,N219,-32.0,69.75,150.143,-67.68241449105928,119.71345997569514,3.8045136533885304,-26.21619397655741,8.225807300479804,-278.01824450252303
strength_lateral_HZ_-2,N233,224.25,69.75,150.143,-60.441249024734404,229.33805422746119,4.182019007920199,-50.21098746236903,77.79222200318358,-914.6436149529196
strength_lateral_HZ_-2,N338,-32.0,69.75,193.643,-7.660008360096019,123.39655048566048,-3.9475953098482264,344.14767644500245,-149.1026718762738,-1602.727483806205
strength_lateral_HZ_-2,N403,224.25,69.75,193.643,135.78367128121408,82.12396565937709,-4.038938080171579,79.69368857234119,99.74936134893265,-388.8325119646876
basic_Droof,N219,-32.0,69.75,150.143,-5.745634031272131,-20.75716373762613,2.3270982591871117,-8.414500024497043,6.634743117481164,-73.44570604050152
