case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N50,224.25,-63.0,120.0,48.52330376489685,237.56289632637294,-3209.063363210481,1054.6092877985507,469.9849567219711,-153.80652403943122
service40,N60,224.25,253.0,228.398,-298.68989070504904,4970.13959723711,2776.5097928494215,10117.011080250144,-973.2318551391363,1173.9835068844259
service40,N70,224.25,0.0,130.311,-8.844131814211794e-13,-9.018562366294113,5.767330448103935e-12,-1.0112194555814792e-11,-4.741584338299017e-14,-2.8527068752096334e-12
service40,N71,224.25,0.0,153.373,152.61409883304765,-1171.867011743526,-188.945532841668,5193.259978521064,622.5157603983673,2976.4484262729356
service40,N72,224.25,0.0,156.373,-0.0072174072265625,24.607338100671768,0.93267822265625,-16.77483367919922,6.2690805332385935,-1.5303497314453125
service40,N154,224.25,0.0,120.0,-331.58374077255877,7847.617024769395,601.3464982244459,-3234.3141765597593,-536.7671678070164,-404.9306783412185
service40,N161,224.25,69.75,120.0,-617.3859279216288,-874.890137194487,-25.57648141767562,99.64457383522898,-3081.9622178492823,9069.489851820517
service40,N169,224.25,122.762,120.0,0.24237923135657966,878.858138392494,524.1315801959291,798.4723021791219,102.68393328327295,-1005.388195401978
service40,N177,224.25,185.0,120.0,-269.6443886959944,-5483.783798796809,698.4119781294648,-193.30317793138238,-2129.87944040236,68008.09084545188
service40,N186,224.25,249.0,120.0,-990.449190589424,1117.6522351061094,-306.3544587415645,3261.609634909856,2022.7680758390204,-13038.759948022464
service40,N188,224.25,253.0,120.0,770.3912386760932,2687.353198517692,347.645275335831,243.70775895010556,-1644.3717442908091,595.8900308049928
service40,N246,224.25,69.75,150.143,2.013544852641644,-30.998073720373213,-0.016201622085645795,-0.017965715378522873,-2.0090870878020723,13.449480361770838
service40,N425,224.25,-0.0,121.5,111.01689206688143,-1547.4045226081628,-307.8151570733528,-3499.8733048877175,-254.2921666623967,-1121.211652214566
