case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N49,224.25,-63.0,120.0,38.69327257629553,104.98439457382887,-2297.491478028632,1232.3819468957709,500.8346332091576,-74.19184521765054
roof_first_service,N59,224.25,253.0,228.398,95.62144430354238,2938.3683478981256,1454.2570599131286,6928.728215288371,-251.7484205365181,-241.970711016329
roof_first_service,N69,224.25,0.0,130.311,9.699122103518238e-13,-9.018562366291757,2.0840165772067364e-12,3.1076650290571365e-12,-3.0088441128705305e-14,4.022656169426229e-12
roof_first_service,N70,224.25,0.0,153.373,100.09342299897774,-1048.6962506053596,-112.99982906774282,3515.690595658242,888.9653860780248,2809.322098287778
roof_first_service,N71,224.25,0.0,156.373,-0.0621337890625,21.78983937203884,0.439056396484375,-7.771251678466797,5.254596992628649,-1.1001548767089844
roof_first_service,N153,224.25,0.0,120.0,-223.75057132783354,5154.797459467965,416.6693497349388,-1943.0012700204325,-9.336105739063896,719.102183396596
roof_first_service,N168,224.25,122.762,120.0,1.4099400215171547,594.0802085172293,362.14100242139716,566.6438702196532,31.364869969166097,103.79867528288885
roof_first_service,N176,224.25,185.0,120.0,4.783843479592235,-1222.4414143688737,694.546066277122,-346.25998905702545,0.12118455488462132,45.127528392651584
roof_first_service,N185,224.25,249.0,120.0,-64.05283236549913,895.6018420787768,-213.97947476242916,3696.3190320037065,598.9272977519947,80.92675605109652
roof_first_service,N187,224.25,253.0,120.0,21.948650711156557,1529.7137494017738,231.18582443036286,152.42742985716444,-80.68447961033877,117.16621696252352
roof_first_service,N233,224.25,69.75,150.143,21.36599591856886,-7.6759431726349865,-2.8994634619557127,-107.75267970683707,-55.61803574001527,708.122455534071
roof_first_service,N361,224.25,-0.0,121.5,83.38896211108772,-1383.0830547993185,-162.20999577908185,-1452.258678204022,48.386217929891544,-470.37827114347664
roof_first_service,N362,224.25,-0.0,150.796,-83.38896251681491,1348.439761560942,162.20999588753673,-3299.845361886642,-48.38621792992535,-1972.5847755385314
roof_first_service,N365,224.25,69.75,152.368,-9.12397047332536,-200.26018973848485,0.9481846225248372,148.05287889250047,-54.89239988006089,-4.522703612011095
roof_first_service,N403,224.25,69.75,193.643,-91.64911335706711,-70.45224778354168,2.5752137899398804,120.15463984012604,51.623740265495144,90.14469718933105
roof_first_service,N464,224.25,249.0,229.319,-164.54701614637494,240.5547874148575,-1544.131457640674,4563.465579335291,-624.624385043581,-3598.651415966564
roof_first_service,N559,224.25,-63.0,122.0,73.72258310838292,1736.3922504214354,1728.3876141333537,-3146.5149458802084,986.4386113765287,-1394.259555711394
roof_first_service,N568,224.25,-0.0,156.677,-15.994476318359375,1354.504209600389,113.02980041503906,-2034.759693145752,826.2853771049995,-288.0542221069336
roof_first_service,N586,224.25,120.0,222.729,243.9853683780511,-21.191967682952676,136.73845271608826,-1668.717464392737,1402.3741505768885,3129.5172649349042
roof_first_service,N587,224.25,122.762,224.25,-4.783843457698822,1119.1582282558084,-694.5460665822029,548.0425301194191,-297.85803592100274,-543.8432126641273
roof_first_service,N593,224.25,150.0,231.911,-146.33970853301608,-126.05395225473154,46.697437594682874,1080.343604576909,-76.88299246387672,4331.562969441672
roof_first_service,N600,224.25,185.0,231.911,-1.409939706325531,-692.3291485235095,-362.14100217819214,-171.95586013793945,56.38697879621759,-261.58647590875626
