case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N148,-32.0,249.0,115.0,-306.9645037225536,310.3841112412152,2.6808493863205696,-889.4683369876467,-1459.3456103310016,-2612.3570031428644
service40,N186,224.25,249.0,120.0,-0.9287043080985313,811.6752446636965,-6.723915658309124,-404.9868536450085,-60.40617734793159,166.12546095177822
service40,N201,50.25,249.0,115.0,-109.48540727652028,112.82696299576837,12.435010686960771,621.4137578737985,525.7573898680355,219.74369478823857
service40,N203,53.25,249.0,115.0,-602.1154553507708,1157.712343345741,-22.186586325399585,-551.0179288427765,-1351.153388126273,10244.977612191842
service40,N229,224.25,249.0,115.0,-318.3813132941723,2941.957783671096,-178.54895186424255,-485.27124214172363,-382.2409573206678,-2523.8930525779724
service40,N482,56.25,249.0,207.0,698.894280294685,440.98447457891587,-4.48123977283318,-48.110363405849846,-24.38499201784775,782.0090630874544
service40,N504,224.25,249.0,117.5,495.44804242253304,-963.7787808608264,156.46310889720917,-1036.4594584703445,-980.3999292049557,5194.5690868496895
service40,N528,224.25,249.0,229.319,183.48158797994145,-859.0809039808286,15.39342221121111,-913.1841705282422,110.72089595540221,-3842.1129271279206
service40,N629,-32.0,249.0,226.093,156.83460454711704,-20.93447670269355,37.996871621836355,-661.9011901518705,-999.4937983783574,1072.9972209288887
service40,N691,50.25,249.0,229.319,288.8386793423943,337.658252007761,-1.1249137222727632,79.6901074756696,-406.5197102772839,1172.6499023790857
service40,N692,53.25,249.0,229.319,-485.621810621009,-153.7789522621843,-11.903625401662628,-147.5058715299243,-781.8754548831254,-2781.132492783344
service_patches,N148,-32.0,249.0,115.0,-391.0661714193489,351.12326748240264,6.946925157398787,-908.370990035665,-1714.5201216159164,-2938.95633603862
service_patches,N186,224.25,249.0,120.0,-1.165749322375632,870.4548453020107,-7.464146525628166,-449.90772678732174,-63.919050928448996,201.0095015822153
service_patches,N201,50.25,249.0,115.0,-236.39603986507908,286.1917968069126,13.178262823474379,668.3252543785384,557.1930745373079,150.1623188842589
service_patches,N203,53.25,249.0,115.0,-695.7051155305252,1486.647031781732,-26.822287360771,-607.9728220746351,-1563.616743585063,14532.454248758693
service_patches,N229,224.25,249.0,115.0,-394.19450837373734,3670.270929530263,-184.74508833885193,-1094.154661655426,-513.0254894951358,-3842.5722178816795
service_patches,N482,56.25,249.0,207.0,904.3948777023488,550.8906995922471,-6.730471553096256,-82.44450179928882,30.53925699818044,1005.6826947237705
service_patches,N504,224.25,249.0,117.5,581.1738467514515,-972.8137602210045,160.5644918680191,-553.9913212060928,-940.6587151857093,5522.474541425705
