case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N5,-32.0,0.0,115.0,66.37136689801342,885.7723841549175,9.706135764972709,95.92495183233706,445.3089917825807,1482.1388006971658
service40,N7,-32.0,0.0,153.373,-234.4101881628248,-452.69172573713655,-11.297290352829759,536.0828639606756,-266.2509087316873,-799.9976062715091
service40,N69,224.25,0.0,115.0,338.90641230696946,699.2358984813449,20.834471228046652,184.72716545490968,407.1417304189947,-1104.0696648989558
service40,N71,224.25,0.0,153.373,-170.86759114388403,-389.73115496331843,-19.24331631353309,355.19973021886597,-178.46641387721752,703.3683458831907
service_patches,N5,-32.0,0.0,115.0,69.83139616113012,886.1250305050071,9.721470510279149,96.37691900011727,460.21549134154355,1477.6875049855244
service_patches,N7,-32.0,0.0,153.373,-226.226734593462,-452.09920007204096,-11.512543623548744,537.5547704602367,-253.9082079936736,-793.2845969594616
service_patches,N69,224.25,0.0,115.0,341.4402623330576,698.6728773146976,22.12606872706606,207.61408629386256,426.6757077602864,-1065.6746558264879
service_patches,N71,224.25,0.0,153.373,-185.04492399923035,-390.11330581297904,-20.33499527942659,380.5398466096273,-174.02046928597048,674.9088217064058
typical30,N5,-32.0,0.0,115.0,-11.380779964495966,645.1836889744064,5.745036573475868,92.67382727374745,376.8407520407269,1207.1240109629978
typical30,N7,-32.0,0.0,153.373,-133.06838831780235,-242.2397423532114,-7.5240439308731695,304.73183507914706,-182.50837766883387,-619.1583142061506
typical30,N69,224.25,0.0,115.0,222.74439113913306,544.8440735613876,13.724680632411726,139.0138299218542,299.85294887220965,-1035.0373916994242
typical30,N71,224.25,0.0,153.373,-78.295222862812,-205.2026182465643,-11.945673049610818,210.6919655169227,-38.31466393116397,447.0475426969476
storage125_sensitivity,N5,-32.0,0.0,115.0,101.14833327957113,913.4431324594467,14.293876132769398,251.650604212409,871.0507265203676,1214.9161974404046
storage125_sensitivity,N7,-32.0,0.0,153.373,-196.79132146260326,-459.7290592496868,-20.63047695491279,742.5676802502564,-49.192320564514084,-710.0136143064806
storage125_sensitivity,N69,224.25,0.0,115.0,441.44852965400287,709.8552885020755,36.428795547511115,395.5157046209554,939.4526242399185,-905.0512060801033
storage125_sensitivity,N71,224.25,0.0,153.373,-345.80554147874676,-420.9839597785585,-30.092194426991846,556.647090667367,-137.55705414645846,699.5558393845631
live_only,N5,-32.0,0.0,115.0,16.365582628316638,13.02150054356616,2.1589351380223607,73.28265001464503,200.34922968789647,-125.75197292816453
live_only,N7,-32.0,0.0,153.373,17.703158809088837,-3.311677464190475,-4.392088877800244,97.16932403813497,102.14536765797038,42.34539755179381
