case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N5,-32.0,0.0,115.0,-48.47260953337303,8756.902736070135,41.466052077503264,-3877.1151371011365,-545.6850100650586,-368.95534318227055
service40,N6,-32.0,0.0,130.311,6.699597411563646e-13,-4.284703844535158,1.575389728544185e-12,5.373334194829734e-12,1.908121013159734e-14,9.33722085817058e-12
service40,N7,-32.0,0.0,153.373,-139.3983911764808,302.46881349233445,-135.2298552745924,1576.4085977202049,-1255.564107302751,-2751.672094597714
service40,N15,-32.0,185.0,115.0,374.98989910300344,4480.041281016307,-473.3987518964814,16005.851040365402,4030.7232047703915,10403.472339453496
service40,N16,-32.0,185.0,116.0,456.68781996938185,-286.38047198847346,-214.314808044135,-10620.281754577309,352.47037527454256,-71872.8231327592
service40,N17,-32.0,185.0,143.183,-3.7924671631141256e-10,-6.232814608970535,-1.006448768435135e-11,-9.19333241291174e-12,-3.705777206198808e-14,1.127634768862755e-09
service40,N18,-32.0,185.0,171.82,-7.113977211661628e-11,-6.395091802957098,-5.307961993968147e-10,3.387756311002692e-10,-2.9411794521643143e-15,1.2153352150417651e-11
service40,N19,-32.0,185.0,200.457,1.5030803818601987e-11,-6.060114361862202,7.9625414363664e-11,-2.365136515281487e-10,-5.411007504829303e-15,-7.723946850055909e-11
service40,N20,-32.0,185.0,226.093,2.91716368496418,149.65513211488724,-5.982299506664276,142.68573416769505,-37.7456467859447,81.17432716826443
service40,N28,-32.0,253.0,115.0,-1.8226062305576016,10.56241540694347,37.05319325259606,42.210666789267854,25.90892633062172,83.45059592914679
service40,N32,-32.0,253.0,226.093,0.20387911424040794,6.665491149760783,-6.982251912355423,126.13287606136873,-13.059384934604168,-6.466087768043508
service40,N77,-32.0,-63.0,115.0,54.47196674472179,-727.7736898652257,2589.3645587206215,3885.7453965158907,715.2370660244252,-296.5968720255192
service40,N79,-32.0,-63.0,117.0,18.028139832096713,-849.377173007214,-2539.8787514107535,-2759.650083263521,335.36315415709396,-328.40260645547096
service40,N126,-32.0,69.75,115.0,53.64796695957663,184.02528809613918,-12.834048912886315,-1069.3154672834487,-1588.2592309488878,1249.5890664603971
service40,N148,-32.0,249.0,115.0,-216.874234018324,365.2531330860916,1107.109599940528,2198.8313148775046,4224.166145506518,9638.791829673151
service40,N149,-32.0,252.0,115.0,1.332592979940058,245.89396252548784,-9.164252158655021,-521.0560227736754,-67.83539772340906,-155.61171099988312
service40,N232,-32.0,69.75,150.143,-11.74420829151859,-1407.8876145146787,27.14804542713682,237.86385819947463,25.502769930302236,354.49148058689025
service40,N247,-32.0,69.75,116.0,229.93386080372625,-143.34307544676187,14.597101524317697,-5.509345300572894,-1527.1866446021158,-2132.51654284762
service40,N368,-32.0,-0.0,117.5,-97.713590695907,-1578.3328700670966,-311.3107502214915,-3411.686166940083,-855.5874551269693,959.9584389448067
service40,N369,-32.0,-0.0,134.148,-5.1960445573238345e-12,-0.928681599147112,-4.674719282544637e-12,8.409352203169838e-12,-1.1398682021935752e-14,6.868347246604175e-12
service40,N370,-32.0,-0.0,150.796,97.71359059329157,1553.7663821851863,311.3107500901354,-6953.716571063863,855.587455127027,2293.513275557066
service40,N371,-32.0,69.75,117.5,-176.1146201400843,330.44990629015956,-27.404503958518035,-1008.8442667470008,-60.975436048772735,3168.2437210926146
service40,N372,-32.0,69.75,142.022,0.0,-2.2816270189359784,0.0,-1.4551915228366852e-11,5.684341886080802e-14,0.0
service40,N380,-32.0,185.0,117.5,-514.1459282466737,-2367.1362549749674,396.4662146667536,19476.102978324267,203.63856246889338,40771.504823254276
service40,N381,-32.0,185.0,144.148,-1.0575233382699965e-09,-1.4865467643550956,-4.378096249026095e-12,-2.4120368811942623e-11,-2.436862074482705e-14,-7.249247986115189e-11
service40,N382,-32.0,185.0,170.797,3.4738587723636698e-09,-1.486546764341163,1.8482953896126568e-09,8.038647237960509e-10,5.711014856204307e-14,-2.7326524950669695e-09
service40,N383,-32.0,185.0,197.445,-1.4123812621123801e-11,-1.0097804336367056,-1.0760606312547695e-12,3.946691479988915e-12,7.22076918582049e-15,5.4336359366701685e-11
service40,N384,-32.0,185.0,207.0,163.60279655456543,-1783.224940776825,327.85513111948967,12678.132680654526,2605.3580770492554,2189.356369931251
service40,N385,-32.0,185.0,224.093,351.8882557928707,3980.9968949014333,-721.6257632986128,15768.477704413299,-2774.021867441384,9088.0260961763
service40,N402,-32.0,69.75,193.643,24.48076394200325,-1358.7820732593536,23.155521154403687,-1239.4927442073822,136.05406377860345,-2878.600557386875
service40,N548,-32.0,69.75,120.0,176.11462038435275,-334.0610894912388,27.404504059617466,940.3330066599301,60.97543604894463,-2727.9571710922755
service40,N549,-32.0,69.75,147.143,-176.1146203843491,336.2414895645343,-27.40450405961019,-196.49255296966294,-60.97543604894463,-2052.321969999939
service40,N601,-32.0,120.0,222.655,100.69739947041755,-98.04123924733791,-38.947904783943464,-649.6835320496989,-326.32960404103716,-2118.9850741382033
service40,N608,-32.0,150.0,226.093,-571.18533454088,-141.23116346156277,-182.376271815386,3582.889947651311,-585.39338998342,-6476.431321270985
service40,N625,-32.0,235.0,226.093,-128.08163017337202,-128.171434722103,24.654755462436327,-2183.592001725578,1509.4992508296893,-5758.463866366593
service40,N629,-32.0,249.0,226.093,-23.712124414213978,554.8096335687286,-229.83069789733943,12474.460679122429,93.17145237171609,-2568.9034913436353
service40,N630,-32.0,250.411,226.093,-3.910058137951394e-09,-1.8780671442743928,2.9916646371430757e-09,1.3728153314838804e-09,8.186380044410197e-10,-6.270520014234774e-13
service40,N631,-32.0,252.0,226.093,-1.3308234214782715,-216.06888434290886,9.09998893737793,-522.4978141784668,67.74532159045339,8.2803715467453
service_patches,N5,-32.0,0.0,115.0,-51.711327244987785,8800.601424108518,41.94692543285419,-3910.9038170977315,-568.8381796599779,-346.4459262978262
service_patches,N6,-32.0,0.0,130.311,9.995347963979687e-13,-4.284703844520077,2.5174270014664204e-12,-5.827238908621286e-12,3.9131492988043206e-15,2.8257739236696856e-13
service_patches,N7,-32.0,0.0,153.373,-139.6440060515888,304.44899639248615,-131.14300197434204,1564.5079939296702,-1280.3185560335405,-2741.6237537609995
