truss,stage,case,physical_member,maximum_compression_lb,maximum_tension_lb
T1,complete,service40,T1 upper lower chord,665.8657351782792,2329.5268571242805
T1,complete,service40,T1 future floor beam,0.0,681.8833246988623
T1,complete,service40,T1 vertical 1,0.0,1275.8092797043712
T1,complete,service40,T1 vertical 2,0.0,1106.621943666536
T1,complete,service40,T1 vertical 3,49.7087273835022,0.0
T1,complete,service40,T1 vertical 4,0.0,1148.6412895857145
T1,complete,service40,T1 vertical 5,0.0,725.8314201626888
T1,complete,service40,T1 diagonal 6,3291.295809728209,0.0
T1,complete,service40,T1 diagonal 7,0.0,1315.3334902522956
T1,complete,service40,T1 diagonal 8,0.0,1371.4701685469256
T1,complete,service40,T1 diagonal 9,3393.0731514310123,0.0
T1,complete,service40,T1 future hanger 1,0.0,340.95800310152146
T1,complete,service40,T1 future hanger 2,0.0,1125.922755924339
T1,complete,service40,T1 future hanger 3,0.0,1406.9286976736807
T1,complete,service40,T1 future hanger 4,0.0,1164.8534843308676
T1,complete,service40,T1 future hanger 5,0.0,208.21754964169145
T1,complete,service40,T1 top / segment 1,3775.7919828150652,176.29173672836907
T1,complete,service_patches,T1 upper lower chord,713.0639731831,2346.636079745963
T1,complete,service_patches,T1 future floor beam,0.0,727.4713399361907
T1,complete,service_patches,T1 vertical 1,0.0,1293.3668154782602
T1,complete,service_patches,T1 vertical 2,0.0,1107.4724775697096
T1,complete,service_patches,T1 vertical 3,51.79649894520542,0.0
T1,complete,service_patches,T1 vertical 4,0.0,1297.1148142611596
T1,complete,service_patches,T1 vertical 5,0.0,834.0118442860157
T1,complete,service_patches,T1 diagonal 6,3344.343406377771,0.0
T1,complete,service_patches,T1 diagonal 7,0.0,1372.7138569439546
T1,complete,service_patches,T1 diagonal 8,0.0,1288.6682104144925
T1,complete,service_patches,T1 diagonal 9,3562.8139262873615,0.0
T1,complete,service_patches,T1 future hanger 1,0.0,342.2551297446815
T1,complete,service_patches,T1 future hanger 2,0.0,1128.9198928099652
T1,complete,service_patches,T1 future hanger 3,0.0,1387.8084128906994
T1,complete,service_patches,T1 future hanger 4,0.0,1320.7336593967132
T1,complete,service_patches,T1 future hanger 5,0.0,292.4650620056057
T1,complete,service_patches,T1 top / segment 1,3865.5840612355796,159.2421103924786
T1,complete,typical30,T1 upper lower chord,516.5341065125746,1953.027327845794
T1,complete,typical30,T1 future floor beam,0.0,571.3466485851599
T1,complete,typical30,T1 vertical 1,0.0,1062.028236310712
T1,complete,typical30,T1 vertical 2,0.0,909.6051447006436
T1,complete,typical30,T1 vertical 3,48.69433376945244,0.0
T1,complete,typical30,T1 vertical 4,0.0,951.6896282279198
T1,complete,typical30,T1 vertical 5,0.0,613.9151166925076
T1,complete,typical30,T1 diagonal 6,2765.5602522272297,0.0
T1,complete,typical30,T1 diagonal 7,0.0,1120.5830548590357
T1,complete,typical30,T1 diagonal 8,0.0,1121.2180842658317
T1,complete,typical30,T1 diagonal 9,2822.077266502135,0.0
T1,complete,typical30,T1 future hanger 1,0.0,276.73064680283534
T1,complete,typical30,T1 future hanger 2,0.0,917.2150313913891
