case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N220,-32.0,69.75,150.143,-45.82527573678444,27.64405540489345,8.4168507068594,-57.15850699702784,18.333035427090316,-202.08423292973194
roof_first_service,N234,224.25,69.75,150.143,-21.8655467768293,191.8872247898552,1.455383177245454,-28.428371468782164,104.53781745631747,-705.5021744840953
roof_first_service,N339,-32.0,69.75,193.643,-41.14961825056045,183.93543357161937,-7.667382144964645,668.038893491478,-243.79289006338794,-937.7828930455788
roof_first_service,N404,224.25,69.75,193.643,108.84044028966186,58.67664486801098,-2.20485066513534,-153.0098443187254,-71.12907334373266,-204.9537031221568
strength_roof_first,N220,-32.0,69.75,150.143,-59.56296529022011,16.019316464264573,12.00290399729162,-75.54914214954252,27.486834099819085,-298.9914406986044
strength_roof_first,N234,224.25,69.75,150.143,-47.91197035253158,239.72006232220338,2.1495926459377634,-36.74178450460036,145.95615873730176,-924.0189808500982
strength_roof_first,N339,-32.0,69.75,193.643,-42.94143608077522,232.2731389680992,-11.098558269132404,943.5571452432033,-297.6408077366109,-1197.8314180492678
strength_roof_first,N404,224.25,69.75,193.643,150.4163710481826,66.55951260101332,-3.0539368513471143,-215.63261963152283,-107.54048160069632,-333.59815517430656
lateral_HX,N220,-32.0,69.75,150.143,59.03318394442771,30.454790319879734,1.5749437300745248,-32.24043388849752,54.454772233128146,689.5013771141696
lateral_HX,N234,224.25,69.75,150.143,275.96995519691774,200.42184545238612,-0.11365532255988547,-27.41607442394618,50.63620965860341,-45.41475660589335
lateral_HX,N339,-32.0,69.75,193.643,-223.90388165931515,270.4159825851748,-1.0255005301887798,188.69869417266054,-325.47287408482435,1339.8719063382607
lateral_HX,N404,224.25,69.75,193.643,-111.0992567619662,-39.1492597280096,-0.4357875463532606,-65.47614123958577,79.58712122224237,1329.422663757602
strength_lateral_HX_1,N220,-32.0,69.75,150.143,52.15444598055557,44.560376404832304,2.3069723027095916,-40.192668400291,55.37778351894474,677.3297108950071
strength_lateral_HX_1,N234,224.25,69.75,150.143,282.4335028861995,234.07159417348652,-0.02414510481518113,-31.787879330488316,61.288384258723966,-147.8070061006883
strength_lateral_HX_1,N339,-32.0,69.75,193.643,-235.35285826427815,301.4277599427302,-1.6101271128613672,251.35123630472216,-371.6867822848203,1188.5613006626763
strength_lateral_HX_1,N404,224.25,69.75,193.643,-99.23508992569899,-25.487700162629768,-0.6726996451627276,-80.06770686069179,76.4541033225271,1332.2587788241653
strength_lateral_HX_-1,N220,-32.0,69.75,150.143,-134.6993015822159,124.70665650984411,6.47737056881504,-55.23414577680901,-44.30164811244297,-823.389706059412
strength_lateral_HX_-1,N234,224.25,69.75,150.143,-204.87093052036386,169.72539056698352,1.0982677188809615,-20.673779531804175,66.53771097489555,-1080.899988177836
strength_lateral_HX_-1,N339,-32.0,69.75,193.643,97.96513868666496,70.71356846382946,-5.405391862448555,500.4792692588709,-182.88011648560104,-3004.2885678143957
