case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N5,-32.0,0.0,115.0,-26.283185260775877,724.617996120684,7.908405328760349,-5.830266558386527,-16.13373696743101,1261.1883251200425
roof_first_service,N7,-32.0,0.0,153.373,-259.5336362061448,-448.5335041160508,-5.528256910688402,398.5770250232435,-354.1805129145193,-957.4276017069394
roof_first_service,N69,224.25,0.0,115.0,251.26194424662594,582.4701763578164,8.848515165584692,28.375788250913516,-31.654644597681106,-928.0514783206507
roof_first_service,N71,224.25,0.0,153.373,34.55487702983793,-374.8747777769811,-11.228663262518781,221.8907631413236,-207.9440900065664,766.3459321696897
strength_roof_first,N5,-32.0,0.0,115.0,-9.830113604478438,961.8020212253836,11.213865736346866,-8.854567531761525,-40.2024460076719,1625.9215268658008
strength_roof_first,N7,-32.0,0.0,153.373,-347.0734442555937,-621.5552110033664,-7.869852540330107,563.5959735585953,-466.77960530817427,-1225.7470696357136
strength_roof_first,N69,224.25,0.0,115.0,337.1800709742379,762.7997178272467,12.508226214601152,40.64879616450519,-40.15928464832525,-1157.1770663564453
strength_roof_first,N71,224.25,0.0,153.373,19.723486608418856,-522.6306593493565,-15.852238984826553,314.89763179027017,-309.7619825682938,1018.0646374267693
lateral_HX,N5,-32.0,0.0,115.0,-372.51605843254697,300.21683007576434,-5.201478324666288,-79.23359370311661,948.1438454172953,-6.10891024648589
lateral_HX,N7,-32.0,0.0,153.373,1075.1328007222985,-163.86994194379852,-5.629901469177618,158.75592517991197,391.17452003421994,-602.4152737021869
lateral_HX,N69,224.25,0.0,115.0,-304.782887823196,617.4103545765419,10.950630245313505,46.3838882884279,807.7397272835605,-1388.288791206565
lateral_HX,N71,224.25,0.0,153.373,-397.8338535817815,-270.0773521330167,-0.11925036188047572,94.70598555266334,628.4829624554088,954.20954775267
strength_lateral_HX_1,N5,-32.0,0.0,115.0,-388.6275498254987,399.0102163607509,-4.481686926563534,-79.47052315134668,955.3380787859909,189.88098636429493
strength_lateral_HX_1,N7,-32.0,0.0,153.373,1041.0426137717445,-211.9191397268248,-6.117580733251441,195.81955844636417,341.2199123848017,-755.4838202643849
strength_lateral_HX_1,N69,224.25,0.0,115.0,-272.36336789689597,701.986636738787,11.775329270175947,48.76012068367018,802.4956538891303,-1552.1414407121165
strength_lateral_HX_1,N71,224.25,0.0,153.373,-380.0516951789365,-308.66184467486863,-1.1760614802514417,114.76978021135724,617.0086817523055,1058.2539746298266
strength_lateral_HX_-1,N5,-32.0,0.0,115.0,195.28965254286325,786.5104187753777,13.119183671935156,76.62736966730998,-869.0072763451552,2161.9977715168893
strength_lateral_HX_-1,N7,-32.0,0.0,153.373,-1450.1248563265244,-364.67123363697823,0.2654295824794799,248.94404073389168,-940.6752021764125,-1081.3387386767954
strength_lateral_HX_-1,N69,224.25,0.0,115.0,661.397606354237,312.92874942807236,-1.878940954627589,-20.24533151999569,-865.424532536887,-414.0903541159017
strength_lateral_HX_-1,N71,224.25,0.0,153.373,593.4375963929394,-154.35206586986268,-11.505671904699893,125.99575547201482,-754.7000480824527,190.27914775530343
strength_lateral_HX_2,N5,-32.0,0.0,115.0,-680.5861510069503,205.26011515377056,-13.28212223465827,-157.51946956105823,1867.5107563592576,-796.1774062121248
strength_lateral_HX_2,N7,-32.0,0.0,153.373,2286.6263488196846,-135.54309277792612,-9.309085874941616,169.25731730246318,982.1674696549283,-592.5563610608051
strength_lateral_HX_2,N69,224.25,0.0,115.0,-739.2438550249584,896.5155803920682,18.602464378743235,83.26284678550584,1636.455747101278,-2121.1669840096647
strength_lateral_HX_2,N71,224.25,0.0,153.373,-866.796340965325,-385.81673407127266,3.9887437374540955,109.15679258094582,1302.863046673829,1492.2413880641946
strength_lateral_HX_-2,N5,-32.0,0.0,115.0,487.2482537248366,980.260519985668,21.919618967909155,154.67631607780007,-1781.1799539148594,3148.0561640932615
strength_lateral_HX_-2,N7,-32.0,0.0,153.373,-2695.708591375475,-441.0472805881366,3.4569347452130157,275.5062818782564,-1581.622759459538,-1244.26619788053
strength_lateral_HX_-2,N69,224.25,0.0,115.0,1128.2780934801035,118.39980576871467,-8.706076063288904,-54.74805762176959,-1699.3846257494686,154.9351891842029
strength_lateral_HX_-2,N71,224.25,0.0,153.373,1080.18224217864,-77.19717646879161,-16.67047711757613,131.60874310259487,-1440.554413001879,-243.70826568189904
lateral_HZ,N5,-32.0,0.0,115.0,-186.75819854180705,447.45638660745715,0.1902336841816359,-44.57107582897145,449.5257962462061,758.421293176975
lateral_HZ,N7,-32.0,0.0,153.373,49.40129746592895,-229.82855057583697,-4.948151681191091,162.7514623306514,87.57991193071119,-780.6021925287354
lateral_HZ,N69,224.25,0.0,115.0,34.71349943075921,456.5135660108673,8.421247706659372,174.08521101380353,379.491993328848,-930.7165364808556
lateral_HZ,N71,224.25,0.0,153.373,102.64340184058373,-190.46151146175998,-3.663328871874494,38.182773660309266,302.61887836869283,582.9556784576267
strength_lateral_HZ_1,N5,-32.0,0.0,115.0,-202.8696899152658,546.2497728984687,0.9100250825732977,-44.80800527511167,456.7200295260428,954.4111898508189
