case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N5,-32.0,0.0,115.0,46.34789483550759,6015.579626398458,18.27075942009469,-1956.2613794392003,170.48928404896196,-113.3854566547534
roof_first_service,N6,-32.0,0.0,130.311,7.341964826643614e-12,-4.2847038445157075,1.353848256809968e-12,-5.35222755036062e-13,1.9427410846879937e-13,-1.1407370981401941e-11
roof_first_service,N7,-32.0,0.0,153.373,-135.68151704984484,286.47425449138973,-155.8412917604728,1720.6326183408964,-899.907792741491,-2626.2986104211304
roof_first_service,N15,-32.0,185.0,115.0,-4.561631625669742,3376.647892312126,-314.82009626397235,3550.751392937938,-332.1677944727228,-567.0719987741805
roof_first_service,N16,-32.0,185.0,143.183,1.324063568628748e-09,-6.344473755967047,5.870488311824855e-11,4.5985642280981066e-10,9.099313614774437e-14,6.391386189046649e-10
roof_first_service,N17,-32.0,185.0,171.82,4.482283554445755e-11,-6.395091802983171,-8.871785567750838e-11,7.704800214121713e-11,1.5461967419941255e-13,-1.7975074165096673e-11
roof_first_service,N18,-32.0,185.0,200.457,-9.169645545486495e-12,-5.854287820589844,-6.426552117456987e-11,-1.3424734374762644e-10,-4.0323865144386225e-14,4.0941201341228255e-12
roof_first_service,N19,-32.0,185.0,224.25,0.3510604202747345,111.18792316317558,-5.345795750617981,112.51179573684931,-1.9040374979376793,21.02719190812786
roof_first_service,N27,-32.0,253.0,115.0,-1.8928744841160854,5.843955968553629,19.984610580020448,18.181353023863775,-4.144414580820578,5.928829795637837
roof_first_service,N31,-32.0,253.0,224.25,269.47481955075637,1741.8295541335829,-761.6201097918674,5269.218248672783,-428.7849782612175,311.0753002116726
roof_first_service,N77,-32.0,-63.0,115.0,27.060370246892617,-491.32761935915414,1570.2953488819167,3091.66719764624,596.3351495988816,-417.53304137095876
roof_first_service,N79,-32.0,-63.0,117.0,20.023819700991226,-250.31896716321535,-1537.4984741492808,-3043.9884064797734,719.4237001588917,-440.60817504720035
roof_first_service,N148,-32.0,249.0,115.0,48.88772211837185,231.50887146149685,630.352387597331,1032.4713056752305,-2182.126566343366,-441.64389327990665
roof_first_service,N149,-32.0,252.0,115.0,1.4328333418615702,170.69528439786944,-6.114629059339892,-340.9782605406044,-12.706853594553882,-55.1927688399182
roof_first_service,N220,-32.0,69.75,150.143,45.825275736377925,-31.38689688003792,-8.41685070578035,57.158506996887354,-18.333035425937293,202.08423293870908
roof_first_service,N305,-32.0,-0.0,117.5,-80.83125667339203,-1432.7066942543995,-187.94253002062564,-1437.3964411091888,-415.12143892601864,425.7598027559676
roof_first_service,N306,-32.0,-0.0,134.148,5.83356230498712e-14,-0.9286815991403675,-1.6889603231127908e-12,1.116602946465089e-12,-1.8643228086425893e-14,1.0129938417745331e-11
roof_first_service,N307,-32.0,-0.0,150.796,80.83125657903659,1408.1402063746204,187.94253006909568,-4820.338038993488,415.12143892617746,2265.5977190548488
roof_first_service,N317,-32.0,185.0,117.5,-36.335259296687134,-2120.49345707525,268.17442913217087,13016.389609473523,60.63874914283879,822.3398286250654
roof_first_service,N318,-32.0,185.0,143.688,5.619706027754963e-10,-1.460839519023437,-5.749684094988001e-10,2.153608269934159e-10,-6.44378894263042e-13,7.35519407965794e-11
roof_first_service,N319,-32.0,185.0,169.875,5.3612588659463266e-11,-1.460839519006314,-2.8964176159114714e-11,-4.8573716472986604e-11,1.3933312291701635e-13,2.165538531031927e-11
roof_first_service,N320,-32.0,185.0,196.062,-3.021373143814155e-12,-0.9923180341901243,-6.455887215624287e-12,-5.335869368076635e-11,4.664115249078403e-14,8.077835264095257e-12
roof_first_service,N321,-32.0,185.0,205.452,-6.061895132064819,-1120.349224805832,379.7946949005127,9195.574689865112,80.37265819311142,638.2677502632141
roof_first_service,N322,-32.0,185.0,222.25,42.347314718360906,3099.2672119005906,-644.8465018102977,12282.249436269185,-139.93247094891606,2451.749090361603
roof_first_service,N339,-32.0,69.75,193.643,41.149618208408356,-203.20321123301983,7.667382597923279,-668.0388934612274,243.79289006313775,937.7828930020332
roof_first_service,N529,-32.0,120.0,222.655,-31.938750294988075,-59.39546331475443,30.27163872326442,-770.5804443835877,-794.0959772655551,-1589.0239047727396
roof_first_service,N535,-32.0,150.0,224.25,-75.4849298377874,-114.94053510802688,-26.71636409546019,2017.0947474836396,261.12598831944797,-3823.190536345736
roof_first_service,N552,-32.0,235.0,224.25,207.2718818439814,-124.22034290353146,-70.66247435975919,-1543.226306615601,262.80330428971587,-4531.307126805032
roof_first_service,N556,-32.0,249.0,224.25,-458.21575381052804,-1070.7271869379354,607.0713389658985,11551.491759013827,416.9740368920963,3175.4739459174502
strength_roof_first,N5,-32.0,0.0,115.0,38.31040711179321,8528.882484556223,25.624197645760432,-2744.11976220009,253.5920814010242,-9.10402328956934
strength_roof_first,N6,-32.0,0.0,130.311,1.9078820339929744e-12,-5.141644613431976,2.1335591062491875e-12,1.670152040149334e-12,1.6928816178583367e-13,-7.397221514927345e-13
