member,truss,role,section,section_key,length_ft,weight_lb,utilization,stage,case,compression_lb,tension_lb,My_lb_in,Mz_lb_in,web_pinned_utilization,base_pinned_utilization
W1,columns/beams,column,HSS4X4X3/16,HSS4x4x0.1875,13.031088913245535,122.75285756277293,0.30755394819227766,complete,strength_roof,11242.290240848992,0,9868.630167278141,2969.880358924179,0.29197247087922,0.2995691565760498
W3,columns/beams,column,HSS4X4X1/2,HSS4x4x0.5,19.091112238949957,412.94075772848754,0.868872143053834,complete,strength_HB0.5,13545.436107901985,0,32422.635126907528,122737.70913957786,0.8588104345716969,0.8475739655334475
W4,columns/beams,column,HSS4X4X1/4,HSS4x4x0.25,19.091112238949957,233.102480437579,0.8215693899337067,PDelta,strength_lateral_HX_-2,16920.329082670447,0,10463.67376004645,24666.04114872605,0.8460288663161322,0.8612603071158438
S1,columns/beams,column,HSS4X4X3/16,HSS4x4x0.1875,10.0,94.2,0.0709511798238163,roof_first,strength_lateral_HZ_-2,844.3817989695294,0,3329.364888554368,2296.901821852421,0.06859391977752252,0.050787476615089644
S2,columns/beams,column,HSS4X4X3/16,HSS4x4x0.1875,10.0,94.2,0.5634801957471923,PDelta,strength_lateral_HZ_-2,16098.080764406659,0,27825.300930313,667.0494531146013,0.5676493910741137,0.5783250769758642
N2,columns/beams,column,HSS4X4X1/4,HSS4x4x0.25,19.2831275376374,235.4469872345527,0.7486990129083279,complete,strength_HB0.75,16456.84659234125,0,19280.135347646836,8443.721933396211,0.745748522542463,0.7117846724189306
S3,columns/beams,column,HSS4X4X3/16,HSS4x4x0.1875,13.031088913245535,122.75285756277293,0.6850141726898464,complete,strength_lateral_HZ_2,18426.257795368983,0,27238.19189085244,4864.871711899297,0.6898238656661003,0.6757404249063065
SW0,columns/beams,column,HSS4X4X3/16,HSS4x4x0.1875,10.0,94.2,0.1787852759418667,PDelta,strength_roof,1.5542999999961467,1345.5184963892534,6168.035072004557,1087.1208217982808,0.19064627146714605,0.1689758787399495
T-SO,columns/beams,beam,W6X8.5,W6X8.5,23.458333333333332,199.39583333333331,0.13767810691427113,roof_first,strength_lateral_HX_-2,0,311.5700760463951,5063.797636714351,3777.827070285955,0.1272852651141345,0.17046138760080728
T-S,TS,chord,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,21.354166666666668,46.97916666666667,0.289272653952506,roof_first,strength_lateral_HX_-2,840.560783687979,988.8216451955959,439.9242442914511,1056.8322462268875,0.23497583542446088,0.25915541295735994
