case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N147,-32.0,249.0,115.0,-147.96177107843027,321.8777489103761,4.595886389791929,228.74730892318044,19.267693646132802,550.0634178208284
roof_first_service,N185,224.25,249.0,120.0,-1.0845102116284595,475.7539990166196,-2.091460635569806,-130.95366542687725,-13.708720552632986,26.70489966273717
roof_first_service,N197,50.25,249.0,115.0,-3.877673762866607,-48.03091908536346,-1.9473987775009312,-97.21544299107333,-79.21401350949178,694.2517042885097
roof_first_service,N199,53.25,249.0,115.0,-32.68324144861892,108.50699963214949,-0.9815125940416587,194.52935040310828,152.70113650481017,617.0184848490036
roof_first_service,N215,224.25,249.0,115.0,45.14447412543814,1073.8788802694871,-150.119282565408,971.7533750513637,346.75561400666993,-523.5021020086666
roof_first_service,N417,56.25,249.0,207.0,164.2767220775475,147.9983686131486,-3.5353874651571755,-9.420791327292138,36.45798048052846,229.72090532282755
roof_first_service,N439,224.25,249.0,117.5,34.53994265643977,-791.1173257593013,148.22509349186794,-1690.3119909808677,-345.3037009090334,-200.12260193326827
roof_first_service,N463,224.25,249.0,229.319,-35.41426954655015,-392.1902314120701,4.757865354550809,-341.10295649054314,-11.785802636150947,1665.7248133163703
roof_first_service,N555,-32.0,249.0,226.093,41.38136197357563,-191.2193361569282,-4.534417436051689,160.92933136010683,49.702343457847235,-1503.5112117722022
roof_first_service,N617,50.25,249.0,229.319,63.04916911824646,42.205959147831905,1.2077009304613504,-21.26512027498052,68.37282107694577,603.6969286713224
roof_first_service,N618,53.25,249.0,229.319,-127.37020394215995,-14.719023743513604,4.422917545247209,15.601469025958087,-104.82319118665036,-996.9170234329358
strength_roof_first,N147,-32.0,249.0,115.0,-177.67907248296058,415.3682314802818,7.217776346872574,332.5510032249152,-3.4496053651349254,691.5132700311198
strength_roof_first,N185,224.25,249.0,120.0,-1.2661961317909476,671.2524150083668,-2.8696829200987355,-180.3750073528729,-17.29731072564805,30.323939282773562
strength_roof_first,N197,50.25,249.0,115.0,9.102463220891806,-76.11694444645119,-2.8495333988942524,-141.78982329669773,-114.55679535292224,826.9271367151218
strength_roof_first,N199,53.25,249.0,115.0,-49.929083929559276,148.76735185737178,-2.0627124699255956,278.8425604668005,200.92367063560576,759.2820835238067
strength_roof_first,N215,224.25,249.0,115.0,57.05547313455281,1464.0590831761738,-210.45610681188157,1393.0196798521185,461.0216266702845,-548.1543602568242
strength_roof_first,N417,56.25,249.0,207.0,213.93866478650338,188.96494744219103,-4.858754669325805,-10.144188449019433,41.708689938329684,298.78112519780666
strength_roof_first,N439,224.25,249.0,117.5,38.483651389562574,-1118.5586588007532,208.1509362332951,-2394.616254289416,-418.5877244011098,-211.52191691889882
strength_roof_first,N463,224.25,249.0,229.319,-40.44888281686666,-581.9348971675819,6.256302207408327,-471.6762473832885,-39.12310107373629,1981.411933757487
strength_roof_first,N555,-32.0,249.0,226.093,36.703696141041455,-258.2932235205726,-7.105047719732292,229.73680837026555,97.0716688335615,-1834.3476136565052
