case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N5,-32.0,0.0,115.0,43.8785071317609,10212.877520569988,50.1329979203947,-4750.754660124382,-933.5769678058804,-1196.6356121479762
service40,N6,-32.0,0.0,130.311,-1.1317899865492193e-12,-4.284703844523062,-5.021999860474661e-13,2.29139989827854e-12,-6.531191466432159e-14,-1.2480648533736052e-12
service40,N7,-32.0,0.0,153.373,-145.8443486581673,373.30567815876566,-79.88489165040664,1618.3494999706745,-1752.0460033895215,-2639.625308894145
service40,N15,-32.0,185.0,115.0,404.85874141720717,5352.81913799446,-884.8836181320207,15305.644064972856,4540.821462086496,10772.13171621257
service40,N16,-32.0,185.0,116.0,467.30924533032504,-7.578016745361742,-37.64112506268269,-2994.411222507347,727.3040885825875,-72744.05913116645
service40,N17,-32.0,185.0,143.183,-4.196677320561651e-09,-6.232814608997582,6.027899867017657e-10,1.0437655041842299e-09,-9.996931124241378e-14,4.124987618007492e-09
service40,N18,-32.0,185.0,171.82,-2.6300378802707104e-09,-6.395091802995349,-7.649480030708842e-10,2.2445135548157351e-10,3.548270734114257e-14,-1.9044434063697522e-09
service40,N19,-32.0,185.0,200.457,5.595068737777386e-11,-6.060114361878515,-3.92222565020908e-11,2.56002501258559e-10,7.773584856655775e-15,-4.324200904968457e-11
service40,N20,-32.0,185.0,226.093,2.952070713043213,126.11154574155807,-13.374664932489395,203.77182187139988,-38.99313881993294,81.02989436232019
service40,N28,-32.0,253.0,115.0,0.056025121312788945,7.4608862221337455,27.42490326419888,-17.77616452760964,25.404349712923256,89.34277349716575
service40,N32,-32.0,253.0,226.093,0.2532214280217886,1.4928003796376288,2.706881197169423,3.2403436948079616,-5.429137349128723,-1.8873209677112754
service40,N77,-32.0,-63.0,115.0,11.964661552901944,-1230.0703092656072,4459.283277263202,6179.656602923901,-319.0892958151182,-256.7167798055678
service40,N79,-32.0,-63.0,117.0,-8.260245387456962,-1962.2987950044007,-4395.877484748802,-1706.2181920121075,-221.95543792699755,30.96987215648187
service40,N126,-32.0,69.75,115.0,52.364039543143384,246.23960301053356,-16.423515998575024,-1248.2947023736945,-1420.4450146873842,1245.1488729370562
service40,N148,-32.0,249.0,115.0,-264.3713329575964,-33.057117704816825,741.6665801514621,-6913.72123558209,6618.499463274218,9956.86449977484
service40,N149,-32.0,252.0,115.0,1.5553973892529562,150.25387621109647,3.5539868273989423,211.49579637879762,-28.206467120353217,-167.92389334969636
service40,N231,-32.0,69.75,150.143,-7.436485813945183,-1508.4075005529448,28.858890856063226,322.04769219411537,44.68479249174226,305.44569039996713
service40,N246,-32.0,69.75,116.0,228.8657818206415,-143.9342536660787,13.71277499885187,-6.971384223844481,-1373.6824856122055,-2152.0281806230923
service40,N367,-32.0,-0.0,117.5,-128.66365137830152,-1751.343988411321,-362.44609972568065,-3857.4336655850943,-883.0425791210212,1578.129371035119
service40,N368,-32.0,-0.0,134.148,2.751018689310458e-12,-0.9286815991373821,6.949215282116682e-13,-4.275384966325582e-12,-1.4486827406302844e-14,-2.7253997298635994e-12
service40,N369,-32.0,-0.0,150.796,128.6636513590864,1726.7775005336937,362.4460995970404,-8210.571670931093,883.0425791211569,2705.855565337266
service40,N370,-32.0,69.75,117.5,-176.33025366044603,392.209054392064,-30.10701316433824,-1178.5492575171497,-46.688142282363174,3181.6943950742716
service40,N371,-32.0,69.75,142.022,-1.8189894035458565e-12,-2.2816270189359784,0.0,1.4551915228366852e-11,0.0,3.637978807091713e-12
service40,N379,-32.0,185.0,117.5,-511.4446108758544,-2826.815642744974,58.84878996297682,5569.738521064403,40.31043013485861,40711.93413948454
service40,N380,-32.0,185.0,144.148,5.255036334684245e-09,-1.4865467643220727,-8.958156085883949e-10,8.250573447266563e-10,-2.1337873332617959e-13,2.735745122444178e-09
service40,N381,-32.0,185.0,170.797,5.714669329043997e-09,-1.4865467643707813,-7.993535435506058e-10,-7.889907919184779e-11,-9.596832894803763e-14,-3.651831500184646e-09
