case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,T1-P001,N246,interface_action,T-W / B-WO; T-W vertical 3,-32.0,69.75,116.0,-281.2298231124878,-130.58916825056076,2.710739016532898,1238.8425693511963,2794.127500240691,854.5152568817139
service40,T1-P002,N370,interface_action,T-W / B-WO; T-W vertical 3,-32.0,69.75,117.5,176.33025217056274,-395.63702085614204,30.10701423883438,1178.5492569804192,46.688142283353955,-3181.6943974494934
service40,T1-P003,N547,interface_action,T-W vertical 3,-32.0,69.75,120.0,-176.330252885521,392.0258376816203,-30.107013688193224,-1103.2817229937434,-46.68814228278113,2740.8687636293294
service40,T1-P004,N371,interface_action,T-W vertical 3,-32.0,69.75,142.022,-5.234370882414188e-13,-2.281627018979308,-5.277533540062207e-13,7.404964370992551e-13,3.6757207700527685e-14,5.110202987472471e-12
service40,T1-P005,N548,interface_action,T-W vertical 3,-32.0,69.75,147.143,176.33025309443474,-401.7950375676155,30.107014060020447,286.08705043792725,46.68814228288829,2045.263295531273
service40,T1-P006,N231,interface_action,T-W vertical 3,-32.0,69.75,150.143,7.436485826969147,1504.6646591126919,-28.85889106988907,-322.047691822052,-44.68479249201482,-305.44569036364555
service40,T1-P007,N401,interface_action,T-W diagonal 10; T-W diagonal 9; T-W top / segment 1; T-W vertical 3,-32.0,69.75,193.643,-11.509890971405742,1370.0812552292334,-25.19093473047806,1155.422393518683,-239.01640640836774,2436.618400457509
service40,T1-P008,N232,interior_applied_load,,-31.0,69.75,150.143,-4.303001333028078e-08,-12.535015394205402,-1.2914949820697075e-07,-2.2278800315689296e-07,-1.3751559890806675e-08,-4.380854079499841e-08
service40,T1-P009,N340,interior_applied_load,,-31.0,69.75,152.643,4.830311558460998e-08,-2.725937537338873,4.892655744860582e-08,1.8348767359881218e-07,9.516898729338881e-12,8.311431238524229e-08
service40,T1-P010,N341,interior_applied_load,,-31.0,69.75,172.143,2.2661484428521625e-14,-5.451875032891402,3.3735673380691304e-14,7.71276153872594e-13,-2.3864716051760832e-15,4.705565963462662e-13
service40,T1-P011,N342,interior_applied_load,,-31.0,69.75,191.643,-5.364418029785156e-07,-2.7259375154972076,-1.430511474609375e-06,-4.76837158203125e-07,0.0,4.172325134277344e-07
