case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,T1-P001,N218,interface_action,T-W vertical 3,-32.0,69.75,150.143,-45.68735732539378,11.848477295037755,8.461993279520371,-22.513483239169883,-6.082165588626903,-197.00144327335724
roof_first_service,T1-P002,N337,interface_action,T-W diagonal 10; T-W diagonal 9; T-W top / segment 1; T-W vertical 3,-32.0,69.75,193.643,9.5312881090294,209.44970367223058,-7.570303022449076,567.8248399231036,-236.0834555237687,-945.3896622711354
roof_first_service,T1-P003,N219,interior_applied_load,,-31.0,69.75,150.143,4.111388225443992e-09,-12.535015361028515,1.2138036414716828e-07,8.931344937356692e-08,2.3771056806188023e-09,-1.6003193214705064e-08
roof_first_service,T1-P004,N276,interior_applied_load,,-31.0,69.75,152.643,-1.8369958356948637e-09,-2.7259375111221336,-3.115417273903948e-08,2.0157139634572756e-08,-2.749282453894913e-12,-8.721322162228529e-09
roof_first_service,T1-P005,N277,interior_applied_load,,-31.0,69.75,172.143,-2.8398095154697974e-15,-5.451875032847886,9.673521039630322e-15,3.442288581749352e-13,4.844762720350263e-16,-1.4894477338269113e-13
roof_first_service,T1-P006,N278,interior_applied_load,,-31.0,69.75,191.643,-5.271063030498624e-09,-2.7259375236490193,1.511064552928154e-07,1.1067174432444205e-07,1.8696851781673086e-11,8.655697159021258e-08
roof_first_service,T1-P007,N493,interior_applied_load,,-31.0,69.75,193.643,1.4846875951741635e-07,-8.965191003563033,-8.583995009048244e-07,-1.231587739295793e-07,-5.781197341272702e-09,1.386046565576949e-07
roof_first_service,T1-P008,N291,interior_applied_load,,-9.979,69.75,164.643,-1.649319747267885e-12,-7.139648788302164,-4.3405572864376045e-14,-3.4067687795374626e-12,2.303401837570774e-13,-3.0873815220263525e-12
roof_first_service,T1-P009,N220,interior_applied_load,,-3.528,69.75,150.143,-7.023317262366735e-13,-17.615506946412225,1.970311452224601e-13,4.631041397152853e-15,7.88985810652929e-12,-1.2520859907486253e-10
roof_first_service,T1-P010,N494,interior_applied_load,,-3.528,69.75,193.643,3.6521317354158903e-13,-17.615506946413188,5.258839608863637e-13,-1.748077352284494e-13,4.733230170197752e-12,5.241327591061365e-12
roof_first_service,T1-P011,N292,interior_applied_load,,11.042,69.75,179.143,7.354140252635764e-13,-7.1396487883094,-2.82453617156914e-13,-5.112577447286911e-13,2.516729366148111e-12,-3.7069152970766555e-12
roof_first_service,T1-P012,N221,interior_applied_load,,24.944,69.75,150.143,1.2525358739056011e-12,-11.206488715241068,-5.65750284231349e-13,-3.733454514955579e-13,-4.344038089604134e-11,2.975681886576869e-10
roof_first_service,T1-P013,N495,interior_applied_load,,24.944,69.75,193.643,5.412907191347456e-13,-11.20648871532096,3.9376242903478834e-11,4.717415825227818e-15,-1.8470322862316274e-10,-1.4793004058043847e-10
roof_first_service,T1-P014,N222,interior_applied_load,,32.062,69.75,150.143,-4.8535997609899795e-08,-8.96519096574098,1.1506191155419287e-07,-5.436844907613647e-08,1.1617469497378882e-12,-1.1143652520195779e-07
roof_first_service,T1-P015,N279,interior_applied_load,,32.062,69.75,152.643,5.229814097976077e-08,-2.725937518864386,-4.7964294568067384e-08,2.084890337628171e-08,-1.1696486562137295e-11,-7.424813681859442e-08
roof_first_service,T1-P016,N280,interior_applied_load,,32.062,69.75,172.143,5.367534223190137e-16,-5.451875032864955,-1.3176296154281368e-13,1.5309357704958634e-12,2.041059655393947e-16,-2.3497109956544865e-13
roof_first_service,T1-P017,N281,interior_applied_load,,32.062,69.75,191.643,-5.817272423491726e-08,-2.7259375454183044,1.0100460348660967e-07,1.281828105326177e-07,-1.1531968816194487e-11,5.585606335789528e-08
roof_first_service,T1-P018,N293,interior_applied_load,,32.062,69.75,193.643,6.483437333973123e-08,-16.14329372972209,2.820465169181674e-07,3.950812848064029e-07,-1.2866138931488537e-10,5.415218838725199e-09
roof_first_service,T1-P019,N223,interior_applied_load,,53.417,69.75,150.143,-3.0918193626431577e-12,-15.689084201387233,7.231513592689141e-14,-9.613072666836615e-14,-2.118790253557846e-12,-1.942682004081166e-12
roof_first_service,T1-P020,N294,interior_applied_load,,53.417,69.75,179.143,4.305280962023643e-12,-7.216556757842485,1.7287394579473373e-13,-1.9421307513288652e-12,9.586478698781745e-14,-4.357890982670158e-13
roof_first_service,T1-P021,N496,interior_applied_load,,53.417,69.75,193.643,2.525996541599282e-14,-15.689084201388665,-6.691077881152397e-13,-1.944378241933507e-12,-6.316419693451401e-12,-2.000181885249095e-11
roof_first_service,T1-P022,N295,interior_applied_load,,74.771,69.75,164.643,7.465226926575321e-12,-7.216556757844077,-1.1612527406784792e-12,3.5316333319868597e-12,3.0747526259674985e-13,-1.7431563930680632e-12
roof_first_service,T1-P023,N224,interior_applied_load,,81.889,69.75,150.143,-2.2514636353421966e-12,-13.447786458331347,1.7488263881029883e-12,4.30718943426307e-14,1.4906314093549625e-11,-1.2431950683620782e-10
roof_first_service,T1-P024,N497,interior_applied_load,,81.889,69.75,193.643,-3.3838897698945414e-13,-13.447786458334749,-1.8013413332472403e-12,-8.563301973031185e-14,4.39733040296992e-12,1.0220671905355536e-12
roof_first_service,T1-P025,N225,interior_applied_load,,96.125,69.75,150.143,1.469667073809181e-07,-16.181747734375254,1.5815287641023862e-07,3.461878518113506e-07,-4.490434745598501e-11,1.7113204819800203e-09
roof_first_service,T1-P026,N282,interior_applied_load,,96.125,69.75,152.643,-5.462439115391719e-09,-2.725937518330848,-1.6408961125871478e-07,-2.7896714011933744e-08,-2.0051461629500755e-11,-2.3022925683033943e-07
roof_first_service,T1-P027,N283,interior_applied_load,,96.125,69.75,172.143,-9.243084327939726e-15,-5.4518750328367585,1.555105641811551e-12,9.945203419192461e-12,-5.430765643239116e-15,-1.185656797746867e-13
roof_first_service,T1-P028,N284,interior_applied_load,,96.125,69.75,191.643,1.4868878003837516e-08,-2.7259375110825967,-9.66273052682709e-08,2.250523678526406e-08,-4.021491052575451e-11,-1.410353692166133e-08
roof_first_service,T1-P029,N498,interior_applied_load,,96.125,69.75,193.643,-1.7422800174482632e-08,-8.965190985240588,8.643733457313292e-08,-3.9119510507757137e-07,7.203337438792446e-11,-1.830025410905018e-08
roof_first_service,T1-P030,N226,interior_applied_load,,110.361,69.75,150.143,-8.24260035353768e-12,-13.44778645834549,-3.143543157999907e-14,-8.445411277979752e-11,-9.16897478208051e-12,3.220185363251225e-12
roof_first_service,T1-P031,N499,interior_applied_load,,110.361,69.75,193.643,5.746969258642695e-13,-13.447786458292413,5.79352923745399e-12,-1.7418605646087414e-14,8.809772802618865e-11,-1.9762937479617898e-10
roof_first_service,T1-P032,N296,interior_applied_load,,117.479,69.75,164.643,3.3420700532292e-13,-7.2165567578321825,-1.0822432002605577e-12,4.672881069816969e-12,-1.4211065873237854e-11,-7.777012800244717e-12
roof_first_service,T1-P033,N227,interior_applied_load,,138.833,69.75,150.143,3.2025860565767815e-12,-15.689084201392252,-3.848439782727574e-13,1.3847597567002794e-13,8.57666168199769e-12,-1.0630135755387276e-10
roof_first_service,T1-P034,N297,interior_applied_load,,138.833,69.75,179.143,-3.781789019256859e-12,-7.216556757849316,-1.6736012390039664e-13,-2.606251471983384e-13,1.0674262589545472e-11,-4.2557833661177295e-14
roof_first_service,T1-P035,N500,interior_applied_load,,138.833,69.75,193.643,-3.135950224213028e-12,-15.689084201388761,1.922788538705505e-13,-2.7133803629327203e-11,-3.5710033809491387e-12,3.2941927639736284e-12
roof_first_service,T1-P036,N228,interior_applied_load,,160.188,69.75,150.143,-9.442270221260429e-08,-8.965190967839803,-1.1446784853319514e-08,3.330185105454575e-08,-9.467734052817469e-11,-1.265158220964402e-07
roof_first_service,T1-P037,N285,interior_applied_load,,160.188,69.75,152.643,7.241829223510795e-08,-2.725937526144123,-3.753058548603894e-08,-9.086581800904469e-08,5.765426008707884e-11,-1.6858349898220347e-07
roof_first_service,T1-P038,N286,interior_applied_load,,160.188,69.75,172.143,1.3835523551850444e-15,-5.451875032853477,3.9113587140018445e-14,-5.534976302687569e-12,-2.021060567151168e-15,-1.9685933329852286e-13
roof_first_service,T1-P039,N287,interior_applied_load,,160.188,69.75,191.643,3.5506535489560065e-09,-2.725937533116735,1.6388485281348952e-07,1.1484450399001922e-07,1.45753509208811e-10,-4.850629231611947e-09
roof_first_service,T1-P040,N298,interior_applied_load,,160.188,69.75,193.643,-1.0855338137169894e-08,-16.143293747533036,-4.698888578645044e-07,3.3805182942069485e-07,-3.3748233692253296e-11,4.9781278171485304e-09
roof_first_service,T1-P041,N229,interior_applied_load,,167.306,69.75,150.143,1.6335017517111908e-12,-11.206488715284056,1.3176364647897458e-12,-3.881892228626518e-13,6.663785289789741e-12,1.6083229718459546e-10
roof_first_service,T1-P042,N501,interior_applied_load,,167.306,69.75,193.643,-1.1791807773531605e-12,-11.206488715276704,-3.5468805045449457e-12,-3.74050617165497e-13,7.246490219734557e-11,3.425478396687767e-11
roof_first_service,T1-P043,N299,interior_applied_load,,181.208,69.75,179.143,4.105133211859401e-12,-7.139648788302986,-1.0288398308508727e-14,-2.2018812169407367e-12,-1.8460072741862814e-12,-9.421098710745933e-12
roof_first_service,T1-P044,N230,interior_applied_load,,195.778,69.75,150.143,-6.057200136586365e-13,-17.615506946411426,7.428200915587308e-14,-3.831373634424172e-14,-9.484512802891675e-12,-1.673412932405012e-11
roof_first_service,T1-P045,N502,interior_applied_load,,195.778,69.75,193.643,-5.818229107378533e-13,-17.615506946412335,1.880922282176955e-13,5.426055645323246e-14,5.3207766400279346e-12,-5.2901320890812957e-14
roof_first_service,T1-P046,N300,interior_applied_load,,202.229,69.75,164.643,6.756193643879294e-12,-7.139648788297696,1.9942978391866163e-13,-5.28406051747409e-12,-1.1961101011957286e-11,-2.1097339577446274e-11
roof_first_service,T1-P047,N231,interior_applied_load,,223.25,69.75,150.143,-1.0979367270490254e-08,-12.535015378598375,-3.759367062495834e-08,8.281605318910185e-08,1.0887283638599254e-09,-2.407226909555118e-08
roof_first_service,T1-P048,N288,interior_applied_load,,223.25,69.75,152.643,-5.310222519801412e-09,-2.7259375257272174,-6.852557801222031e-08,1.2174987665415424e-07,-3.267147336837528e-11,-1.2135811500238286e-08
roof_first_service,T1-P049,N289,interior_applied_load,,223.25,69.75,172.143,1.3849683104131215e-14,-5.451875032842887,-4.564035703196121e-14,4.784208340856338e-12,-4.692058008857228e-15,-1.489875909904067e-12
roof_first_service,T1-P050,N290,interior_applied_load,,223.25,69.75,191.643,-3.1152746077234283e-08,-2.7259375176658622,1.2511971164697044e-07,1.5450409762696182e-07,-3.451487839697034e-11,1.3594205577893703e-07
roof_first_service,T1-P051,N503,interior_applied_load,,223.25,69.75,193.643,3.213068838769928e-09,-8.965191006371006,1.9529146859760575e-07,-3.341684032258475e-08,1.5239019342898401e-10,5.474051765626575e-09
roof_first_service,T1-P052,N232,interface_action,T-E vertical 3,224.25,69.75,150.143,26.252750512082635,246.33007271005607,1.937072371501477,-15.117506530667495,79.5289787456577,-636.3474320666029
roof_first_service,T1-P053,N402,interface_action,T-E diagonal 11; T-E diagonal 12; T-E top / segment 1; T-E vertical 3,224.25,69.75,193.643,9.903318459765282,-5.484895016023282,-2.8287610733858872,-77.83450025395766,-65.85871053596806,119.6849760982102
strength_roof_first,T1-P001,N218,interface_action,T-W vertical 3,-32.0,69.75,150.143,-57.85791410676118,-7.528378703722853,11.90072257458289,-26.52745053773001,-6.566848525679301,-284.7278839046365
strength_roof_first,T1-P002,N337,interface_action,T-W diagonal 10; T-W diagonal 9; T-W top / segment 1; T-W vertical 3,-32.0,69.75,193.643,13.752100870296458,270.18770245735,-10.800570001725887,789.9824038174047,-285.9525937858179,-1140.6385281681557
strength_roof_first,T1-P003,N219,interior_applied_load,,-31.0,69.75,150.143,2.253569819946725e-09,-15.04201842722606,1.2829596732432644e-07,1.0225164389909823e-07,2.4955099143946034e-09,-4.076095205196101e-08
strength_roof_first,T1-P004,N276,interior_applied_load,,-31.0,69.75,152.643,-2.834777561559615e-08,-3.2711250207604845,2.497472466171007e-08,-6.313579473241921e-08,6.171826045661563e-11,-1.9022119915926317e-08
strength_roof_first,T1-P005,N277,interior_applied_load,,-31.0,69.75,172.143,-5.2422613590549745e-15,-6.542250039391116,1.1124479764912706e-14,3.5502967454234937e-13,2.096863601065008e-15,-2.2761499138989547e-13
strength_roof_first,T1-P006,N278,interior_applied_load,,-31.0,69.75,191.643,1.0898859985342124e-07,-3.2711250162078365,-1.0103843733899609e-07,-3.479974940434616e-07,2.6497540705247638e-11,-2.516161526355809e-08
strength_roof_first,T1-P007,N493,interior_applied_load,,-31.0,69.75,193.643,8.281254304268551e-08,-10.758229189464444,-9.633365322193067e-07,-5.824310146159954e-07,-4.8567951046373955e-09,1.005003306218715e-07
strength_roof_first,T1-P008,N291,interior_applied_load,,-9.979,69.75,164.643,-5.136526857325943e-12,-8.567578545958716,1.6390257052166697e-13,-2.804961613424125e-12,-5.6020337902186465e-12,-2.187798370117425e-11
strength_roof_first,T1-P009,N220,interior_applied_load,,-3.528,69.75,150.143,1.57594454316195e-12,-21.138608335700187,-1.115554196188529e-12,-1.5660004782108943e-13,-3.245919911010572e-11,-2.6145034601146316e-10
strength_roof_first,T1-P010,N494,interior_applied_load,,-3.528,69.75,193.643,9.325888697990342e-13,-21.13860833569734,1.152059693136006e-12,-2.0614941900417932e-13,1.0050104198290724e-11,9.271936032756372e-12
strength_roof_first,T1-P011,N292,interior_applied_load,,11.042,69.75,179.143,1.454818599913749e-13,-8.567578545972557,-7.858149078948843e-13,-4.3027442437472726e-13,4.114887988281776e-12,-7.529588253018788e-12
strength_roof_first,T1-P012,N221,interior_applied_load,,24.944,69.75,150.143,3.143952815671889e-13,-13.447786458361396,2.5598514567113984e-12,1.7010836390477102e-13,-3.0414680048073283e-11,-3.149860546054093e-11
strength_roof_first,T1-P013,N495,interior_applied_load,,24.944,69.75,193.643,1.019352340247946e-12,-13.447786458328862,8.737069738669201e-11,3.0126927997662833e-13,-3.8045790582963943e-10,-8.965164547045526e-11
strength_roof_first,T1-P014,N222,interior_applied_load,,32.062,69.75,150.143,-1.984250972419943e-07,-10.758229152826118,-2.388833322264361e-07,-3.3255901255024867e-07,4.113802514592008e-11,2.2085791639980812e-08
strength_roof_first,T1-P015,N279,interior_applied_load,,32.062,69.75,152.643,1.8817782411590103e-07,-3.271125017078157,1.6629256748443393e-07,-1.4828188637169652e-07,-1.6608918657547667e-11,1.015716167548354e-08
strength_roof_first,T1-P016,N280,interior_applied_load,,32.062,69.75,172.143,1.8809916088509534e-15,-6.542250039412436,-1.1048783124373457e-13,1.083321351971646e-12,2.378902320986512e-16,-7.063589028746797e-14
strength_roof_first,T1-P017,N281,interior_applied_load,,32.062,69.75,191.643,7.027861703007288e-08,-3.271125018717587,2.2651614134394649e-07,4.564845653698413e-07,-3.977094991370919e-11,-4.8715056502612875e-08
strength_roof_first,T1-P018,N293,interior_applied_load,,32.062,69.75,193.643,-4.9497956850338384e-08,-19.371952483156445,-5.100707913357376e-07,3.314055333484074e-07,-2.5372655575289485e-10,-1.589832319120744e-07
strength_roof_first,T1-P019,N223,interior_applied_load,,53.417,69.75,150.143,-2.2591596995771621e-13,-18.826901041665145,-2.2514817550735104e-14,-4.733983053513936e-13,-9.039725406012183e-12,-5.762634810620289e-12
strength_roof_first,T1-P020,N294,interior_applied_load,,53.417,69.75,179.143,5.629918473158865e-12,-8.659868109408244,1.336313377631213e-13,-8.903480936510833e-13,2.8628995114830755e-12,-4.537174330889622e-12
strength_roof_first,T1-P021,N496,interior_applied_load,,53.417,69.75,193.643,-2.0873038934006275e-13,-18.82690104166407,-8.751246863854027e-13,6.23863750195759e-13,-1.3085590465704167e-11,-1.847069200608354e-11
