case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,TE-P001,N49,interface_action,S2; T-SO,224.25,-63.0,120.0,1.2805373036235823,-329.6253770858299,-570.719123752829,2993.7671816138454,-235.28586021425625,-59.153938137134965
roof_first_service,TE-P002,N558,interface_action,S2,224.25,-63.0,122.0,18.85532004588621,671.0748594328688,5.4255823985891585,-1403.119605182459,14.233772729405093,-751.0337616415258
roof_first_service,TE-P003,N149,interior_applied_load,,224.25,-61.0,120.0,-1.0898304481088417e-10,-37.624083614697156,-2.219167072325945e-10,-2.901288098655641e-10,-1.7530510376673192e-10,3.979039320256561e-13
roof_first_service,TE-P004,N559,interior_applied_load,,224.25,-57.84,124.84,-7.106908023071502e-12,-358.5843332487005,1.525653724545886e-10,-1.6578812929937243e-10,6.86756121935362e-11,-1.643880425972849e-11
roof_first_service,TE-P005,N560,interior_applied_load,,224.25,-47.52,130.521,2.828622933281878e-11,-361.1516880782411,-6.688529888463575e-11,-1.8445664464904838e-10,9.380388660557744e-11,-5.222518512476428e-11
roof_first_service,TE-P006,N397,interior_applied_load,,224.25,-41.0,130.624,1.4210854715202004e-14,-18.28916722869144,3.637978807091713e-12,-2.9103830456733704e-11,2.2737367544323206e-13,-1.1368683772161603e-13
roof_first_service,TE-P007,N561,interior_applied_load,,224.25,-39.78,134.781,1.2169909919211343e-10,-10.26941931864606,-4.606464385377449e-12,1.5911990555176472e-09,3.37365085803367e-10,-1.8445859480372653e-10
roof_first_service,TE-P008,N562,interior_applied_load,,224.25,-37.2,136.201,-1.8952104715077197e-10,-356.01697841852456,5.2664888857062415e-11,-8.168570067659764e-10,1.8500129275569422e-10,-1.5400880219976441e-10
roof_first_service,TE-P009,N150,interior_applied_load,,224.25,-34.273,120.0,1.2606782437011602e-13,-39.65499984930967,2.7138748772129417e-11,5.394828710111877e-12,1.2146923473833776e-12,-8.515927987039229e-15
roof_first_service,TE-P010,N563,interior_applied_load,,224.25,-26.88,141.882,-7.043856234059178e-13,-359.30025332301534,-1.0019705623773819e-10,4.709265432299445e-10,4.165491635886625e-11,-6.370833344704323e-12
