case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,TN-P001,N147,interface_action,BR-N-upper-1; T-W / B-WO; W4,-32.0,249.0,115.0,-147.96177107843027,321.8777489103761,4.595886389791929,228.74730892318044,19.267693646132802,550.0634178208284
roof_first_service,TN-P002,N555,interface_action,BR-N-upper-2; T-W top / segment 2; W4,-32.0,249.0,226.093,41.38136197357563,-191.2193361569282,-4.534417436051689,160.92933136010683,49.702343457847235,-1503.5112117722022
roof_first_service,TN-P003,N188,interior_applied_load,,-31.0,249.0,115.0,-7.252083378261887e-10,-7.501450311748044,1.2787346292952861e-08,-2.718297764658928e-08,8.750191682338482e-10,-1.0996785704264767e-09
roof_first_service,TN-P004,N424,interior_applied_load,,-31.0,249.0,117.5,-8.989507856757512e-10,-3.7252154036942526,-3.6680042072391086e-09,1.2734228832653994e-08,1.2753901505255786e-11,2.84478587085472e-09
roof_first_service,TN-P005,N425,interior_applied_load,,-31.0,249.0,144.148,-2.093590843826663e-15,-7.450430807086208,1.7782748596782468e-14,3.952261496402212e-13,-2.4860970910577406e-16,-8.572101933600515e-14
roof_first_service,TN-P006,N426,interior_applied_load,,-31.0,249.0,170.797,-1.4244728099677162e-15,-7.450430807086005,-2.319477281994945e-14,-5.069907871314364e-14,-2.0249359277303127e-16,-1.296255321308518e-14
roof_first_service,TN-P007,N427,interior_applied_load,,-31.0,249.0,197.445,2.2650842661662166e-15,-7.4504308070856125,-4.2359699347350974e-15,7.476444874392143e-13,2.9924963629190685e-16,1.666294090277626e-15
roof_first_service,TN-P008,N428,interior_applied_load,,-31.0,249.0,224.093,0.0,-3.7252154035959393,0.0,0.0,3.637978807091713e-12,-7.450580596923828e-09
roof_first_service,TN-P009,N613,interior_applied_load,,-31.0,249.0,226.324,0.0,-3.1277812633197755,3.5762786865234375e-07,-5.960464477539062e-07,8.149072527885437e-09,1.4901161193847656e-08
roof_first_service,TN-P010,N449,interior_applied_load,,-23.25,249.0,143.58,8.526512829121202e-14,-8.279007407834683,-1.1368683772161603e-13,-9.094947017729282e-13,8.242295734817162e-13,5.684341886080802e-14
roof_first_service,TN-P011,N189,interior_applied_load,,-21.323,249.0,115.0,1.2815849084066348e-13,-8.548856238349826,3.3305717221452385e-14,-1.716166014162747e-14,-3.3062090639498313e-12,3.4337700126555845e-13
