case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,TS-P001,N5,interface_action,T-W / B-WO; T-W diagonal 9; T-W vertical 2; W1,-32.0,0.0,115.0,-109.89726484847677,698.8623614069314,7.187556326789567,-27.532817856562122,196.01607314252212,1039.4836387793753
roof_first_service,TS-P002,N7,interface_action,BR-R-main-1; T-W top / segment 1; T-W vertical 2; W1,-32.0,0.0,153.373,12.241504095742988,-453.8047454429891,-8.060891281087969,431.7007005983029,-160.22445889573936,-984.0902991157328
roof_first_service,TS-P003,N90,interior_applied_load,,-31.0,0.0,115.0,2.2928629018021513e-08,-7.323306382146582,-9.995285206044936e-09,-1.0883793133346187e-08,8.664120925852102e-11,1.3789678222521305e-08
roof_first_service,TS-P004,N246,interior_applied_load,,-31.0,0.0,117.5,-1.746165498630446e-08,-2.367586242422485,5.466687329578304e-09,9.088281646181886e-10,2.055485559626444e-11,1.6320358457929452e-08
roof_first_service,TS-P005,N247,interior_applied_load,,-31.0,0.0,134.437,4.878883787578324e-16,-4.735172485302726,-4.8227804642264704e-14,3.463280228043926e-13,2.7948050368228022e-15,-4.038500316017986e-14
roof_first_service,TS-P006,N248,interior_applied_load,,-31.0,0.0,151.373,5.502519689892793e-10,-2.367586243075926,-3.71626975304018e-08,1.744482502896716e-08,9.931396607470896e-11,-2.22947979522381e-09
roof_first_service,TS-P007,N483,interior_applied_load,,-31.0,0.0,153.373,-2.2187012322883412e-10,-8.96519097260375,1.3779921001278574e-08,1.0833545522332505e-09,8.03034942852614e-10,4.821700330666945e-09
roof_first_service,TS-P008,N91,interior_applied_load,,-21.323,0.0,115.0,5.222293853806761e-13,-8.650315974190551,4.001075320393534e-13,-4.431898985766824e-13,-1.1643465757152647e-12,2.6553585845040537e-12
roof_first_service,TS-P009,N267,interior_applied_load,,-10.146,-0.0,134.187,1.473950248191351e-12,-7.92271948548797,-2.6658820527301224e-14,1.4949641839959195e-13,-1.9100443154815706e-13,3.5011791936700205e-13
roof_first_service,TS-P010,N92,interior_applied_load,,-3.528,0.0,115.0,-1.648487540375099e-13,-6.723893202267995,5.819142718226607e-13,6.204818172068966e-13,8.072352691754418e-12,-1.412288121390457e-10
roof_first_service,TS-P011,N484,interior_applied_load,,-3.528,0.0,153.373,7.040497652460598e-14,-13.132911487196894,-3.8226616993859246e-13,1.3532942684263878e-13,-2.541461285246966e-12,-3.4191286819872502e-12
roof_first_service,TS-P012,N93,interior_applied_load,,0.031,0.0,115.0,-1.3784522804710487e-12,-4.482595512973949,7.655714236933138e-12,1.9443598765504036e-13,6.283862857983423e-12,-5.052768822969435e-11
roof_first_service,TS-P013,N94,interior_applied_load,,10.708,0.0,115.0,1.1998227716913945e-08,-6.723893203044848,-3.1731262062351107e-09,-3.886035271349897e-09,1.243237868998373e-11,-5.8000440797401076e-08
roof_first_service,TS-P014,N249,interior_applied_load,,10.708,0.0,117.5,-1.5860051935349765e-08,-2.3675862427290144,2.1402349183346072e-09,-6.152394547814537e-09,1.393026382044575e-11,-2.1241170285326942e-08
roof_first_service,TS-P015,N250,interior_applied_load,,10.708,0.0,134.437,-2.4176143333501474e-16,-4.735172485303395,-1.8134995589279308e-14,-1.8131904004758778e-13,-2.4008892137761355e-16,-2.911098373655731e-14
roof_first_service,TS-P016,N251,interior_applied_load,,10.708,0.0,151.373,2.2874833104091774e-10,-2.3675862455531167,9.392440214472941e-09,-1.1123061249840305e-08,1.1753819241993548e-11,8.384624713281275e-09
roof_first_service,TS-P017,N268,interior_applied_load,,10.708,-0.0,153.373,6.1941571365582484e-09,-16.939627155388827,-6.21571601373851e-08,-6.0683146067273056e-09,-5.674344053410408e-11,1.0534868587913972e-08
roof_first_service,TS-P018,N95,interior_applied_load,,21.385,0.0,115.0,6.312871777701958e-13,-4.482595459177501,1.2650757570300999e-12,5.699242495062345e-13,-2.011090363383271e-12,-4.745335192534273e-11
roof_first_service,TS-P019,N96,interior_applied_load,,24.944,0.0,115.0,-4.906933103606425e-13,-6.723893282949817,-1.1582042586452332e-12,-1.8742023351251624e-13,-5.075814127274262e-13,-6.28430752320323e-11
