case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,TW-P001,N76,interface_action,SW0; T-SO,-32.0,-63.0,115.0,-10.440610994732532,-738.6110523904713,2484.33531958181,4242.446025821526,-282.14700563317905,-337.1375657892849
roof_first_service,TW-P002,N78,interface_action,SW0,-32.0,-63.0,117.0,-5.293084771103167,-792.8352205216961,-2441.5476253305387,-2503.591233174453,181.9233411798723,-74.56100574019558
roof_first_service,TW-P003,N115,interior_applied_load,,-32.0,-61.0,115.0,2.2585638293276313e-11,-21.284457898999264,-2.0424382447254304e-13,-6.617790366234833e-11,-4.589072266525043e-11,1.896214378285797e-12
roof_first_service,TW-P004,N504,interior_applied_load,,-32.0,-57.84,119.979,0.0,-293.764803210639,-9.094947017729282e-12,-1.4551915228366852e-11,0.0,-1.8189894035458565e-12
roof_first_service,TW-P005,N505,interior_applied_load,,-32.0,-47.52,125.937,1.7360949311459853e-13,-295.789767636561,5.99314708208457e-12,2.4276433489039435e-13,2.9321796659301176e-12,1.1224710531369764e-12
roof_first_service,TW-P006,N332,interior_applied_load,,-32.0,-41.0,128.124,0.0,-10.415915797636046,4.547473508864641e-12,2.7284841053187847e-12,5.684341886080802e-14,-2.2737367544323206e-13
roof_first_service,TW-P007,N506,interior_applied_load,,-32.0,-39.78,130.406,1.024370626621137e-11,-8.099857703720337,4.866026020095116e-11,2.8462558063680705e-10,-1.801121646896338e-11,-5.282245124562506e-12
roof_first_service,TW-P008,N507,interior_applied_load,,-32.0,-37.2,131.896,9.985462965984357e-13,-291.7398387846763,-9.001399421139296e-11,-2.5522742069415223e-10,9.095864961350235e-12,1.2807979032821138e-11
roof_first_service,TW-P009,N116,interior_applied_load,,-32.0,-34.273,115.0,-2.608121783535246e-13,-22.384999914944412,4.106590299443371e-12,1.0234357296309448e-10,-5.11494441837553e-12,-6.305521735495808e-14
roof_first_service,TW-P010,N508,interior_applied_load,,-32.0,-26.88,137.854,-3.676977302646945e-12,-294.32947493650704,6.847515336552227e-12,1.1688506689102032e-11,-1.1085511691808789e-11,5.744907789395656e-12
roof_first_service,TW-P011,N117,interior_applied_load,,-32.0,-21.0,115.0,9.024481162356324e-10,-16.076500000882067,1.5221608973270406e-09,1.96620882630949e-08,-7.7768449007615e-13,4.0209880980413004e-09
roof_first_service,TW-P012,N301,interior_applied_load,,-32.0,-21.0,117.5,6.972858951310328e-10,-2.959579845448654,-9.679183756421906e-09,-1.9475171950542683e-09,1.7945911535981367e-12,6.421233166432205e-10
roof_first_service,TW-P013,N302,interior_applied_load,,-32.0,-21.0,138.671,0.0,-2.95957984495908,4.470348358154297e-08,2.9802322387695312e-08,0.0,0.0
roof_first_service,TW-P014,N333,interior_applied_load,,-32.0,-21.0,141.249,-7.450580596923828e-09,-13.307815603911877,-2.9802322387695312e-08,5.960464477539063e-08,-5.820766091346741e-11,-3.725290298461914e-09
roof_first_service,TW-P015,N509,interior_applied_load,,-32.0,-16.559,143.812,8.553912433730245e-12,-293.200131630497,2.6054761428264822e-12,5.222486047605719e-11,-5.371736516390733e-11,3.387761499711187e-11
roof_first_service,TW-P016,N510,interior_applied_load,,-32.0,-6.239,149.771,-1.8189894035458565e-12,-294.61181079943344,-1.4551915228366852e-11,0.0,-2.546585164964199e-11,5.4569682106375694e-12
roof_first_service,TW-P017,N118,interior_applied_load,,-32.0,-5.545,115.0,3.820124098527822e-12,-11.752125141001512,1.1731834567295075e-11,1.8139166135831213e-10,3.827672960339099e-12,-6.251148549557457e-12
roof_first_service,TW-P018,N5,interface_action,T-S; W1,-32.0,0.0,115.0,112.2558734729421,6537.516597451371,22.513196138748754,-2263.6533288008814,-179.44626451029092,-814.9515125767059
roof_first_service,TW-P019,N303,interface_action,W1,-32.0,-0.0,117.5,-98.77455970283462,-1517.9993887474197,-203.41757778345345,-1507.6000570242218,-445.3686690677781,893.220165418301
roof_first_service,TW-P020,N6,interface_action,W1,-32.0,0.0,130.311,8.092417981606912e-13,-4.284703844528292,-5.712346141188945e-13,6.908834444782911e-13,3.421382510012526e-14,-2.864753224308604e-13
roof_first_service,TW-P021,N304,interface_action,W1,-32.0,-0.0,134.148,-6.462036716171096e-13,-0.9286815991331421,4.250691798357132e-13,-1.3204788368906106e-12,-8.79910924867215e-15,5.693114762890146e-13
roof_first_service,TW-P022,N305,interface_action,W1,-32.0,-0.0,150.796,98.7745597018693,1493.4329008656694,203.41757786326718,-5265.391612959661,445.36866906785696,2395.577574350363
roof_first_service,TW-P023,N7,interface_action,BR-R-main-1; T-S top / segment 1; W1,-32.0,0.0,153.373,-117.55720483771438,375.525071520824,-15.681399623223115,1715.034059519763,-1294.2262668459211,-2520.201463829466
roof_first_service,TW-P024,N511,interior_applied_load,,-32.0,4.081,155.729,1.8189894035458565e-11,-286.84290249011246,-1.7462298274040222e-10,3.4924596548080444e-10,4.3655745685100555e-11,-1.4551915228366852e-11
roof_first_service,TW-P025,N512,interior_applied_load,,-32.0,6.661,157.219,-1.2285123597951242e-12,-8.099857703568748,4.1730609769695066e-11,3.4273376977817147e-10,1.0008824681345778e-11,-8.496027225168877e-12
roof_first_service,TW-P026,N119,interior_applied_load,,-32.0,7.781,115.0,7.400958914837343e-13,-12.97312493059034,-2.3522315523005368e-11,1.3323131141253633e-10,-3.435489209713975e-12,-3.578486249479132e-12
roof_first_service,TW-P027,N513,interior_applied_load,,-32.0,14.401,161.688,-1.9452661679700663e-13,-295.7897676365536,-3.925752859011142e-11,3.0847764261392676e-10,2.865624412491524e-12,-5.92163732861157e-12
roof_first_service,TW-P028,N334,interior_applied_load,,-32.0,17.438,134.661,1.0658141036401503e-14,-11.44254734271999,1.8189894035458565e-12,1.3642420526593924e-12,-5.684341886080802e-14,0.0
roof_first_service,TW-P029,N120,interior_applied_load,,-32.0,23.182,115.0,-1.6799273531491936e-07,-8.709165343280082,2.3429633097840484e-10,9.356052615748558e-08,-9.085044544459108e-09,-3.3610703864734896e-12
roof_first_service,TW-P030,N121,interior_applied_load,,-32.0,23.344,115.0,6.626666484000325e-09,-8.799784506653287,-2.436788222129684e-10,2.3026331806475812e-07,-6.967957134646724e-09,-4.827789355176424e-13
roof_first_service,TW-P031,N514,interior_applied_load,,-32.0,24.721,167.646,-2.2707809662484464e-12,-293.7648032110308,2.6631847809531473e-11,1.5314648288275749e-09,-6.648476123088411e-13,1.3129065078662638e-12
roof_first_service,TW-P032,N515,interior_applied_load,,-32.0,29.881,170.625,-8.136731859572212e-13,-8.099857703483972,-1.7143960144907429e-10,8.918714140011926e-10,-5.0721438099426964e-12,3.761630789588123e-12
roof_first_service,TW-P033,N335,interior_applied_load,,-32.0,34.875,154.322,-2.271146196780429e-15,-11.442547342724575,-5.311374572550456e-12,4.125829031724566e-12,-2.31558760427951e-13,6.605208170897777e-14
roof_first_service,TW-P034,N516,interior_applied_load,,-32.0,35.041,173.604,1.2434303676642397e-13,-293.7648032106733,1.918905885825807e-10,2.0829039176522124e-09,-7.837570511537793e-12,2.4602300888604673e-12
roof_first_service,TW-P035,N122,interior_applied_load,,-32.0,38.906,115.0,-7.585504806180719e-13,-15.9858789398588,-8.865848834874297e-13,1.2041277817254557e-10,-2.4673774914611665e-12,-3.989194803726046e-15
