member,support,plan_offset_in,location,status
B-WO,W1,0.0,on segment,plan coincidence only
B-WO,W2,0.0,on segment,plan coincidence only
B-WO,W3,0.0,on segment,plan coincidence only
B-WO,W4,0.0,on segment,plan coincidence only
B2,W3,0.0,on segment,plan coincidence only
B2,WB3,0.0,on segment,plan coincidence only
C-EM,E-M,0.0,on segment,plan coincidence only
C-EN,E-N,0.0,on segment,plan coincidence only
C-ES,E-S,0.0,on segment,plan coincidence only
C-ES,S3,0.0,on segment,plan coincidence only
E-OB,E-S,0.0,on segment,plan coincidence only
E-OB,E-N,0.0,on segment,plan coincidence only
E-OB,E-M,1.0,on segment,offset / connection unresolved
T-E,S2,2.0,beyond endpoint,offset / connection unresolved
T-E,S3,0.0,on segment,plan coincidence only
T-E,N2,0.0,on segment,plan coincidence only
T-N,W4,0.0,on segment,plan coincidence only
T-N,N1,0.0,on segment,plan coincidence only
T-N,N2,0.0,on segment,plan coincidence only
T-S,S3,2.0,on segment,offset / connection unresolved
T-SO,W1,2.0,on segment,offset / connection unresolved
T-SO,S1,2.0,on segment,offset / connection unresolved
T-SO,S2,2.0,on segment,offset / connection unresolved
T-W,W1,0.0,on segment,plan coincidence only
T-W,W2,0.0,on segment,plan coincidence only
T-W,W3,0.0,on segment,plan coincidence only
T-W,W4,0.0,on segment,plan coincidence only
T1,W2,0.0,on segment,plan coincidence only
