tilt,solar_kw,battery_kwh,energy_residual_kwh
30,4.0,0.0,9.094947017729282e-13
30,5.0,0.0,1.8189894035458565e-12
30,6.0,0.0,1.8189894035458565e-12
30,5.0,13.5,9.094947017729282e-13
30,5.64,13.5,2.7284841053187847e-12
30,6.0,13.5,2.2737367544323206e-12
30,6.5,13.5,2.7284841053187847e-12
30,7.0,13.5,2.2737367544323206e-12
30,8.0,13.5,3.637978807091713e-12
30,6.0,27.0,3.637978807091713e-12
35,4.0,0.0,0.0
35,5.0,0.0,0.0
35,6.0,0.0,9.094947017729282e-13
35,5.0,13.5,1.8189894035458565e-12
35,5.64,13.5,2.2737367544323206e-12
35,6.0,13.5,1.8189894035458565e-12
35,6.5,13.5,1.8189894035458565e-12
35,7.0,13.5,0.0
35,8.0,13.5,0.0
35,6.0,27.0,1.8189894035458565e-12
40,4.0,0.0,9.094947017729282e-13
40,5.0,0.0,1.8189894035458565e-12
40,6.0,0.0,0.0
40,5.0,13.5,2.2737367544323206e-12
40,5.64,13.5,1.3642420526593924e-12
40,6.0,13.5,0.0
40,6.5,13.5,2.7284841053187847e-12
40,7.0,13.5,0.0
40,8.0,13.5,2.7284841053187847e-12
40,6.0,27.0,-9.094947017729282e-13
