member,end,joint,status,connected_to,gap_in,source_member
W.bottom,start,W.south.bottom,connected,W.SW0,0.0,T-W / B-WO | HSS3-1/2X3-1/2X3/16
W.bottom,end,W.north.bottom,connected,BR-N-ground-2; BR-W-1; T-N; W.W4,0.0,T-W / B-WO | HSS3-1/2X3-1/2X3/16
W.slope,start,W.south.slope,connected,W.SW0,0.0,West solar slope chord
W.slope,end,W.front.slope,connected,BR-R-main-2; W.clerestory,0.0,West solar slope chord
W.top,start,W.front.top,connected,W.clerestory; W.square.brace,0.0,West square upper chord
W.top,end,W.north.top,connected,W.W4; W.rear.brace,0.0,West square upper chord
W.clerestory,start,W.bottom @ 0.431900114391,connected,W.bottom,0.0,West clerestory-aligned vertical
W.clerestory,end,W.front.top,connected,W.square.brace; W.top,0.0,West clerestory-aligned vertical
W.W1,start,W.W1.base,ground support,,0.0,W1 | HSS4X4X3/16
W.W1,end,W.slope @ 0.453003292646,connected,BR-R-main-1; T-S top / segment 1; W.slope,0.0,W1 | HSS4X4X3/16
W.W3,start,W.W3.base,ground support,,0.0,W3 | HSS4X4X1/2
W.W3,end,W.top @ 0.595469616492,connected,W.top,0.0,W3 | HSS4X4X1/2
W.W4,start,W.W4.base,ground support,,0.0,W4 | HSS4X4X1/4
W.W4,end,W.north.top,connected,W.rear.brace; W.top,0.0,W4 | HSS4X4X1/4
W.SW0,start,W.SW0.base,ground support,,0.0,SW0 | HSS4X4X3/16
W.SW0,end,W.south.slope,connected,W.slope,0.0,SW0 | HSS4X4X3/16
W.rear.brace,start,W.bottom @ 0.770186335404,connected,BR-W-2; W.W3; W.bottom; W.square.brace,0.0,West rear diagonal rising north
W.rear.brace,end,W.north.top,connected,W.W4; W.top,0.0,West rear diagonal rising north
W.square.brace,start,W.bottom @ 0.770186335404,connected,BR-W-2; W.W3; W.bottom; W.rear.brace,0.0,West square bay diagonal
W.square.brace,end,W.front.top,connected,W.clerestory; W.top,0.0,West square bay diagonal
E.bottom,start,E.south.bottom,connected,BR-S-1; E.SW0; S2,0.0,T-E matching T-W / B-WO | HSS3-1/2X3-1/2X3/16
E.bottom,end,E.north.bottom,connected,E.W4; N2; T-N; T-N diagonal 8,0.0,T-E matching T-W / B-WO | HSS3-1/2X3-1/2X3/16
E.slope,start,E.south.slope,connected,E.SW0,0.0,T-E matching West solar slope chord
E.slope,end,E.front.slope,connected,BR-R-main-1; E.clerestory,0.0,T-E matching West solar slope chord
E.top,start,E.front.top,connected,E.clerestory; E.square.brace,0.0,T-E matching West square upper chord
E.top,end,E.north.top,connected,E.W4; E.rear.brace,0.0,T-E matching West square upper chord
E.clerestory,start,E.bottom @ 0.431900114391,connected,E.bottom,0.0,T-E matching West clerestory-aligned vertical
E.clerestory,end,E.front.top,connected,E.square.brace; E.top,0.0,T-E matching West clerestory-aligned vertical
E.W1,start,E.bottom @ 0.195652173913,connected,E.bottom; S3; T-S; T-S diagonal 13,0.0,T-E matching W1 | HSS4X4X3/16
E.W1,end,E.slope @ 0.453003292646,connected,BR-R-main-2; E.slope; T-S top / segment 1,0.0,T-E matching W1 | HSS4X4X3/16
E.W3,start,E.bottom @ 0.770186335404,connected,E.bottom; E.rear.brace; E.square.brace,0.0,T-E matching W3 | HSS4X4X1/2
E.W3,end,E.top @ 0.595469616492,connected,E.top,0.0,T-E matching W3 | HSS4X4X1/2
E.W4,start,E.north.bottom,connected,E.bottom; N2; T-N; T-N diagonal 8,0.0,T-E matching W4 | HSS4X4X1/4
E.W4,end,E.north.top,connected,E.rear.brace; E.top,0.0,T-E matching W4 | HSS4X4X1/4
E.SW0,start,E.south.bottom,connected,BR-S-1; E.bottom; S2,0.0,T-E matching SW0 | HSS4X4X3/16
E.SW0,end,E.south.slope,connected,E.slope,0.0,T-E matching SW0 | HSS4X4X3/16
E.rear.brace,start,E.bottom @ 0.770186335404,connected,E.W3; E.bottom; E.square.brace,0.0,T-E matching West rear diagonal rising north
E.rear.brace,end,E.north.top,connected,E.W4; E.top,0.0,T-E matching West rear diagonal rising north
E.square.brace,start,E.bottom @ 0.770186335404,connected,E.W3; E.bottom; E.rear.brace,0.0,T-E matching West square bay diagonal
E.square.brace,end,E.front.top,connected,E.clerestory; E.top,0.0,T-E matching West square bay diagonal
