scenario,tilt,solar_kw,battery_kwh,upfront,annual_equipment,annual_net_saving,npv
"Custom roof, central",30,6.0,13.5,39610.0,3247.2914245593506,57.81784681746922,814.8815279734802
Conventional installation,30,6.0,13.5,32110.0,2715.147994815128,589.9612765616916,8314.88152797348
"Custom premium $15,000",30,6.0,13.5,47110.0,3779.434854303573,-474.3255829267532,-6685.11847202652
Installed cost -20%,30,6.5,13.5,32712.0,2675.608455921891,722.2189289877838,10178.913549702027
Installed cost +20%,30,3.5,0.0,22752.0,1749.9807367420706,-377.03954431664874,-5313.97443680562
Discount rate 3%,30,6.5,13.5,40890.0,2820.3067190171696,561.427743461687,9776.224214879292
Discount rate 8%,30,3.0,0.0,17680.0,1753.7037296937285,-491.2905421010123,-5244.416580498656
Conditional SDCP rebate,30,6.0,13.5,34885.0,2912.0410638204903,393.0682075563295,5539.88152797348
Battery replacement full price,30,4.0,0.0,20240.0,1555.5364259614062,-84.39278084215789,-1189.4271749637383
Recent 2016-25 climate,30,6.0,13.5,39610.0,3247.2914245593506,98.28997815236198,1385.2935034771392
Cooling +50%,30,7.0,13.5,42170.0,3441.729715245379,134.67285902885214,1898.0718097034105
Base computers -20%,30,4.0,0.0,20240.0,1555.5364259614062,-223.91209630708795,-3155.8046730189717
Base computers +20%,30,7.0,13.5,42170.0,3441.729715245379,338.7604806394015,4774.471435298407
PV weather -10%,30,7.0,13.5,42170.0,3441.729715245379,-78.90835208830458,-1112.1299401305014
PV weather +10%,30,6.0,13.5,39610.0,3247.2914245593506,166.98054390996458,2353.414529475044
Battery usable capacity -20%,30,6.0,13.5,39610.0,3247.2914245593506,-64.35606374876625,-907.0307949639507
Import rates -20%,30,4.0,0.0,20240.0,1555.5364259614062,-364.43000690002805,-5136.256315452301
Import rates +20%,30,6.0,13.5,39610.0,3247.2914245593506,709.835326788339,10004.37974677511
Export credits halved,30,6.0,13.5,39610.0,3247.2914245593506,35.306911056232366,497.6136472248138
AC delayed four hours,30,6.0,13.5,39610.0,3247.2914245593506,76.53203833828684,1078.638305866228
