case,column,P_lb,Vx_lb,Vy_lb,Mx_lbin,My_lbin
service occupied,W1,4101.005733382371,127.48263488081703,-182.42607138687944,5023.020655190884,-934.4486263228779
service occupied,W2,4506.011725025303,538.4212997158378,117.05104846996788,-4811.719095106535,11291.67964145531
service occupied,W3,5035.234599084914,570.4465166339952,35.19526902091794,-2141.033380704453,13290.149729377312
service occupied,W4,3072.5728071676417,29.10795291726459,40.359786940835846,-2313.763608445241,-3278.2271278220182
service occupied,S1,110.24612499999994,0.0,0.0,0.0,0.0
service occupied,S2,4501.3164090848795,-335.11349508775487,25.690710813021703,-1305.0136372652346,-15922.95471196929
service occupied,N1,4861.964877637377,-228.08243398769713,-23.221235356798964,1026.836506187227,-11717.832518317018
service occupied,N2,11532.758110780234,-378.333952076688,-87.781026031009,2682.436087748543,-16663.372076980217
service occupied,S3,7735.371417747196,-323.92852318721924,75.1315176361775,-2927.8368713214877,-15953.196029313796
service storage bands,W1,4430.814914750593,140.7448621257707,-189.49976123743522,5078.011142475573,-1469.1217420960634
service storage bands,W2,5346.093124369839,652.3961200120877,134.6862911658299,-5570.030205454001,13836.26667352208
service storage bands,W3,6342.55809936768,763.7330614199368,42.44911972867972,-2564.059337470889,18705.99215047379
service storage bands,W4,4409.602445145784,78.62691650201972,50.29486810115587,-2825.8899607681456,-2186.4121930706374
service storage bands,S1,110.24612499999994,0.0,0.0,0.0,0.0
service storage bands,S2,4944.2657479350755,-391.979587315225,31.81400817654423,-1596.4055960317444,-18715.604486533208
service storage bands,N1,6405.959373732708,-264.6406949471039,-30.309232280681268,1457.4918355697937,-13449.806123932314
service storage bands,N2,15588.866233134391,-591.976716428146,-129.34835621026176,4022.008006638501,-24211.577613047324
service storage bands,S3,8890.888241356644,-386.9039615925124,89.91306269340461,-3501.754234462017,-19009.348672666576
service full125,W1,5116.646714612249,160.69442901809015,-216.04911785345251,5755.7684462447205,-2714.045576024917
service full125,W2,6934.882084825593,838.962572212435,160.5208554892317,-6613.472699899736,17470.264812502795
service full125,W3,8431.036575919481,1035.7206929836507,44.179888594170144,-2823.102846180128,25200.55406708449
service full125,W4,5061.49031161053,79.56598174118578,58.98763032779817,-3315.109867276273,-4168.328483136762
service full125,S1,110.24612499999994,0.0,0.0,0.0,0.0
service full125,S2,5773.514451698753,-496.910824538607,44.94954113148686,-2217.822774162923,-23982.453951909934
service full125,N1,7650.86807914601,-373.6675042350211,-40.54633069196125,2078.7299434126307,-19040.217652483178
service full125,N2,19455.496441502513,-743.1299475300557,-171.88351828424706,5347.5873023344275,-31190.627631247473
service full125,S3,11145.972895271512,-501.23539996217187,119.84105147652124,-4671.2296945363005,-24776.984083461015
