case,group,Ncomp,Ntension,M,V,T,ratio
service occupied,N1,4850.940265137377,0.0,12744.669024504245,229.2614718291122,452.11267161571226,0.11607961756095012
service occupied,T-S,738.5822944474203,494.43750192888547,3887.8820092926426,272.43003754895085,139.37057675877398,0.202679628546964
service occupied,S3,7724.346805247195,0.0,20426.381120469225,332.5273418481218,665.2753242538536,0.18480323633510964
service occupied,T-N,4620.617140145268,4110.055764248013,27295.01342110705,2702.7813231210953,12612.47047048121,0.23279459038877942
service occupied,T-SO,251.03800440602936,0.0,105968.70161966996,3033.028022999658,59045.558208789305,0.13695843960137538
service occupied,W2,4494.987112525303,0.0,48460.62755973857,550.9976805174523,2.6516735254796275,0.31561013493169876
service occupied,B-WO,478.236676642613,0.0,71168.55682150499,3110.7342611518393,32871.915193257904,0.16982734248391335
service occupied,T-E,7889.873575474434,7940.646290778377,28840.97798606154,2193.491791082316,50232.956056028306,0.3395191546625793
service occupied,W4,3061.548194667642,0.0,7807.035895398977,49.76128339325018,485.7086813756905,0.0711233084313331
service occupied,O2,376.94026678055525,0.0,104592.79940168603,5092.431137205572,1423.0898979044111,0.4637716047287919
service occupied,B2,25.28909187670797,0.0,209405.060471707,3371.1531223503785,4566.472323326814,0.2175441996413352
service occupied,W3,5024.209986584914,0.0,44224.53277691737,571.5312198833182,366.7582720717421,0.29621424285624287
service occupied,T-W,2572.0236853676074,2941.9085833999493,53399.210531700985,3411.8135668586933,30929.272226456433,0.3486435831294854
service occupied,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
service occupied,W1,4089.9811208823703,0.0,26437.435538489015,222.55582157698447,564.4944045703421,0.1864933419106159
service occupied,N2,11521.733498280235,0.0,26566.5171790405,388.3839438341394,307.6251583782242,0.2538112170139268
service occupied,B3,249.9379649818875,0.0,73938.5372007307,1888.1175386398318,13444.377975547424,0.07777838616844493
service occupied,O3,422.9399119236041,0.0,82251.49639638799,4010.1992843158664,9737.373716903547,0.21213090392327563
service occupied,S2,4490.291796584879,0.0,18311.24593199135,336.09681226105624,458.19904019442293,0.1437767204701048
service occupied,T1,2995.37556713521,2372.0037230347843,34442.14431730148,1422.2480024291717,643.1715023446617,0.48788927680661004
service storage bands,N1,6394.934761232707,0.0,14907.297959502108,266.3706946785493,577.1551407241832,0.1422352058369341
service storage bands,T-S,820.4832753097289,529.4905673174071,4284.165271740539,297.1634697892597,165.02171792313075,0.22474252991347582
service storage bands,S3,8879.863628856645,0.0,24455.37398503383,397.2140913146163,778.4913213976649,0.21811293761786482
service storage bands,T-N,6493.155081814256,5782.060880115605,48393.4828774443,3545.094163839597,16690.79750723282,0.34579351321192137
service storage bands,T-SO,292.907023440348,0.0,117221.01066896337,3314.23512070739,65796.80828506929,0.1521134090247222
service storage bands,W2,5335.068511869838,0.0,58121.320622054816,666.1539570062279,9.131866997729963,0.3781832549876989
service storage bands,B-WO,635.7568911274429,0.0,80061.88062606036,3388.357837302302,41850.05337467646,0.1917950716096716
service storage bands,T-E,9373.090395753225,10146.223051122128,32288.22709235998,4482.263546610784,101627.60467155758,0.4941466250623293
service storage bands,W4,4398.577832645784,0.0,12059.318015712963,93.33684029325318,647.2758271660947,0.10733151816286282
service storage bands,O2,457.6231037485413,0.0,123019.10356552993,5993.8327170380935,539.3653231336767,0.5455737224052993
service storage bands,B2,29.659511784091592,0.0,266034.58132983604,4997.797860897553,5762.78449502084,0.2763656691804277
service storage bands,W3,6331.53348686768,0.0,58138.893355186825,764.9118360122353,480.978609149376,0.38721088822128896
service storage bands,T-W,2933.998204633537,4305.586735354119,70646.43673753002,4589.781505546662,39809.298015779474,0.43852112632741347
service storage bands,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
service storage bands,W1,4419.7903022505925,0.0,28920.206000868653,236.04930782327483,662.6837375182336,0.20359500019473623
service storage bands,N2,15577.841620634392,0.0,42816.934035366,605.9434214938844,410.93691503530727,0.382745565746466
service storage bands,B3,357.1202780851163,0.0,159738.41199616922,4024.4016850872554,16524.35689523333,0.16730324139112487
service storage bands,O3,556.6320617776364,0.0,109072.30306407793,5275.977067437168,11428.010617151253,0.2812876584530294
service storage bands,S2,4933.241135435075,0.0,21431.659073378498,393.26851893856764,523.5082074655369,0.16552531279836757
service storage bands,T1,3697.7451807377515,3100.3977504398767,38472.749623276795,1931.5534605155412,768.1639172944537,0.5473532163621774
service full125,N1,7639.84346664601,0.0,21118.947595895806,375.8608900295689,775.170759525468,0.18878257531982912
service full125,T-S,995.5828721319267,619.1432916935591,5365.991124486568,366.45480600179593,214.0601145525043,0.2810507723585999
service full125,S3,11134.948282771513,0.0,31727.816688712683,515.3627885230459,1112.700875812919,0.2797550547482723
service full125,T-N,8071.253348129075,7188.107508587302,55291.09174901016,4726.821314507562,22984.617158579807,0.41930053621007135
service full125,T-SO,358.7669103802182,0.0,141568.12961259458,3887.483506596745,78883.06815727422,0.1817058154796665
service full125,W2,6923.857472325592,0.0,74365.38011621707,854.1809776742219,53.473175862924236,0.48497623625347414
service full125,B-WO,833.9516268883599,0.0,96697.70355492021,3960.8616708951636,57720.554742792694,0.2571605552933374
service full125,T-E,12229.681292622647,13871.346310606283,45353.36981565948,5025.824816802964,119508.73227688122,0.5779332548675904
service full125,W4,5050.465699110529,0.0,14500.749404654633,99.04688779627979,814.7999716284272,0.12708318534773266
service full125,O2,600.0735577498563,0.0,159220.6419291264,7709.852086393331,641.2705964796714,0.7061766047616963
service full125,B2,16.79063389264047,0.0,540832.722007464,8708.152502958423,7899.2007778619545,0.5616744338632932
service full125,W3,8420.011963419482,0.0,78346.55037214882,1036.6625373915426,580.6805636538426,0.5210652763802237
service full125,T-W,3714.8720752673344,5353.05394754577,102047.74173820575,6068.9398980930155,54673.63826721594,0.5909252181613246
service full125,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
service full125,W1,5105.622102112248,0.0,34067.51649659832,269.2580933652805,893.5617216650494,0.23906889157432637
service full125,N2,19444.471829002512,0.0,53590.611449361866,762.7490169002704,503.9661164478444,0.4787758562146785
service full125,B3,469.27385455928743,0.0,181844.529679616,4513.598163095982,22627.909897558515,0.19070699383669926
service full125,O3,738.1261061611585,0.0,150404.03479662538,7297.652558680606,15232.455740211655,0.387770350715903
service full125,S2,5762.489839198753,0.0,27172.969292433172,498.93970456517343,740.0227005031805,0.2056687150696315
service full125,T1,6586.197616342209,5559.591754874055,50684.182272954444,2375.59662235328,999.6499381854939,0.7287838081120025
service patch1000,N1,4965.440180308158,0.0,13409.994324733863,241.04317310584966,471.1982254582541,0.12089646964510814
service patch1000,T-S,740.0599950919423,491.9899298333621,3960.6883628164255,276.8686164789833,141.93638119823927,0.20643789905888066
service patch1000,S3,7808.157967097562,0.0,20872.503861660865,340.0238545075955,693.5259423708408,0.1880961250894044
service patch1000,T-N,4769.661497063277,4244.423436538898,28793.442137563627,2833.1765426622924,13296.978920139689,0.24500793610602933
service patch1000,T-SO,255.3833641197998,0.0,106389.3110742489,3027.67499521312,59267.155172374834,0.13734363070001723
service patch1000,W2,4595.215867263053,0.0,49355.809386573856,560.7666758459065,16.240242652658917,0.3216088529960256
service patch1000,B-WO,498.60597080009757,0.0,71575.83539523219,3105.204278156549,34470.172300140395,0.1708747733975498
service patch1000,T-E,8026.7989256267165,8330.176415253227,29068.655922973216,2210.819800488733,50793.25979071049,0.3455316055653868
service patch1000,W4,3120.2161604012267,0.0,7945.298518903079,48.99395645622875,491.5015967398681,0.07243674619668469
service patch1000,O2,381.53181555483025,0.0,106861.70864566657,5185.12378836219,1176.0142692216982,0.4738073340541827
service patch1000,B2,28.014684228692204,0.0,265467.5604717032,3871.1531223502593,4751.648489150187,0.27577078362153074
service patch1000,W3,5245.026642033905,0.0,46248.21001150722,599.2659838780877,367.20095228973076,0.3097235022420083
service patch1000,T-W,2553.8637114259536,3033.0322334523175,56837.70572117623,3571.0784154379853,32454.635803977497,0.3621961170091081
service patch1000,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
service patch1000,W1,4077.364625011406,0.0,26438.42393160583,220.9843733214927,590.6277701851335,0.18638594039079967
service patch1000,N2,11894.977083927437,0.0,27366.54695980209,400.19944616223626,310.32546486300254,0.2617137457177776
service patch1000,B3,257.4909691098146,0.0,73789.22476360694,1890.3585479326105,14053.31727271259,0.0776535265708903
service patch1000,O3,443.2502779222559,0.0,86781.06703044573,4230.133553418182,10027.613163544067,0.2238019535155515
service patch1000,S2,4551.64025384673,0.0,18646.938571042356,342.19121790133534,477.02334713388524,0.14623913058063248
service patch1000,T1,3006.0172230481253,2384.779030369595,35282.46585034801,1452.2682689361068,660.4248633059307,0.49957489436686237
strength floor,N1,8322.072171199736,0.0,18041.105341109345,319.81693015185965,718.513232651706,0.17735721870002424
strength floor,T-S,898.3903618782351,606.9868524724152,4898.426740990933,337.1998254119259,188.61755531429756,0.25557456483295976
strength floor,S3,9941.018599674171,0.0,28991.01034089661,470.357638051481,948.7560824686409,0.25330605780018994
strength floor,T-N,8570.842537638368,7626.801745506469,72887.79653110783,4549.374853594223,21755.091935449454,0.5208537927202512
strength floor,T-SO,336.25345875602216,0.0,124917.22151306045,3460.255855272837,70681.63075261198,0.1626365512902849
strength floor,W2,6363.415137630334,0.0,68669.00576021054,792.365113322132,0.7871868815838279,0.4473391276963075
strength floor,B-WO,818.5060249727685,0.0,87392.63543899417,3545.4221620272992,53215.762078369466,0.23890572884745268
strength floor,T-E,11002.298548179586,12667.335996657548,39634.94451994762,6829.290816447775,153211.60896244025,0.7458914929115774
strength floor,W4,6012.915178672833,0.0,16108.460798385644,137.83864050901514,816.3723170622694,0.14470865268174113
strength floor,O2,549.140378001146,0.0,143793.56570666638,6986.477755619967,973.2679642919758,0.6378041190791871
strength floor,B2,31.705759254051372,0.0,404279.68928696687,7652.626976610556,7104.309655553668,0.41992993765829
strength floor,W3,8237.36654220744,0.0,75356.06302336932,1000.8609671293763,591.231366381332,0.5022310759220161
strength floor,T-W,3160.400986397335,5818.785990736909,92249.83255298986,5984.078279782336,50964.576519239265,0.5650187364850576
strength floor,S1,119.06581499999992,0.0,0.0,0.0,0.0,0.0010667314262271792
strength floor,W1,4625.091498313107,0.0,30662.609908331062,239.39459716516683,788.626192394768,0.215204522564725
