case,group,Ncomp,Ntension,M,V,T,ratio
service occupied,B3,159.72066808631644,0.0,89631.21412594462,1749.3435260009344,11920.727757230285,0.09371339866142465
service occupied,W1,1879.7236053473525,0.0,23839.10663531774,280.1024010585241,514.4279494859857,0.1518859660084738
service occupied,S2,4230.781912032892,0.0,16468.71529201301,300.54303666803804,810.5979052907029,0.1309529760169945
service occupied,W4,4040.9389528508364,0.0,8151.281765509102,66.85240615213594,510.15740613314694,0.08264952759793655
service occupied,B2,0.0,72.32716241898015,183766.68339183836,3500.5907422480486,5436.770805343886,0.19101077158379037
service occupied,T1,5898.819370837181,5867.78221192795,137684.07851717528,4592.130768276356,1369.4373894207072,0.6265780764562927
service occupied,T-W,3900.406284515465,2706.540404171962,71703.27128475618,3227.3596664739866,25330.80749586353,0.3383083207186134
service occupied,B-WO,142.9446882121556,136.44405817671213,35024.43511691087,1571.8808686225227,3173.87181432427,0.5002701121109068
service occupied,S3,7887.6527755501975,0.0,20342.027173148985,323.7746885955715,1027.2714601486266,0.18578567376482663
service occupied,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
service occupied,T-S,1351.0792971280316,880.5745048515382,5281.258399121044,368.23441841591494,190.58542367903976,0.28284858053839435
service occupied,N1,3791.879282579508,0.0,6016.046980739751,87.3088852993139,640.828753932052,0.06825157855439087
service occupied,T-E,8649.795901072424,8176.273131646301,22637.932103380896,2063.329424314189,32701.25652347368,0.3204773655239893
service occupied,W2,8815.781277659895,0.0,61836.65250143773,772.5291956803728,38.30086394971944,0.4305375506295178
service occupied,O3,360.9194236866315,0.0,34390.17909517301,1943.8994490242371,1203.7766073532393,0.4704864671722331
service occupied,W3,2560.8796271556807,0.0,34161.175615796245,398.9535454535574,238.95987630859926,0.21680376960796607
service occupied,N2,11358.137159165377,0.0,31596.870584528704,414.6573311700857,335.1842321961761,0.2810085112142983
service occupied,O2,716.4591006033588,0.0,220533.39680827057,8796.41840991954,1208.7275927870035,0.5672334182196078
service occupied,T-SO,9.12120291031897,15.220218346919864,52090.616458410965,1538.6377714664084,34132.80826016795,0.11339360680257426
service occupied,T-N,5786.759889362605,4821.281094480393,9092.424976535145,3157.7753400144134,1650.5334847225154,0.3065212789488932
service storage bands,B3,219.8649053341942,0.0,177978.0692890229,3665.408788001526,14137.552197105626,0.18569508022386855
service storage bands,W1,1989.2293360388962,0.0,25193.62558271425,289.20628205103355,579.652837024017,0.16058510365045245
service storage bands,S2,4634.978500922598,0.0,18256.577074628287,336.2727005152032,901.9958191986722,0.14476149045671927
service storage bands,W4,5804.253837517739,0.0,8451.482083546874,80.71931260659184,683.5136645684923,0.10015791665828877
service storage bands,B2,0.0,93.46101849060506,237090.99748931738,5169.852088273231,6414.116078843728,0.24643750311788568
service storage bands,T1,7013.002901866546,7297.1741683877735,159780.89690269108,5627.959314296414,1406.3717133043806,0.7279926508109706
service storage bands,T-W,4800.66707408064,4305.965656680127,100034.27815309113,4727.501488076845,30124.249829095952,0.47554759999004176
service storage bands,B-WO,164.01985151984263,124.19139173591975,37690.823653061656,1671.7452531820345,3741.594539824923,0.5401868188240926
service storage bands,S3,9095.608689857485,0.0,23182.325760021376,368.5321192988253,1173.9512751799982,0.21279199924986253
service storage bands,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
service storage bands,T-S,1453.5998108365893,935.0301296274702,5807.574511013236,401.3667637910751,207.31559088285184,0.31188039404497003
service storage bands,N1,5189.797170962013,0.0,5346.545792200254,86.3758151356718,806.2098074475167,0.0769609474145693
service storage bands,T-E,10337.52317422429,10462.687574801785,24871.163922957123,4160.228394317562,59168.406538920295,0.5414905515211897
service storage bands,W2,10227.538220047987,0.0,73734.21776540867,917.1158438685408,53.118130929057784,0.5109781222445392
service storage bands,O3,503.4094157743966,0.0,44416.622677432155,2546.1192307148826,1269.217726595087,0.6081207027276223
service storage bands,W3,3171.431246141423,0.0,44614.1336385821,546.8753717853102,327.7831486119565,0.2818348225434706
service storage bands,N2,15465.750091008511,0.0,50980.15788273759,648.0154624936339,420.11119953795924,0.428255414157079
service storage bands,O2,847.3484736175742,0.0,254599.20239265688,10217.928004548547,356.9220355438607,0.6549282615594896
service storage bands,T-SO,9.474204952595755,8.004444242920727,56013.982123202026,1640.0696074086234,36695.471931396314,0.12178342790268948
service storage bands,T-N,8727.162561392946,7297.628277484793,12709.829820144732,4583.078742858443,2347.197802636338,0.42887843287040184
service full125,B3,287.5268622317817,0.0,216971.27004963925,4173.70536923828,21865.525163878065,0.22645690968555732
service full125,W1,2287.8507872686296,0.0,29444.958736405813,336.1789285318997,790.8972341446059,0.18748462590706336
service full125,S2,5428.043000316943,0.0,22799.772903593148,419.3227444746538,1206.2940496386273,0.17854402092828864
service full125,W4,7336.524266238475,0.0,11377.595798492432,111.0548746271362,868.9290149821974,0.13055880759405028
