case,member,candidate,depth,M_kipft,V_kip,live_deflection_in,total_deflection_in,wood_sustained_screen_in,flexural_screen_ratio,shear_screen_ratio,passes_limited_screen
occupied40,B1,W8x18,8.14,30.27407730955165,5.934216299045099,0.45224021345938936,1.3699845689140435,1.3699845689140435,0.7982796174781777,,False
occupied40,B2,W8x18,8.14,37.02977715480617,7.212170803764339,0.7675577116189327,1.6799160698440274,1.6799160698440274,0.9764167555030469,,False
occupied40,E-rail,W8x18,8.14,5.7752992252475694,6.158553787504761,0.0026943371101203063,0.0060752172116597565,0.0060752172116597565,0.15228552167626486,,True
occupied40,S-header,W8x18,8.14,3.2584914155528475,1.4479757011549241,0.0006342011468764858,0.052057533750522675,0.052057533750522675,0.08592127364168298,,True
occupied40,N-header,W8x18,8.14,6.0394626425614515,2.742921235329803,0.03191303515743496,0.09008881120207332,0.09008881120207332,0.15925109389069933,,True
occupied40,W-rail,W8x18,8.14,0.14153570956996364,0.0894264394955722,0.0,0.0005087427243083953,0.0005087427243083953,0.0037320731839237784,,True
occupied40,B1,W8x24,7.93,30.609385354058414,5.998900811237064,0.33849660475376303,1.0368484470964376,1.0368484470964376,0.586997208129503,,True
occupied40,B2,W8x24,7.93,37.36512112091665,7.2768553159598,0.574508129978379,1.2688286152653128,1.2688286152653128,0.7165521791992054,,False
occupied40,E-rail,W8x24,7.93,5.828313580793488,6.232702838822441,0.002016680376256916,0.004589035143520113,0.004589035143520113,0.11176976474555167,,True
occupied40,S-header,W8x24,7.93,3.383975462089731,1.5014431308419807,0.0004746922731759913,0.04058755082129468,0.04058755082129468,0.06489461077538584,,True
occupied40,N-header,W8x24,7.93,6.149253787441997,2.7924437681577206,0.023886540220619396,0.0686384516734125,0.0686384516734125,0.11792444583764365,,True
occupied40,W-rail,W8x24,7.93,0.1887142794266184,0.11923525266076297,0.0,0.0005077174467503374,0.0005077174467503374,0.003618980057138213,,True
occupied40,B1,W8x40,8.25,31.503627814639486,6.171392843757922,0.1917374603639466,0.6045768808159705,0.6045768808159705,0.3556803951579579,,True
occupied40,B2,W8x40,8.25,38.25938852581943,7.449347348479041,0.325423440748027,0.7359793459362851,0.7359793459362851,0.4319538851027726,,True
occupied40,E-rail,W8x40,8.25,5.969685195581156,6.430433642343354,0.001142325117235938,0.0026625518421143973,0.0026625518421143973,0.06739858665884302,,True
occupied40,S-header,W8x40,8.25,3.718599586188143,1.6440229433407416,0.000268883910901743,0.02544201887870509,0.02544201887870509,0.041983513074484724,,True
occupied40,N-header,W8x40,8.25,6.44203017379016,2.9245038556987724,0.013530252577022082,0.04070415566218417,0.04070415566218417,0.0727314279902844,,True
occupied40,W-rail,W8x40,8.25,0.31452379904436345,0.1987254211012727,0.0,0.00047931772655539787,0.00047931772655539787,0.003551017990337489,,True
occupied40,B1,W10x33,9.73,31.11239318750979,6.095927579531443,0.16370566791307722,0.5097388842895882,0.5097388842895882,0.35628134827296926,,True
occupied40,B2,W10x33,9.73,37.868137070078845,7.373882084249858,0.2778469143228769,0.6219304626964068,0.6219304626964068,0.4336442667910743,,True
occupied40,E-rail,W10x33,9.73,5.907835114110955,6.343926415803647,0.0009753185211488128,0.002249702326433311,0.002249702326433311,0.06765315182101916,,True
occupied40,S-header,W10x33,9.73,3.572201531895093,1.5816442753724604,0.00022957339761201453,0.020806632301559175,0.020806632301559175,0.04090681068524438,,True
occupied40,N-header,W10x33,9.73,6.313940504762834,2.866727567399535,0.011552145475118271,0.034071659434886145,0.034071659434886145,0.07230363869454125,,True
occupied40,W-rail,W10x33,9.73,0.2594821342116,0.16394847240855087,0.0,0.00033762467931928514,0.00033762467931928514,0.0029714411254859797,,True
occupied40,B1,W10x39,9.92,31.447737153615293,6.160612091724023,0.13394100101979045,0.4215821577637112,0.4215821577637112,0.2993884335194539,,True
occupied40,B2,W10x39,9.92,38.20349355733784,7.438566596448517,0.22732929353689924,0.5133752673692901,0.5133752673692901,0.3637045182370785,,True
occupied40,E-rail,W10x39,9.92,5.960849469659974,6.41807546712411,0.0007979878809399376,0.0018572074583142165,0.0018572074583142165,0.05674841965415005,,True
occupied40,S-header,W10x39,9.92,3.6976855784319946,1.6351117050596027,0.0001878327798643755,0.017665852810192915,0.017665852810192915,0.0352026693547635,,True
occupied40,N-header,W10x39,9.92,6.423731649643402,2.9162501002274404,0.00945175538873313,0.02835481484855697,0.02835481484855697,0.06115514596620131,,True
occupied40,W-rail,W10x39,9.92,0.3066607040682548,0.19375728557374017,0.0,0.0003264635328955072,0.0003264635328955072,0.0029194681755476603,,True
occupied40,B1,W10x49,9.98,32.00664376380041,6.268419612049612,0.10291790151888311,0.32972870308005814,0.32972870308005814,0.2349498685078975,,True
occupied40,B2,W10x49,9.98,38.76244324214242,7.546374116772156,0.17467581746033803,0.40026090862258024,0.40026090862258024,0.2845418910522103,,True
occupied40,E-rail,W10x49,9.98,6.049206728900995,6.541657219323295,0.0006131598055751727,0.0014482296338229153,0.0014482296338229153,0.044405165878086426,,True
occupied40,S-header,W10x49,9.98,3.9068256559934866,1.7242240878712543,0.0001443273933516709,0.014396611863737129,0.014396611863737129,0.028678676243996143,,True
occupied40,N-header,W10x49,9.98,6.606716891110987,2.9987876549405885,0.007262562045019207,0.02239948726710737,0.02239948726710737,0.04849765805782571,,True
occupied40,W-rail,W10x49,9.98,0.38529165382934555,0.24343864084905933,0.0,0.0003151690271854155,0.0003151690271854155,0.0028282947775604707,,True
