case,group,Ncomp,Ntension,M,V,T,ratio
service occupied,T1,5025.170986229474,5290.697251813549,138039.1631442266,4137.780004965388,1147.3526368814278,0.6229011258571642
service occupied,N2,11147.388803562884,0.0,21330.29519764766,276.8849596120853,442.9534599870013,0.28055239749579597
service occupied,B-WO,19.18609972856939,271.91353384021204,43656.03361487052,1897.7009460572954,3219.3906016233545,0.593964544290192
service occupied,S1,76.5492750000001,0.0,0.0,0.0,0.0,0.0008853344261536987
service occupied,T-N,4850.805114814714,4475.309135836025,37618.22543117627,2484.7349601110523,11004.995493570224,0.27283456376276466
service occupied,W3,1538.1078450338132,0.0,21434.225190224002,234.76597698177613,441.534893138348,0.17015840560521284
service occupied,O2,681.9827150218189,0.0,218494.29549113274,8570.300354693185,1578.376179596233,0.36986381120780903
service occupied,B3,45.83613576699281,0.0,54956.438201648656,1615.8184738718915,8270.655413803654,0.09283445841017475
service occupied,W2,8512.659824998538,0.0,56711.731588217306,713.8914730567649,267.6370527318345,0.50289514584005
service occupied,N1,5351.914273485492,0.0,7046.702048891555,110.58086937399659,631.8269140682737,0.11146243406894227
service occupied,O3,165.72789772530086,0.0,14934.575037093626,880.513803210046,419.04848775198377,0.5213089763597258
service occupied,B2,0.0,190.47251420584507,168121.6807879238,3634.2740232481246,6528.942263332894,0.17506437212314635
service occupied,T-S,767.9825682641822,588.6896361944382,4541.157932962153,202.91729056400564,192.2033184974104,0.20861920474983367
service occupied,W4,3817.128078339978,0.0,5655.217173817772,34.45408019935441,276.60530180467174,0.08455602369892112
service occupied,T-E,7518.931188876794,7970.851128436912,29033.198143989706,1999.3270693328632,65245.82886858995,0.30593155159028895
service occupied,T-W,3793.462226027901,2635.361017209151,82304.52492596071,3689.3371705049567,49106.189640688935,0.3090510514214797
service occupied,S3,7435.685612437228,0.0,13164.135122356263,218.51865627340885,37.05835867960821,0.18006092028447876
service occupied,T-SO,0.0,16.05408320343122,69519.57946270761,1854.6135376649104,43620.83569298718,0.098208630119646
service occupied,S2,4539.490640608426,0.0,13085.612863748887,255.51191646522926,24.359261323260768,0.14600376043224095
service occupied,W1,2238.825272044408,0.0,23662.52355759478,287.00646035301475,95.64908119834837,0.1941846910401989
service storage bands,T1,5928.686462055826,6482.180606709804,160790.33775637503,5051.189373050367,1171.381925052552,0.7258261634827579
service storage bands,N2,14990.017318338461,0.0,34322.54202544294,433.80640279732484,566.0602051865234,0.4178294260242196
service storage bands,B-WO,18.97896751278313,287.7410111298086,47714.21866530039,2056.86132836998,3842.8065667025953,0.648691499544672
service storage bands,S1,76.5492750000001,0.0,0.0,0.0,0.0,0.0008853344261536987
service storage bands,T-N,7296.524655757671,6749.081078885356,65866.16851614627,3374.766114810488,14999.496934664587,0.4706762565508355
service storage bands,W3,1831.9067749770309,0.0,26921.869124245342,305.2462866469188,578.9088143481858,0.21276781242553142
service storage bands,O2,824.1946601080708,0.0,255077.46387197293,10042.686585139727,207.27786949751172,0.431874591838056
service storage bands,B3,49.34575376153225,0.0,112299.2827845516,3507.089969288353,10259.230374087247,0.18939536845539306
service storage bands,W2,9966.590330049276,0.0,68752.51811880572,863.7937471052993,330.64874848108366,0.6057469963497091
service storage bands,N1,7631.78469957054,0.0,8768.241774152635,126.67324823249292,805.5140060463482,0.15013149381992347
service storage bands,O3,230.6374468296126,0.0,19829.938539743842,1145.8841289220502,462.9246604369013,0.6924145845068199
service storage bands,B2,0.0,252.35902079276275,217177.93472140539,5313.448742396636,7846.455123953626,0.22616243844204356
service storage bands,T-S,827.3994488379685,665.0851656072482,4928.517273953838,220.36627501583314,225.22256031025674,0.2263326319317055
service storage bands,W4,5194.212124157255,0.0,5449.46412578905,39.509047778598294,348.6307489964339,0.09901256764512527
service storage bands,T-E,8932.971795824005,10187.699987878657,32995.19061984094,4085.8154503441056,119654.64084817802,0.5664501865773928
service storage bands,T-W,4394.25138000536,4282.137438542127,113353.07937601012,5320.504395167312,95359.99028082263,0.4704257438039417
service storage bands,S3,8576.579154218616,0.0,14714.084218914682,250.0251982165231,17.71544564720947,0.20433100131057985
service storage bands,T-SO,0.0,17.52113963617012,77123.93796765566,2013.7541155954211,47686.68201757644,0.10725689689313854
