case,column,P_lb,Vx_lb,Vy_lb,Mx_lbin,My_lbin
service occupied,W1,1890.7482178473526,-19.982078719256975,-279.3887463889149,6825.146848435165,-5112.696718327738
service occupied,W2,8826.805890159894,763.6210395587607,116.97976800180295,-6178.389729925082,18724.137313350955
service occupied,W3,2571.9042396556806,384.87267742100215,105.05690650667825,-5788.6171884602645,8308.271212618161
service occupied,W4,4051.9635653508362,-35.4995131118641,56.648290151958264,-4196.210410723689,-3955.0713547854125
service occupied,S1,110.24612499999994,0.0,0.0,0.0,0.0
service occupied,S2,4241.806524532893,-298.8420130446603,31.93067692612579,-1680.1859763605394,-14432.208693754697
service occupied,N1,3802.903895079508,-87.21967214289009,3.9459147856374757,-361.9950253949047,-5654.051955344847
service occupied,N2,11369.161771665376,-395.6387820376586,-124.13966505830815,3800.9767716092583,-15800.329682819163
service occupied,S3,7898.677388050198,-311.31165678942654,88.96685518817999,-3552.2284226323072,-15533.177834019325
service storage bands,W1,2000.2539485388963,-23.969831845692667,-288.21124325581246,6750.32933288196,-5916.175891699989
service storage bands,W2,10238.562832547987,905.0614108689467,148.2069958895499,-7569.121762859563,22443.598537440295
service storage bands,W3,3182.4558586414228,534.1512010705196,117.2824226397146,-6557.058313323663,12995.019983551683
service storage bands,W4,5815.2784500177395,-21.2696490097932,77.86661324778818,-5258.449413775397,-3193.032669771478
service storage bands,S1,110.24612499999994,0.0,0.0,0.0,0.0
service storage bands,S2,4646.003113422598,-334.54260039197055,34.067251645862015,-1779.5251763279855,-16271.968174774926
service storage bands,N1,5200.821783462014,-86.34045461640895,2.4713026895342205,13.915866499589297,-5332.629925700665
service storage bands,N2,15476.77470350851,-618.6862417268375,-192.74691678144538,6111.4536156883205,-22834.554614596876
service storage bands,S3,9106.633302357484,-354.40383314884764,101.06357407191803,-3976.6200485380914,-17704.593802691383
service full125,W1,2298.8753997686294,-34.947145827145995,-334.3575466283913,7852.466434781447,-7805.500692281629
service full125,W2,13002.92502051453,1160.2331960469633,190.0058578259756,-9353.955908141172,28471.98759652135
service full125,W3,3616.7158432971996,700.1799633986143,126.64551619740948,-7279.279285370229,16808.032489694902
service full125,W4,7347.548878738476,-37.11033809668612,104.67095100742355,-6551.181847718044,-4826.413950774388
service full125,S1,110.24612499999994,0.0,0.0,0.0,0.0
service full125,S2,5439.067612816943,-416.95810312719107,44.46913839950397,-2289.198874300664,-20510.574029292486
service full125,N1,6397.680315524427,-122.82241435468751,-1.5529091416088125,814.4021403525262,-7645.876854032148
service full125,N2,19362.48620382229,-793.9870866227284,-260.4655148617227,8323.49829499935,-29715.57014000168
