group,node,x_in,y_in,z_in,connected_groups,Fx_lb,Fy_lb,Fz_lb,Mx_lbin,My_lbin,Mz_lbin
N2,189,224.25,253.0,98.5,T-E;T-N,374.04788266465687,152.91383782552796,-14698.345982988998,9651.482946026726,-23569.028840115025,681.7394141150835
N2,428,224.25,253.0,0.0,,-374.0478826639288,-152.913837825427,14783.40073298901,5410.530079780572,-13274.68760231073,-681.739414115083
W4,258,-32.0,253.0,98.5,B-WO;T-N,19.062010470585875,40.36291367392663,-4030.5502488201814,4475.2006994277735,-256.87256676334067,270.6161675477255
W4,407,-32.0,253.0,0.0,,-19.062010469968325,-40.362913673935935,4115.604998820186,-499.45370254554484,-1620.7354645529435,-270.6161675477254
W3,387,-32.0,185.0,98.5,B-WO;O3,-365.1261458093207,-73.19747052376219,-2174.5126694609166,-2996.236337643357,26992.6500615398,215.74170788156826
W3,402,-32.0,185.0,0.0,,365.1261458093637,73.19747052373657,2259.567419460919,-4213.714508945675,8972.275300680856,-215.7417078815681
T-S,0,0.0,0.0,98.5,T-W,-282.02389845504945,-11.766175656995108,612.3200134569599,358.6378502844,2628.1109210597087,-314.76022064885115
T-S,11,224.25,0.0,98.5,S3;T-E,-248.18787048041122,24.774693521106713,55.94089326198454,-457.0859158083198,2126.5521702104647,-323.8520058447492
T-S,13,0.0,0.0,142.8731,T-W,542.6873804889216,7.323666745221005,-500.29581901373456,176.5473581832662,-32.35170059531009,-209.12691929254538
T-S,24,224.25,0.0,142.8731,T-E,275.8329579916026,3.363686335109392,39.920864642843114,-783.9464667015361,-1435.0170559937987,-330.41549846940245
T-S,36,224.25,0.0,122.5317,T-E,-288.3085695459173,-23.695870945420275,358.13886498871955,610.626099237622,-631.3747876599548,181.9220209454942
B3,106,0.0,249.0,98.5,T-W,22.35093307142961,44.409375201049926,3683.3504149724076,2732.87816968365,-110605.36223157044,4991.2406359718225
B3,188,224.25,249.0,98.5,T-E,-22.350933071575128,-44.40937518648192,3846.37954205955,-2732.878169683655,124958.46865839149,4967.56175262799
S2,177,224.25,-21.25,98.5,T-E,177.15899020311141,-13.96223396332572,-2820.678144929064,-1037.386828303625,-6561.742283200539,-480.86749951584136
S2,418,224.25,-21.25,0.0,,-177.1589902032067,13.962233963387412,2905.7328949290686,-337.8932170876199,-10888.41825181139,480.867499515841
O2,38,0.0,69.75,98.5,T-W;T1,-553.7954327026382,102.99114028893423,-12467.36229272667,-2081.7847538222104,-355883.25499495666,-2518.9651954658375
O2,382,-32.0,69.75,98.5,B-WO;W2,553.7954327026382,-102.99114028873714,12547.970292726355,2081.7847538222104,-44362.0663722925,-776.7512937767885
N1,262,53.25,253.0,98.5,T-N,126.11186787396072,29.028987823694745,-6972.582237931321,2306.050336583125,-7287.547519720554,413.8262596900885
N1,423,53.25,253.0,0.0,,-126.11186787395276,-29.02898782369627,7057.636987931328,553.3049640508843,-5134.471465864124,-413.8262596900882
T1,38,0.0,69.75,98.5,O2;T-W,125.51451285337498,11.697529089866642,3277.339739489627,-419.3151354658188,325144.75809611543,473.7456027442388
T1,50,224.25,69.75,98.5,T-E,-181.01271967944376,-6.624860297072932,4289.239402667743,-286.1346608083864,12584.411380532807,-293.5515943012291
T1,51,0.0,69.75,183.1432,T-W,113.02954558605077,-13.371480905370442,-1095.2607065972581,-257.2730568405933,-726.1151585337839,-532.6980242668521
T1,63,224.25,69.75,183.1432,T-E,-57.53133876226974,8.298812112717254,944.2286285422578,533.3559339658254,431.9606062128763,-22.87967882813031
O3,101,0.0,185.0,98.5,B2;T-W,-348.81677622528514,-115.39280819940821,-1716.9834157501552,824.2802412808736,-27837.719212809272,2865.17704317907
O3,387,-32.0,185.0,98.5,B-WO;W3,348.81677622528514,115.39280819940366,1730.9167490834384,-824.2802412808735,-27328.683424528255,827.3928192020786
T-N,107,0.0,253.0,98.5,T-W,18.852773880804307,-204.5811462552336,-373.81560371144656,12428.48073889664,98508.93666575421,4927.456080536537
T-N,145,0.0,253.0,227.25,T-W,3467.2770058040624,-2436.7946418059873,-1970.413479050419,8992.070920473365,-5417.451269718336,1141.6159539212747
T-N,171,0.0,253.0,203.25,T-W,409.0858745856676,32.72460342247773,-2322.465418775298,-3517.232062031566,243.85218951618845,129.0491298587192
T-N,172,0.0,253.0,225.0759,T-W,-3517.6838172778653,2565.210217966932,-4174.116769330497,751.6675963500734,-267.65222974448807,2027.4436387130495
T-N,189,224.25,253.0,98.5,N2;T-E,-156.89998764635266,-118.93905227490033,6856.102439821751,6097.164870135571,-76370.58884552073,2479.864765529679
T-N,229,224.25,253.0,227.25,T-E,-380.8235627786628,0.8260005775008494,-6011.821002826591,6278.050394120888,1579.218187922338,-373.44703680371396
T-N,256,224.25,253.0,203.25,T-E,-229.24310908366522,-0.8465557795636371,-10.61565645248524,-408.6085628007377,1613.5242743275244,115.628272341096
T-N,257,224.25,253.0,220.472,T-E,513.1785956338906,93.7497918833824,-612.2096603542789,34.636402288833665,264.76476530106993,-156.90054913204403
T-N,258,-32.0,253.0,98.5,B-WO;W4,2.368094762338213,97.67977013257588,3718.924107589476,-2513.2753906297203,851.615787236228,447.9633990880191
T-N,262,53.25,253.0,98.5,N1,-126.111867874034,-29.02898782373287,6972.582237931287,-2306.050336583128,7287.547519720554,-413.82625969008944
S3,11,224.25,0.0,98.5,T-E;T-S,207.83927904490204,-77.34210555447537,-9820.17271479389,-5202.8301157664755,-8245.562986879857,-444.9468816971804
S3,433,224.25,0.0,0.0,,-207.83927904479833,77.34210555447575,9905.227464793898,-2415.3672813495605,-12226.60599903732,444.9468816971801
T-SO,91,0.0,-63.0,98.5,T-W,13.010704148226068,17.54972001690442,-89.06937299030994,-1304.3408885233493,-3413.319713630845,-994.2310099429093
T-SO,175,224.25,-63.0,98.5,T-E,6.8115790843294235,1.8932317427859722,46.52751628050306,-10.289046790281647,1966.8725200588779,-216.28057652216143
T-SO,364,-32.0,-63.0,98.5,B-WO,-19.82228323246818,-19.44295175976163,121.2445650443815,1314.629935313631,-558.5028932392134,163.77991183479327
B-WO,258,-32.0,253.0,98.5,T-N;W4,-21.430105232934018,-138.04268380648136,311.6261412290583,-1961.9253087980344,-594.7432204729043,-718.5795666408247
B-WO,364,-32.0,-63.0,98.5,T-SO,19.822283232341494,19.44295175968,-121.24456504366567,-1314.6299353136374,558.5028932392129,-163.77991183479648
B-WO,378,-32.0,-21.25,98.5,W1,-35.580444885899006,-16.391409594180004,163.8687799739367,-2854.687520425894,-1208.9444570039318,10.382581075366375
B-WO,382,-32.0,69.75,98.5,O2;W2,20.87889730262942,177.18647931679152,14.50205679654043,1011.6343666351424,909.1514212491859,474.1118705971117
B-WO,387,-32.0,185.0,98.5,O3;W3,16.309369584160294,-42.1953376757956,443.595920377471,3820.5165789242233,336.0333629884432,-1043.1345270844836
B2,101,0.0,185.0,98.5,O3;T-W,-9.488806582288817,-6.490185616817937e-12,5927.972214678999,16.894433613357318,0.0,0.0
B2,185,224.25,185.0,98.5,T-E,9.488806582288817,-1.439275365555659e-10,5927.972214678573,-16.89443361335713,0.0,0.0
W1,378,-32.0,-21.25,98.5,B-WO,35.580444885883665,16.39140959416471,-163.8687799739367,2854.6875204258918,1208.9444570039668,-10.38258107536568
W1,392,-32.0,-21.25,0.0,,-35.58044488588472,-16.391409594181226,248.92352997393706,-1240.133675399713,-4713.618278263704,10.382581075365671
T-E,11,224.25,0.0,98.5,S3;T-S,40.3485914355299,52.56741203312424,9764.231821531856,5659.916031574732,6119.010816669444,768.7988875423234
T-E,24,224.25,0.0,142.8731,T-S,-275.83295799168,-3.3636863350874364,-39.92086464270187,783.9464667014936,1435.0170559937828,330.41549846938125
T-E,36,224.25,0.0,122.5317,T-S,288.3085695459364,23.69587094540651,-358.1388649886905,-610.6260992376237,631.3747876599641,-181.92202094549705
T-E,50,224.25,69.75,98.5,T1,181.01271967948708,6.624860297101564,-4289.239402666997,286.1346608083853,-12584.411380532638,293.5515943012799
T-E,63,224.25,69.75,183.1432,T1,57.53133876226522,-8.298812112739242,-944.2286285421957,-533.3559339658186,-431.96060621282595,22.879678828156344
T-E,175,224.25,-63.0,98.5,T-SO,-6.811579084304874,-1.8932317427752423,-46.52751628048596,10.289046790281873,-1966.8725200589756,216.28057652217512
T-E,177,224.25,-21.25,98.5,S2,-177.15899020318057,13.962233963322475,2820.678144929062,1037.386828303625,6561.742283200561,480.8674995155445
T-E,185,224.25,185.0,98.5,B2,-9.488806624653206,1.0769563019152883e-10,-5927.972214678733,16.894433613265136,-6.366462912410498e-12,-4.044267143399338e-10
T-E,188,224.25,249.0,98.5,B3,22.350933060640457,44.40937518651481,-3846.379542059347,2732.8781696830865,-124958.46865839124,-4967.561752626766
T-E,189,224.25,253.0,98.5,N2;T-N,-217.1478950177254,-33.97478555074425,7842.24354316774,-15748.647816163122,99939.6176856356,-3161.6041796446198
T-E,229,224.25,253.0,227.25,T-N,380.8235627793908,-0.8260005774969557,6011.821002826762,-6278.050394120881,-1579.2181879227303,373.4470368037035
T-E,256,224.25,253.0,203.25,T-N,229.24310908356924,0.8465557795496963,10.615656452436227,408.60856280074233,-1613.5242743275567,-115.62827234107044
T-E,257,224.25,253.0,220.472,T-N,-513.1785956337843,-93.74979188354044,612.2096603545278,-34.636402288829686,-264.7647653010026,156.90054913203892
S1,412,148.5,-21.25,0.0,,0.0,0.0,85.0547500000001,0.0,0.0,0.0
W2,382,-32.0,69.75,98.5,B-WO;O2,-574.6743300057867,-74.19533902855987,-12562.472349523025,-3093.4191204573585,43452.914951043145,302.6394231799451
W2,397,-32.0,69.75,0.0,,574.6743300059613,74.19533902852831,12647.527099523033,-4214.821773853936,13152.506554538542,-302.63942317994514
T-W,0,0.0,0.0,98.5,T-S,282.02389845528046,11.766175656728429,-612.3200134571706,-358.63785028482766,-2628.1109210598597,314.760220648596
T-W,13,0.0,0.0,142.8731,T-S,-542.6873804889076,-7.323666745416041,500.29581901365174,-176.54735818294068,32.35170059518941,209.12691929251758
T-W,38,0.0,69.75,98.5,O2;T1,428.2809198537677,-114.68866937864331,9190.022553237073,2501.0998892878497,30738.496898839403,2045.219592721543
T-W,51,0.0,69.75,183.1432,T1,-113.02954558609359,13.371480904872309,1095.2607065972659,257.27305684037685,726.1151585334696,532.6980242664382
T-W,91,0.0,-63.0,98.5,T-SO,-13.010704148097508,-17.549720016752246,89.0693729899159,1304.3408885227557,3413.3197136309464,994.2310099429258
T-W,101,0.0,185.0,98.5,B2;O3,358.30558277030315,115.39280820707717,-4210.988797266981,-841.1746749133181,27837.719212809436,-2865.177043275213
T-W,106,0.0,249.0,98.5,B3,-22.35093309306606,-44.40937520028092,-3683.3504149649607,-2732.8781696843507,110605.36223157033,-4991.240635973897
T-W,107,0.0,253.0,98.5,T-N,-18.852773877703257,204.5811462575622,373.81560371204444,-12428.48073889708,-98508.93666575415,-4927.4560805366455
T-W,145,0.0,253.0,227.25,T-N,-3467.2770058197625,2436.7946418251017,1970.413479032295,-8992.070920476945,5417.451269718382,-1141.615953920686
T-W,171,0.0,253.0,203.25,T-N,-409.0858745853424,-32.724603422387645,2322.465418775344,3517.2320620315686,-243.8521895162262,-129.04912985877837
T-W,172,0.0,253.0,225.0759,T-N,3517.6838172563866,-2565.2102179698954,4174.116769331557,-751.667596352012,267.65222974369135,-2027.4436387129588
