id,family,group,section,case,ratio,Nc,Nt,My,Mz,V,T,Pc,Pt,Mmajor,Mminor,Vc,Tc,Lb
M001,T-S:lower,T-S,HSS2x2x0.125,strength T1@2/8,0.21221769362854165,91.57679055866306,0.0,4339.591741808165,199.59467977539614,198.03173967939307,24.262998243614934,19632.343069492505,37800.0,21870.0,21870.0,12656.25,12656.25,72
M002,T-S:upper,T-S,HSS2x2x0.125,strength T1@2/8,0.24363186946907092,245.42389247860459,0.0,4774.94080510459,279.8913416350694,201.94977595250216,42.03163222313594,19632.343069492505,37800.0,21870.0,21870.0,12656.25,12656.25,72
M003,T-S:web,T-S,HSS2x2x0.125,strength roof,0.10064046671563893,765.6267651206194,0.0,312.7778791285518,1320.1100515601204,41.85995459485226,5.5231162225628845,29473.147530639944,37800.0,21870.0,21870.0,12656.25,12656.25,44.373066958946424
M004,T-S:web,T-S,HSS2x2x0.125,strength T1@2/8,0.04475645720898808,0.0,84.06191402963658,3.4106182669378753,926.7772792050561,38.768280404064114,2.244073123591665,29473.147530639944,37800.0,21870.0,21870.0,12656.25,12656.25,44.373066958946424
M005,T-S:web,T-S,HSS2x2x0.125,strength T1@2/8,0.11541240978928169,0.0,30.175103564615192,9.429423050459416,2497.181526264461,111.86725738405876,24.608652240178046,29473.147530639944,37800.0,21870.0,21870.0,12656.25,12656.25,44.373066958946424
M006,T-S:web,T-S,HSS2x2x0.125,strength T1@2/8,0.2049052165040562,0.0,25.507924703412012,4.063154471466941,4462.455774036696,200.6900433386918,25.88320224380357,29473.147530639944,37800.0,21870.0,21870.0,12656.25,12656.25,44.373066958946424
M007,T-S:web,T-S,HSS2x2x0.125,strength T1@2/8,0.2717376410393124,0.0,45.9427008285417,15.211673278990554,5901.1094021999725,264.4503858742906,14.01076555526081,29473.147530639944,37800.0,21870.0,21870.0,12656.25,12656.25,44.373066958946424
M008,T-S:web,T-S,HSS2x2x0.125,strength roof,0.15226896852631153,0.0,176.85739580666186,295.2615093503854,2932.536196174765,125.65392535985747,16.562836998999444,29473.147530639944,37800.0,21870.0,21870.0,12656.25,12656.25,44.373066958946424
M009,T-S:web,T-S,HSS2x2x0.125,strength roof,0.05927315368288529,0.0,105.82031257058607,452.8738973184796,782.2053643103826,35.13887079639782,73.06717903885067,29473.147530639944,37800.0,21870.0,21870.0,12656.25,12656.25,44.373066958946424
M010,T-S:web,T-S,HSS2x2x0.125,strength T1@5/8,0.05680311440351748,151.56096046749556,0.0,924.9196904727587,178.1624557835641,16.982467417403832,48.67269962300232,23811.719810123137,37800.0,21870.0,21870.0,12656.25,12656.25,60.47155818333873
M011,T-S:web,T-S,HSS2x2x0.125,strength roof,0.08211460148719163,668.4203172534159,0.0,523.8557584261215,658.07640043651,38.695645791409284,287.89823411423674,23811.71981012314,37800.0,21870.0,21870.0,12656.25,12656.25,60.471558183338715
M012,T1:lower,T1,W8X24,strength T1@0/8,0.4462579182054018,0.0,4283.173752847053,404420.5336991913,711.4828317954458,6976.289969885168,17.93324839182699,275143.1318492106,318600.0,940499.9999999999,253350.0,52456.95,23355.0,72
M013,T1:upper,T1,HSS2x2x0.125,strength T1@4/8,0.49608322381262226,4901.009153553305,0.0,5287.416034995656,102.307262520529,255.95457699252393,44.94500746075192,19632.343069492505,37800.0,21870.0,21870.0,12656.25,12656.25,72
M014,T1:web,T1,HSS2.5x2.5x0.125,strength roof,0.2041099574884803,1736.3908771496992,0.0,285.7770480120659,4772.986567358712,77.38439261214253,145.04593410573335,27458.6538155057,48150.0,35910.0,35910.0,16031.25,20039.0625,84.6432482349228
M015,T1:web,T1,HSS2.5x2.5x0.125,strength T1@4/8,0.24888148628763473,0.0,10979.87887389507,26.39871895101186,722.2033589012545,15.898916564699046,8.528473333525657,27458.6538155057,48150.0,35910.0,35910.0,16031.25,20039.0625,84.6432482349228
M016,T1:web,T1,HSS2.5x2.5x0.125,strength T1@1/8,0.09384761158134754,0.0,120.03575951971372,12.915570752071789,3267.630164782033,68.53739294866861,83.53980320781064,27458.6538155057,48150.0,35910.0,35910.0,16031.25,20039.0625,84.6432482349228
M017,T1:web,T1,HSS2.5x2.5x0.125,strength T1@2/8,0.17863093678293396,38.444217956793935,0.0,4.154264041513515,6360.205926066367,139.9614859761421,111.47262290441094,27458.6538155057,48150.0,35910.0,35910.0,16031.25,20039.0625,84.6432482349228
M018,T1:web,T1,HSS2.5x2.5x0.125,strength T1@3/8,0.20831970347265974,0.0,50.96215665481175,3.145553993696822,7439.607707045459,167.39394508770323,113.1164765306339,27458.6538155057,48150.0,35910.0,35910.0,16031.25,20039.0625,84.6432482349228
