case,column,vertical_reaction_lb,note
service40,W1,11334.451267137816,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,W3,9543.520058908658,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,W4,1115.3553098600134,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,S1,416.8259916903979,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,S2,48.26364783722661,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,N2,11950.011349514345,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,S3,12424.767444290808,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,SW0,-2949.0989088345696,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service40,N1 / U-W,2572.396396492937,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,W1,11400.992671296877,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,W3,9857.273776554692,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,W4,1316.7706053659467,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,S1,404.2877286596992,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,S2,-87.34689306593572,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,N2,13378.205785327387,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,S3,13211.481475384346,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,SW0,-2980.619276625022,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
service_patches,N1 / U-W,3070.7596967567756,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,W1,7146.3847287085855,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,W3,6057.3191665839195,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,W4,865.8840151128256,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,S1,427.2924072734103,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,S2,-103.76775588307343,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,N2,7931.140099764576,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,S3,7789.9739694266555,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,SW0,-2022.6178729483458,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
typical30,N1 / U-W,2220.5907474255987,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,W1,16160.07694922385,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,W3,16014.897727216377,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,W4,532.1609630258193,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,S1,338.78671524824347,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,S2,-1036.5553871736254,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,N2,19454.61867346137,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,S3,18535.421006026343,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,SW0,-5064.481554581607,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_sensitivity,N1 / U-W,4951.018086223589,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,W1,2269.9359650727192,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,W3,3055.2356323231643,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,W4,-288.53855436323283,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,S1,-30.624933107729422,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,S2,-514.4218654444983,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,N2,3529.869233427491,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,S3,2867.258542490496,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,SW0,-992.3751493750351,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
live_only,N1 / U-W,1129.2861750552188,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,W1,7760.38257895395,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,W3,6889.302344963683,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,W4,779.4918559602676,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,S1,418.07626456131567,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,S2,-243.7305271482763,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,N2,8874.139645390549,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,S3,8569.524661434452,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,SW0,-2291.332681342984,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
machine200,N1 / U-W,2512.7515547830703,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,W1,-350.29351879170173,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,W3,-461.96851676710656,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,W4,328.42617615961217,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,S1,271.8246425726289,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,S2,-113.17047117866439,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,N2,32.65377327816151,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,S3,-529.2818494111723,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,SW0,-92.52080733643632,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
uplift20_sensitivity,N1 / U-W,752.2303914571827,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,W1,12082.17982052086,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,W3,11264.801452565456,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,W4,1329.1443364907002,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,S1,466.1868791690119,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,S2,-558.9931150813102,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,N2,15842.629043280529,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,S3,14578.004259706426,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,SW0,-3513.5490717029224,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_screen,N1 / U-W,4280.616934362466,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,W1,7741.723774272564,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,W3,7901.757595116572,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,W4,595.2639480070103,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,S1,403.18948632515355,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,S2,-273.0195867456491,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,N2,9018.497458048345,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,S3,8646.805065345761,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,SW0,-2290.70150954652,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.25,N1 / U-W,2675.089473074065,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,W1,7743.20237123514,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,W3,7543.064547269902,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,W4,642.8118034247958,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,S1,402.11077920106993,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,S2,-325.30896827327956,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,N2,9261.216214984353,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,S3,8807.769272135145,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,SW0,-2288.897907851764,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.5,N1 / U-W,2632.637689415255,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,W1,7736.865081661973,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,W3,7153.770734301545,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,W4,769.9297644843548,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,S1,405.9098570053649,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,S2,-375.983861160853,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,N2,9512.347922761894,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,S3,8971.045992242252,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,SW0,-2283.1957838590974,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HB0.75,N1 / U-W,2527.915995178683,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,W1,9176.236072655973,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,W3,7096.597507731966,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,W4,688.7928987389387,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,S1,435.3824301992695,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,S2,-275.6027774566643,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,N2,8914.98836894086,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,S3,8772.439839911007,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,SW0,-2902.424559383713,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.25,N1 / U-W,2512.1956987929693,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,W1,8684.01864113886,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,W3,7012.135419669137,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,W4,709.1091080089311,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,S1,432.8957838967024,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,S2,-269.1438321140639,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,N2,9005.898776194541,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,S3,9012.903656307168,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,SW0,-2686.313099107382,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.5,N1 / U-W,2517.1011044102515,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,W1,8194.5438763049,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,W3,6923.505499059663,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,W4,736.9576477722005,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,S1,428.3894317863735,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,S2,-256.0253691262523,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,N2,9095.506507714645,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,S3,9250.47095223985,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,SW0,-2473.7592106488564,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
HT0.75,N1 / U-W,2519.016166714765,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,W1,19693.417999392652,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,W3,21100.742731521914,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,W4,89.9886275300157,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,S1,354.27593328822616,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,S2,-2069.486430214605,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,N2,25569.49776750074,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,S3,23102.379103990323,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,SW0,-6847.906577852905,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
storage125_strength_sensitivity,N1 / U-W,7280.734431959895,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,W1,14664.550257034056,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,W3,12245.10339420109,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,W4,1725.4803455281206,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,S1,492.3625390431973,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,S2,134.73658579438123,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,N2,16316.08422595143,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,S3,16693.941041097136,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,SW0,-3645.629388291883,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_roof,N1 / U-W,3386.5022122584733,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,W1,12126.474551519837,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,W3,12994.395187268594,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,W4,1009.7683986723408,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,S1,440.2758120000426,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,S2,-624.3167041555417,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,N2,16170.747988035886,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,S3,14801.409000237014,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,SW0,-3545.0435393543353,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.25,N1 / U-W,4557.309600796589,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.5,W1,12128.427614064773,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
strength_HB0.5,W3,12419.192268223262,Positive upward on frame / downward bearing on footing. Negative requires hold-down. Lateral cases are sensitivity loads.
