case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N5,-32.0,0.0,115.0,-34.722703047603815,720.8264872653518,7.581591587328453,-7.290768860585617,16.37148611253047,1231.0859932425672
roof_first_service,N7,-32.0,0.0,153.373,-195.16971792062654,-447.60813040318436,-5.6598477596216945,398.55612078819786,-331.2388006899898,-966.6140263209415
roof_first_service,N68,224.25,0.0,115.0,241.47852517429163,586.655500079715,8.777776846018632,23.56824477097221,-1.8607416173713534,-949.9075357229736
roof_first_service,N70,224.25,0.0,153.373,-11.586104366621404,-376.1939663570271,-10.699520333619683,212.924447855337,-175.71875045683362,792.3123711584093
strength_roof_first,N5,-32.0,0.0,115.0,-21.276387332081505,956.5293540186776,10.774904471306963,-10.664606655506253,3.7829885003855392,1585.1705513993852
strength_roof_first,N7,-32.0,0.0,153.373,-269.3544790068085,-620.0889041829862,-8.052528884801387,563.6536473846188,-435.2598033323225,-1236.1664029209542
strength_roof_first,N68,224.25,0.0,115.0,324.4401878963378,768.0697494790077,12.408200366887524,34.06389463292741,0.2954957969217693,-1186.6728332560222
strength_roof_first,N70,224.25,0.0,153.373,-33.809321793401615,-524.0943306267992,-15.13057549437004,302.55234587434103,-266.42735830155243,1051.446261123107
lateral_HX,N5,-32.0,0.0,115.0,-386.4893558626168,288.2387547119572,-5.612357648117643,-81.76248521660408,974.2649646003165,-55.158333620386585
lateral_HX,N7,-32.0,0.0,153.373,1057.3075651117301,-158.80160035636544,-5.45556723821794,156.63762250745148,395.23971546755104,-581.405917935583
lateral_HX,N68,224.25,0.0,115.0,-333.3490778581946,612.4814334753064,11.344949076829582,49.09274349814003,841.9865850030561,-1387.9718290389126
lateral_HX,N70,224.25,0.0,153.373,-337.46913046831344,-258.23869724477066,-0.27702410797874616,96.00884898681794,624.6644692844247,843.6811242963399
strength_lateral_HX_1,N5,-32.0,0.0,115.0,-403.62933496754073,386.63526326489455,-4.934536951001539,-82.26280174487603,985.4706995626707,137.12516625891854
strength_lateral_HX_1,N7,-32.0,0.0,153.373,1035.8490514224336,-206.84365184590735,-5.957181236803981,193.65569278560835,347.87860871029835,-736.6139397444888
strength_lateral_HX_1,N68,224.25,0.0,115.0,-302.3863640969526,697.7709614923144,12.163070791990886,50.915409743658586,840.3502827357227,-1554.5614498093437
strength_lateral_HX_1,N70,224.25,0.0,153.373,-329.8333514451364,-297.1467042065987,-1.2713524732678214,115.07222708267066,617.3031829387158,951.8078964624252
strength_lateral_HX_-1,N5,-32.0,0.0,115.0,197.94959134616406,794.1228394802097,13.06838563456295,76.2590109695064,-851.0019116659795,2170.2768218949896
strength_lateral_HX_-1,N7,-32.0,0.0,153.373,-1293.3512123914413,-369.6609647660354,-0.06218664572369914,250.5611561179444,-916.2119088369456,-1125.882320239444
strength_lateral_HX_-1,N68,224.25,0.0,115.0,673.9389335156762,325.70337648028254,-2.345610700228104,-29.0434481850529,-859.9859366737342,-444.5140073478253
strength_lateral_HX_-1,N70,224.25,0.0,153.373,421.4626865026317,-169.7493825055243,-10.66058786948139,113.68832400148038,-705.6386430691923,345.71335697194075
strength_lateral_HX_2,N5,-32.0,0.0,115.0,-704.4187981265113,182.89147515670166,-13.935998237544428,-161.52370810202342,1903.7070051721184,-879.4506615589432
strength_lateral_HX_2,N7,-32.0,0.0,153.373,2200.4491833284933,-125.43499538661182,-8.904678527559554,165.20296111955264,979.923867481747,-541.9797494968469
strength_lateral_HX_2,N68,224.25,0.0,115.0,-790.5490129029056,883.8047539969327,19.417411539474315,90.89483870804315,1690.518392440544,-2109.58517103874
strength_lateral_HX_2,N70,224.25,0.0,153.373,-705.4813704199568,-360.84536506448495,3.4232652254276537,115.76417862328469,1278.7740959428722,1254.855166213198
strength_lateral_HX_-2,N5,-32.0,0.0,115.0,498.73905573590025,997.866628276053,22.069846948957657,155.51991749343512,-1769.2382212685768,3186.8526536842714
strength_lateral_HX_-2,N7,-32.0,0.0,153.373,-2457.95134814596,-451.0696214608664,2.8853106735007557,279.01388776881043,-1548.25717125733,-1320.5165102772296
strength_lateral_HX_-2,N68,224.25,0.0,115.0,1162.1015840185066,139.669583390527,-9.599951474978836,-69.02287731774442,-1710.1540505381588,110.50971597675436
strength_lateral_HX_-2,N70,224.25,0.0,153.373,797.110706390137,-106.05072151849991,-15.355205601399637,112.99637251702057,-1367.1095597696785,42.66608724059403
lateral_HZ,N5,-32.0,0.0,115.0,-193.42734370719378,444.1020308008493,-0.056274828993106846,-46.94370282589451,469.14742242732154,735.1802298869625
lateral_HZ,N7,-32.0,0.0,153.373,124.83000360466505,-229.47470367429642,-4.93960296951247,161.5743635969518,96.10454677615381,-790.3739832433181
lateral_HZ,N68,224.25,0.0,115.0,22.24257542123745,462.1368362847287,8.501652413946633,172.41434021275666,397.92513139571696,-943.8079251349595
lateral_HZ,N70,224.25,0.0,153.373,46.35476490041048,-193.08427283972784,-3.505773742870648,37.02946844886023,317.0166804715136,594.6413898376851
strength_lateral_HZ_1,N5,-32.0,0.0,115.0,-210.56732748973232,542.4985374082027,0.621545721339027,-47.444021476688754,480.3531755836294,927.4637209840339
strength_lateral_HZ_1,N7,-32.0,0.0,153.373,103.37149960544619,-277.5167548088947,-5.4412170750544435,198.5924327001622,48.743454567199684,-945.5820060295327
strength_lateral_HZ_1,N68,224.25,0.0,115.0,53.20528352880819,547.4263655696407,9.31977430078301,174.23701433129588,396.2888467267897,-1110.397550009658
strength_lateral_HZ_1,N70,224.25,0.0,153.373,53.99054456564352,-231.99227947494066,-4.50010203846299,56.09284337230963,309.6554098755064,702.7681645605895
strength_lateral_HZ_-1,N5,-32.0,0.0,115.0,4.887571643553348,638.2595587222094,7.512302635742153,41.44022857578386,-345.88434716195445,1379.9382298297892
strength_lateral_HZ_-1,N7,-32.0,0.0,153.373,-360.87362405925245,-298.9878597306844,-0.5781510906677498,245.62441596083747,-617.0767183394296,-916.9142561347287
strength_lateral_HZ_-1,N68,224.25,0.0,115.0,318.34726934231196,476.0479778873236,0.4976861171023766,-152.36504879253465,-415.9244588856404,-888.6779266659479
strength_lateral_HZ_-1,N70,224.25,0.0,153.373,37.63878274855053,-234.90380818258,-7.43183801388563,172.6677062255012,-397.99083287161767,594.7530894745911
strength_lateral_HZ_2,N5,-32.0,0.0,115.0,-318.2947804023979,494.61802489644606,-2.823832823374572,-91.88614697476764,893.4719478247098,701.2264558917891
strength_lateral_HZ_2,N7,-32.0,0.0,153.373,335.4940717811315,-266.78120174410225,-7.872750149139019,175.07644109490363,381.6535509233729,-959.9158815738735
strength_lateral_HZ_2,N68,224.25,0.0,115.0,-79.36571395743783,583.1155609815776,13.730818475039936,337.53804644546244,802.3955108263738,-1221.2573673077297
strength_lateral_HZ_2,N70,224.25,0.0,153.373,62.16642305691827,-230.53651543180862,-3.0342339271030503,-2.194588263376725,663.4785413158066,756.7757020904861
strength_lateral_HZ_-2,N5,-32.0,0.0,115.0,112.61502747031612,686.1400729831705,10.957681254664587,85.88235419866056,-759.0031282717484,1606.1755054246432
strength_lateral_HZ_-2,N7,-32.0,0.0,153.373,-592.9962061968619,-309.7234134187708,1.8533820455153058,269.1404073083349,-949.9868231611482,-902.5803801070754
strength_lateral_HZ_-2,N68,224.25,0.0,115.0,450.9182709728637,440.35878094677327,-3.9133581077723836,-315.66607999291267,-822.031132454341,-777.8181037540979
strength_lateral_HZ_-2,N70,224.25,0.0,153.373,29.462907161062162,-236.35957181409123,-8.89770616661922,230.9551374798058,-751.8139726924286,540.7455525065809
basic_Droof,N5,-32.0,0.0,115.0,24.42515766222559,121.7937647169234,2.0600494009418946,-6.55825068479833,-17.70347604955611,137.0339949920868
basic_Droof,N7,-32.0,0.0,153.373,-41.898791084682394,-111.49250410998279,-1.5669015458173379,109.95586919418314,-45.810662263327124,-102.70774930565086
basic_Droof,N68,224.25,0.0,115.0,41.73066310354963,87.13117001870421,2.2178061666586926,2.8622022518249093,4.2076054740808555,-66.2930587112412
basic_Droof,N70,224.25,0.0,153.373,-24.257029733476784,-97.43243062450796,-2.7109539657322794,57.89433089679114,-67.0625962988452,133.06753286392077
basic_Dsteel,N5,-32.0,0.0,115.0,-110.125058205184,370.1887751372414,1.3290539760986213,4.056667632774707,73.73216679230993,824.3834872040278
basic_Dsteel,N7,-32.0,0.0,153.373,-65.39376152295958,-128.7177523347124,-0.9411685779128286,75.13448248488714,-190.99485640973322,-673.3323606156712
basic_Dsteel,N68,224.25,0.0,115.0,113.08289871161477,339.31647262967493,1.8728025062156146,6.251128529550682,-12.389099952849815,-766.6550543063164
basic_Dsteel,N70,224.25,0.0,153.373,62.435921020568564,-97.10760485198057,-2.2606877363645346,37.42255990604259,30.25617968536747,407.5663271187616
basic_Dwall,N5,-32.0,0.0,115.0,10.369520338715482,130.40116838129003,1.3311427463416474,34.76784872533921,-16.994586790780453,358.1544072102703
basic_Dwall,N7,-32.0,0.0,153.373,-21.222344821814758,1.9276040221769006,-1.1216733961358316,21.610893512578784,-15.933824136798393,86.32129875848865
basic_Dwall,N68,224.25,0.0,115.0,8.442400130501149,121.22127056539092,0.8064223811082685,17.041183992990998,0.829986557477802,-334.0392527836194
basic_Dwall,N70,224.25,0.0,153.373,2.4104243430412944,5.35546837925723,-1.0158917046548928,8.604860380362148,-21.57809264364986,-95.32699014139553
