truss,stage,case,physical_member,maximum_compression_lb,maximum_tension_lb
T1,complete,service40,T1 upper lower chord,628.55068900038,2352.17711994622
T1,complete,service40,T1 future floor beam,0.0,684.7335280684521
T1,complete,service40,T1 vertical 1,0.0,1318.4111848859168
T1,complete,service40,T1 vertical 2,0.0,1105.6869516910613
T1,complete,service40,T1 vertical 3,46.927190105901275,0.0
T1,complete,service40,T1 vertical 4,0.0,1143.100698760353
T1,complete,service40,T1 vertical 5,0.0,630.1344096089192
T1,complete,service40,T1 diagonal 6,3309.64705209312,0.0
T1,complete,service40,T1 diagonal 7,0.0,1322.2392415006475
T1,complete,service40,T1 diagonal 8,0.0,1360.4804233042084
T1,complete,service40,T1 diagonal 9,3386.267889245648,0.0
T1,complete,service40,T1 future hanger 1,0.0,404.7758329747445
T1,complete,service40,T1 future hanger 2,0.0,1126.8756316619429
T1,complete,service40,T1 future hanger 3,0.0,1407.183251941354
T1,complete,service40,T1 future hanger 4,0.0,1160.6970616611604
T1,complete,service40,T1 future hanger 5,0.0,152.96636497411097
T1,complete,service40,T1 top / segment 1,3811.6652546069095,124.62302089399606
T1,complete,service_patches,T1 upper lower chord,669.6440648077113,2370.3919730993043
T1,complete,service_patches,T1 future floor beam,0.0,730.649909616942
T1,complete,service_patches,T1 vertical 1,0.0,1337.3402064017732
T1,complete,service_patches,T1 vertical 2,0.0,1105.5296751607045
T1,complete,service_patches,T1 vertical 3,48.91584715000758,0.0
T1,complete,service_patches,T1 vertical 4,0.0,1292.635158804336
T1,complete,service_patches,T1 vertical 5,0.0,733.7117128855542
T1,complete,service_patches,T1 diagonal 6,3365.4305534126242,0.0
T1,complete,service_patches,T1 diagonal 7,0.0,1383.9763457388717
T1,complete,service_patches,T1 diagonal 8,0.0,1273.4852873116283
T1,complete,service_patches,T1 diagonal 9,3554.6694748739887,0.0
T1,complete,service_patches,T1 future hanger 1,0.0,407.4890905872915
T1,complete,service_patches,T1 future hanger 2,0.0,1128.9960288054172
T1,complete,service_patches,T1 future hanger 3,0.0,1388.2065331303454
T1,complete,service_patches,T1 future hanger 4,0.0,1317.7064850435038
T1,complete,service_patches,T1 future hanger 5,0.0,235.0747022013026
T1,complete,service_patches,T1 top / segment 1,3898.710451242045,105.7243925009249
T1,complete,typical30,T1 upper lower chord,499.5944675131416,1973.8333668289943
T1,complete,typical30,T1 future floor beam,0.0,574.1528268064828
T1,complete,typical30,T1 vertical 1,0.0,1086.2736284362197
T1,complete,typical30,T1 vertical 2,0.0,909.5521224907586
T1,complete,typical30,T1 vertical 3,46.094794886168415,0.0
T1,complete,typical30,T1 vertical 4,0.0,945.8649224226592
T1,complete,typical30,T1 vertical 5,0.0,559.9214064707409
T1,complete,typical30,T1 diagonal 6,2775.5795536924484,0.0
T1,complete,typical30,T1 diagonal 7,0.0,1115.135312359373
T1,complete,typical30,T1 diagonal 8,0.0,1122.1629417285105
T1,complete,typical30,T1 diagonal 9,2822.2690113717563,0.0
T1,complete,typical30,T1 future hanger 1,0.0,328.010624155399
T1,complete,typical30,T1 future hanger 2,0.0,918.8304273662218
T1,complete,typical30,T1 future hanger 3,0.0,1154.5203541775961
T1,complete,typical30,T1 future hanger 4,0.0,952.137956235824
T1,complete,typical30,T1 future hanger 5,0.0,172.755678725264
T1,complete,typical30,T1 top / segment 1,3196.7776929535817,72.8749230175916
T1,complete,storage125_sensitivity,T1 upper lower chord,1497.0639979417715,5568.196787304232
T1,complete,storage125_sensitivity,T1 future floor beam,0.0,1639.885866047532
T1,complete,storage125_sensitivity,T1 vertical 1,0.0,2904.2470496512497
T1,complete,storage125_sensitivity,T1 vertical 2,0.0,2713.017240608435
T1,complete,storage125_sensitivity,T1 vertical 3,52.28422352510583,0.0
T1,complete,storage125_sensitivity,T1 vertical 4,0.0,2898.6813166367097
T1,complete,storage125_sensitivity,T1 vertical 5,0.0,1590.883551951611
T1,complete,storage125_sensitivity,T1 diagonal 6,7940.779962900953,0.0
T1,complete,storage125_sensitivity,T1 diagonal 7,0.0,3282.7503985485355
T1,complete,storage125_sensitivity,T1 diagonal 8,0.0,3175.193753887437
T1,complete,storage125_sensitivity,T1 diagonal 9,8129.347342427185,0.0
T1,complete,storage125_sensitivity,T1 future hanger 1,0.0,653.6536312756191
