case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N162,224.25,69.75,120.0,618.1395359904272,855.3703243811615,25.842570081469603,-101.10704176436411,3120.097333521312,-9030.203417836805
service40,N233,-32.0,69.75,150.143,11.228018566966057,1408.0973678976297,-26.68223935365677,-237.40927439928055,-27.35013193555642,-349.00431881845
service40,N247,224.25,69.75,150.143,-111.16858034580946,2106.399516798556,-0.04073441028594971,-223.55487579107285,-103.11317308957223,2398.596636995673
service40,N248,-32.0,69.75,116.0,-281.2048659324646,-66.5607297718525,-2.679473638534546,1046.247770667076,3166.7038637767546,890.1620507240295
service40,N372,-32.0,69.75,117.5,176.5128083229065,-332.88239961862564,26.952144742012024,994.1180602312088,63.85462139127776,-3175.4413385391235
service40,N373,-32.0,69.75,142.022,-1.0773335992375482e-12,-2.281627018936283,-1.9565130973778624e-12,-4.110577473655099e-12,9.63885408645e-15,2.2169117292232828e-12
service40,N403,-32.0,69.75,193.643,-23.82941456752913,1333.8015630802115,-22.592057972186232,1210.9418585317148,-151.23209934152092,2812.3976564720515
service40,N428,224.25,69.75,121.5,-76.85379523411393,-198.4346335186856,0.6131224563578144,52.30998173105763,68.85719391235807,1251.669359034684
service40,N429,224.25,69.75,144.689,2.0973623582237664e-11,-3.1920965086485555,-2.0449713503036862e-11,5.1304727659193143e-11,9.417948342718225e-14,-1.1021303730780484e-11
service40,N468,224.25,69.75,193.643,164.74938637585757,800.3097922603246,-5.216994441381069,-162.57496936272295,-170.6020983492227,-3220.3287706538
service40,N549,-32.0,69.75,120.0,-176.51280756505344,329.27121641152877,-26.95214447520932,-926.7376991636481,-63.85462139074966,2734.159319263284
service40,N550,-32.0,69.75,147.143,176.51280756294727,-339.04041627049446,26.95214456319809,195.17564195394516,63.8546213908121,2056.92781701684
service40,N557,224.25,69.75,147.143,-477.5730938911438,-589.1607748568058,3.803663671016693,226.9811516404152,439.4514454829041,-4468.474650889635
service_patches,N162,224.25,69.75,120.0,676.8490078144241,1212.4508453620365,27.512132614152506,-107.26025846169796,3322.218703107344,-10069.875881126733
service_patches,N233,-32.0,69.75,150.143,13.898218251764774,1428.0857111215591,-26.802986800670624,-238.53441321849823,-26.911066941800527,-405.3752041012049
service_patches,N247,224.25,69.75,150.143,-116.61332230269909,2418.3928092494607,-0.7836560308933258,-236.32664549350739,-126.74541509116534,2515.989190801978
service_patches,N248,-32.0,69.75,116.0,-289.7238087654114,-64.42083662748337,-4.185414910316467,1051.607098698616,3367.8200427424163,820.3516926765442
service_patches,N372,-32.0,69.75,117.5,186.99893164634705,-334.15791606903076,27.133260250091553,999.3461500406265,69.54552541999146,-3359.586269378662
service_patches,N373,-32.0,69.75,142.022,2.491711431988292e-13,-2.281627018911233,5.038600001048258e-12,7.392005907226354e-12,-4.233658154699884e-14,-1.6148663014942693e-12
service_patches,N403,-32.0,69.75,193.643,-22.383317584256172,1353.4686273950024,-22.92940800148687,1216.5975798539494,-126.92869283999703,2989.404613800082
service_patches,N428,224.25,69.75,121.5,-82.63878006918821,-279.9418459959561,0.7732675921870396,60.578792041982524,76.44158192148006,1384.1302076969878
service_patches,N429,224.25,69.75,144.689,5.426528459221854e-12,-3.1920965087341067,9.248969558792389e-12,-2.181349803936859e-12,5.242550476555572e-14,-2.7928357958706106e-13
service_patches,N468,224.25,69.75,193.643,147.13433164678355,912.1216456489162,-5.51435914953087,-152.86007010240886,-179.755196541489,-3466.306934775247
