case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N149,-32.0,249.0,115.0,-314.9837684896046,315.7526960608168,2.5680977068789463,-900.5014057014787,-1471.75014409121,-2580.104585508493
service40,N187,224.25,249.0,120.0,-1.2607486122578848,810.9014342789596,-8.02248543969472,-456.4708675125439,-62.475633669183026,172.8855380624882
service40,N202,50.25,249.0,115.0,-117.7792508235094,123.58912012064071,12.567656277207032,628.3278112149526,537.4056868341736,232.63936074852725
service40,N204,53.25,249.0,115.0,-610.897624989927,1147.2770289639986,-22.61027633236787,-549.1093185349438,-1360.3136993365576,10259.996450030065
service40,N230,224.25,249.0,115.0,-301.33847454190254,2987.8937136121094,-198.68010741472244,31.47367227077484,-328.9145853854716,-2738.107587635517
service40,N483,56.25,249.0,207.0,700.0070996669688,442.71431668128645,-4.600464184024318,-44.223511847819886,-34.62301898847325,784.5468054754152
service40,N505,224.25,249.0,117.5,503.26629716157913,-1014.1708544623107,175.55939531326294,-1652.6147894859314,-1038.6399738979526,5044.0426788926125
service40,N509,224.25,249.0,227.319,-88.18872023849515,242.45443745455634,147.18055928007337,-2072.682083755996,-667.4532043253774,-1656.316557749588
service40,N529,224.25,249.0,229.319,287.6892600560163,-300.2645081805672,-138.27490287600983,1700.7073895469814,678.0325927270633,-1361.513664376942
service40,N686,224.25,249.0,224.25,1.66440019164834,-800.8833591389697,8.336341209086099,-401.2818014688361,59.75736959124515,14.3499817550706
service40,N689,-32.0,249.0,226.093,139.2194939003355,-25.990846297177935,38.42159216806717,-673.8613301881995,-1000.4789411006802,1034.8279317363622
service40,N694,50.25,249.0,229.319,288.79736095232306,337.69159705423874,-1.1584201737357225,84.93451009482135,-413.7592085749286,1171.2888362839158
service40,N695,53.25,249.0,229.319,-486.195324188354,-155.17666983961925,-11.28695512659105,-150.33848421132248,-816.2910402733398,-2776.825031061023
service_patches,N149,-32.0,249.0,115.0,-398.0598770608915,358.49985259140846,6.946038695874168,-918.1784647268022,-1733.2584458331185,-2900.193370727746
service_patches,N187,224.25,249.0,120.0,-1.530347624226124,870.1302315535431,-8.898931414500112,-506.78670650802087,-66.29696972673901,208.40049886298948
service_patches,N202,50.25,249.0,115.0,-247.86856266231794,301.1196187257146,13.249291404586762,672.6615109365057,568.6038765357235,166.76203419892366
service_patches,N204,53.25,249.0,115.0,-704.6929134858826,1472.1214471713793,-27.277717538334468,-603.1575989380324,-1575.2557147232542,14556.407177315503
service_patches,N230,224.25,249.0,115.0,-375.20543280243874,3720.6045659966767,-206.8614940047264,-524.2398017644882,-453.0029861200601,-4076.8411922454834
service_patches,N483,56.25,249.0,207.0,905.7726898627901,552.8862847045824,-6.859187677371891,-78.52322329868487,19.98672702194358,1009.1447830419045
service_patches,N505,224.25,249.0,117.5,589.8088456392288,-1028.0930044092238,181.50798672437668,-1233.3405349254608,-1009.2910569347441,5355.8867002129555
service_patches,N509,224.25,249.0,227.319,-105.67581644486766,248.44357409778792,181.20201274155806,-2190.4052391257746,-726.1615153276687,-2155.10202035813
service_patches,N529,224.25,249.0,229.319,313.5098668870006,-312.83855265014273,-170.1995936064183,1824.0780057458062,785.9492018918119,-1831.77738799207
service_patches,N686,224.25,249.0,224.25,2.0011537403496407,-860.2465600273691,9.251656958840906,-442.55819946734516,63.53192825868894,15.795220734440015
service_patches,N689,-32.0,249.0,226.093,241.11803068446878,-9.463272078581696,39.77295807565772,-686.0454504372917,-1041.8315584971556,1175.2292809830242
service_patches,N694,50.25,249.0,229.319,402.2332733593923,492.41222532225726,-0.3911439728271554,39.82035501716855,-412.3944906319562,1299.6859292303684
service_patches,N695,53.25,249.0,229.319,-621.4109101206666,-286.92168185899646,-11.441844505530046,-103.44145479111818,-856.243842287884,-3178.1943836967152
typical30,N149,-32.0,249.0,115.0,-227.46762307305556,234.56139560833208,10.157295226375844,-581.7510599191304,-1381.3851396212783,-2015.0141773859602
typical30,N187,224.25,249.0,120.0,-1.2237820158770774,497.97677789939917,-5.268846533974283,-299.789120096073,-48.479506988189314,149.88196616034838
