case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N148,-32.0,249.0,115.0,-269.81204066533513,329.75998278775677,-26.55213129408074,-573.0439483492303,583.1355246569245,388.00027344032003
roof_first_service,N186,224.25,249.0,120.0,-0.9854222505476722,487.82450478691067,-4.4481495292753515,-251.5312403025479,-14.995967430921452,22.470389241592226
roof_first_service,N198,50.25,249.0,115.0,112.59733251333564,-203.3962038336684,8.546195171821916,454.1426393245785,369.61755802593365,634.7287833305455
roof_first_service,N200,53.25,249.0,115.0,-21.065795006658238,250.96319364490338,5.4537214011364545,-442.92687837952167,495.0958819865848,-161.81045587902543
roof_first_service,N217,224.25,249.0,115.0,35.092912304653055,1012.3504090753004,-124.63161922687681,868.1605197925328,216.7430960978329,-582.2907807844686
roof_first_service,N419,56.25,249.0,207.0,175.41696487702396,165.95586702634233,-2.5763828217086506,-0.5955816620505671,36.39556207874208,226.75952343153057
roof_first_service,N441,224.25,249.0,117.5,32.52724665085468,-718.9733518943173,118.63943254261844,-1772.8670367456214,-255.98124288430952,-132.58383749415674
roof_first_service,N445,224.25,249.0,227.319,-139.19376847942704,262.8024714523581,-43.83700336350689,-1588.7655902613062,-416.71080660593645,1064.3265046674078
roof_first_service,N465,224.25,249.0,229.319,136.08811298808664,-220.30836495513083,51.0004370160545,1101.1383208028506,517.0929033539755,991.114940454491
roof_first_service,N613,224.25,249.0,224.25,0.8816919783762537,-472.4603576277126,4.520892843713685,-227.90440796860602,13.924188552145264,84.95810170101906
roof_first_service,N616,-32.0,249.0,226.093,102.54595364130039,-227.17738211949583,30.421940528601432,-419.35169375296965,-895.1810058679305,-1423.9079081374348
roof_first_service,N621,50.25,249.0,229.319,-23.184730686574216,-77.70537676547907,-4.670476539218071,268.3186614547905,-278.7873656435793,589.3756828866242
roof_first_service,N622,53.25,249.0,229.319,-140.90845787336897,139.4717779005245,-11.86685788765366,-341.7354936613001,-506.8836445717406,-1409.4031098824387
strength_roof_first,N148,-32.0,249.0,115.0,-353.0521363266096,435.26282237468143,-36.75643983266161,-798.0601418996794,790.6492743397395,476.7337275756896
strength_roof_first,N186,224.25,249.0,120.0,-1.1756536963828983,688.9417804241208,-6.215970931356907,-351.73719002278045,-19.32431485090327,25.80608873564099
strength_roof_first,N198,50.25,249.0,115.0,173.43380444320692,-295.56039134308884,11.9615431121041,636.598357833953,521.713049277855,750.9368905574722
strength_roof_first,N200,53.25,249.0,115.0,-32.13221530690278,352.65174392489746,7.0024996466101666,-620.8668334423041,683.0134773521959,-252.84935857075436
strength_roof_first,N217,224.25,249.0,115.0,44.130145889229425,1374.6311408415513,-175.44739467902502,1266.780669619575,283.7179709214289,-647.2911671142701
strength_roof_first,N419,56.25,249.0,207.0,229.5022522998332,212.55917751992303,-3.5616138892638554,2.3009789969809926,43.41322685568627,293.41834763808276
strength_roof_first,N441,224.25,249.0,117.5,36.82999592297371,-1018.9602135176729,167.3619916734613,-2535.1460216948344,-302.6759700908605,-122.79932213898155
strength_roof_first,N445,224.25,249.0,227.319,-157.71116112962386,379.1504099151543,-78.68299488507932,-2330.4601647824047,-495.30480001824174,1291.9863387781998
strength_roof_first,N465,224.25,249.0,229.319,171.7238136315817,-337.8675784356089,88.43777667239455,1611.9593863864911,616.0468749049137,1214.7150669400257
strength_roof_first,N613,224.25,249.0,224.25,1.0581000727134175,-672.0703542070494,6.302208827974859,-318.6183706672063,18.052917432545247,102.18687871838405
strength_roof_first,N616,-32.0,249.0,226.093,113.40909110670754,-317.6993179630394,42.17855664506818,-592.1871751571081,-1227.9286666489124,-1749.288426061244
strength_roof_first,N621,50.25,249.0,229.319,-41.92673854960476,-113.09525479295853,-6.3971726332626195,368.5005886586546,-387.6931628165342,718.174659700617
strength_roof_first,N622,53.25,249.0,229.319,-184.08929834809297,186.9846388566394,-16.182991600619367,-464.16038916576787,-713.0829739892478,-1815.1654369599778
lateral_HX,N148,-32.0,249.0,115.0,-636.4775903375609,-215.42972484432255,55.21082297634853,-579.2094337078636,-2969.495853819247,-874.5873148552021
lateral_HX,N186,224.25,249.0,120.0,-3.2411018191368526,241.0250611311147,-2.4632476776496044,-138.6508580821518,73.27824562350938,80.13852627564668
lateral_HX,N198,50.25,249.0,115.0,1392.3380318765444,-1933.8536367791312,23.688680392988683,900.5710650747651,137.6540612657835,705.7099576620693
lateral_HX,N200,53.25,249.0,115.0,-1458.0161139138274,1961.6232627872398,-59.19338162992585,-381.17092169872757,-4704.141163703278,-7951.071228128641
lateral_HX,N217,224.25,249.0,115.0,8.94675691329212,836.6438442246508,-73.45085127300581,78.13675479788873,-1649.3390009603322,-1445.4716461227827
lateral_HX,N419,56.25,249.0,207.0,-603.1320582433934,-109.6014944636546,26.122158427160194,423.7335426975524,-1146.2606404738465,-667.2500533916464
lateral_HX,N441,224.25,249.0,117.5,171.75836706747916,-319.9294149328197,42.71728197464668,-568.4101638793082,-507.98988824609876,-1146.4999391095596
lateral_HX,N445,224.25,249.0,227.319,691.0642370936146,106.74451752570273,13.062271074770411,-600.4622785624072,-3925.856305051941,558.1572152410934
lateral_HX,N465,224.25,249.0,229.319,1852.4305378571037,-25.599883195482747,-44.69010753308644,345.6352034511331,644.8303030579164,3539.9965876550805
lateral_HX,N613,224.25,249.0,224.25,4.08017317948555,-221.54416879744102,2.517491765888665,-123.67496725515059,-80.34255195106536,272.9421827138246
lateral_HX,N616,-32.0,249.0,226.093,-794.5741966698544,46.6427188021989,64.43748165437316,60.5574693796129,-4154.02452634964,-12.339159631012388
lateral_HX,N621,50.25,249.0,229.319,-1008.2052910333152,-1431.1223540395176,-3.5919658097708966,326.1535932084906,-618.8813703842762,-333.5302547455131
lateral_HX,N622,53.25,249.0,229.319,383.0282488876741,1793.508443244636,-44.36665861298442,-550.1442983323486,-1935.8989875541056,-3347.953400913773
strength_lateral_HX_1,N148,-32.0,249.0,115.0,-675.8011547895914,-169.25314988611518,52.34733786444581,-638.6145214202556,-2898.3120716030403,-802.5539600740649
strength_lateral_HX_1,N186,224.25,249.0,120.0,-3.441612771536692,286.81377463594606,-2.913781835002924,-164.00725528970887,70.94362910163102,85.21179330839894
strength_lateral_HX_1,N198,50.25,249.0,115.0,1395.6989958762892,-1948.79040445792,24.544864974698395,945.5859976420459,172.4915830566952,838.0245390052982
strength_lateral_HX_1,N200,53.25,249.0,115.0,-1458.80264246574,1986.0679460203255,-58.331654337409304,-425.07900768555396,-4649.571197623142,-7954.09491467637
strength_lateral_HX_1,N217,224.25,249.0,115.0,14.9560139330315,959.208600876671,-85.43244915076531,139.2748352061494,-1617.8035098008384,-1587.6586873405772
strength_lateral_HX_1,N419,56.25,249.0,207.0,-577.5496125959925,-83.11638964974553,25.841859124578566,422.1065879221648,-1138.8508044050357,-632.5516086077804
strength_lateral_HX_1,N441,224.25,249.0,117.5,179.36516651494242,-385.62798947786155,53.947832018166004,-719.1307812668404,-561.4368976979323,-1191.1673480672164
strength_lateral_HX_1,N445,224.25,249.0,227.319,658.5648036544578,127.41128974477698,17.334165719312654,-706.2446682612168,-4011.5725505301025,763.6252495346316
strength_lateral_HX_1,N465,224.25,249.0,229.319,1875.439120549931,-32.91278594608983,-48.108646253037875,420.566166811562,750.4811882786347,3725.5310056156127
strength_lateral_HX_1,N613,224.25,249.0,224.25,4.256476726191643,-263.4772776795807,2.9831016263544106,-146.68930827295517,-78.22965982366337,289.81522473446887
strength_lateral_HX_1,N616,-32.0,249.0,226.093,-769.2419792497502,23.750472125214404,67.68575576575205,21.169702010308644,-4256.204997895232,-276.82127296381185
strength_lateral_HX_1,N621,50.25,249.0,229.319,-1005.7897064265444,-1436.73902821609,-4.1297607276191055,356.55822804791944,-648.0646815131096,-221.11703840669125
strength_lateral_HX_1,N622,53.25,249.0,229.319,362.34613183172115,1811.5935463427322,-45.76864912712042,-591.4524987201652,-1984.8644164262737,-3567.893170577759
strength_lateral_HX_-1,N148,-32.0,249.0,115.0,203.91838146428339,723.3720493994455,-86.70915918833411,-74.24653120287086,3752.517457845295,1666.9542173414986
strength_lateral_HX_-1,N186,224.25,249.0,120.0,1.0354813417328446,262.65078780067296,-2.4926280545101274,-140.26951127602553,-98.95902738820371,-24.332588917742527
strength_lateral_HX_-1,N198,50.25,249.0,115.0,-1355.3674279342688,1769.5491923889103,-14.270649991254647,-405.4068068700894,245.558678399537,749.7504371164467
strength_lateral_HX_-1,N200,53.25,249.0,115.0,1449.3642998084097,-1692.7317473012365,68.67238185214966,-101.81802407446443,5304.410790779978,7917.810676635083
strength_lateral_HX_-1,N217,224.25,249.0,115.0,57.155068987747654,511.5684796559308,-58.346726527724265,594.382131138298,1996.2294047249438,-118.58580853046169
strength_lateral_HX_-1,N419,56.25,249.0,207.0,884.5389604896606,400.93764750021546,-29.205450818233107,-441.630045273639,1227.7688374251118,1048.9329461853856
strength_lateral_HX_-1,N441,224.25,249.0,117.5,-88.0835742325988,-402.7549057716163,80.81876939889466,-1089.5166319436773,-79.92721669221605,655.1584406915285
strength_lateral_HX_-1,N445,224.25,249.0,227.319,-1048.5580131782365,120.58997683413621,33.928570223524325,-563.144008617526,2982.977604949308,1701.9911631964517
strength_lateral_HX_-1,N465,224.25,249.0,229.319,-1599.3361172609768,-54.84204702994429,7.086181612567002,478.6053934753772,517.3294345852468,-1499.11797751371
strength_lateral_HX_-1,N613,224.25,249.0,224.25,-2.1408341664874473,-239.7200292979344,2.604216700785437,-129.48278401774385,103.58436537534956,-87.33872047843684
strength_lateral_HX_-1,N616,-32.0,249.0,226.093,1073.2285882359852,-298.45743207720477,-28.706466440362217,-493.8229105028667,3030.0393394500247,-2896.964086964179
strength_lateral_HX_-1,N621,50.25,249.0,229.319,1034.776721754252,1369.3389381353225,-2.3237782325943033,8.297389948665682,297.864948068551,1570.0756345910756
strength_lateral_HX_-1,N622,53.25,249.0,229.319,-610.5315365861131,-1594.572309269806,28.94476296026559,95.75409417744132,1397.2792702089487,928.6159344171369
strength_lateral_HX_2,N148,-32.0,249.0,115.0,-1115.660922913288,-615.565749530146,121.87558639380168,-920.7985165301607,-6223.726836318496,-2037.3080487837956
strength_lateral_HX_2,N186,224.25,249.0,120.0,-5.680159828152257,298.8952680535924,-3.124358725231743,-175.87612729656013,155.8949573464397,139.98398442147288
strength_lateral_HX_2,N198,50.25,249.0,115.0,2771.232207781172,-3807.960202880634,43.9526224580084,1621.0823998986175,135.95803538602024,882.1615899497658
strength_lateral_HX_2,N200,53.25,249.0,115.0,-2912.8861136045243,3825.4677926785275,-121.83367241795254,-586.7094994920069,-9626.562191827516,-15890.04771033051
strength_lateral_HX_2,N217,224.25,249.0,115.0,-6.143514198936828,1183.0286614847646,-98.9753105520702,-88.27881279061484,-3424.8199670010154,-2322.1951262415078
strength_lateral_HX_2,N419,56.25,249.0,207.0,-1308.593899139359,-325.14340822399464,53.36551409412301,853.9749045201896,-2322.160625320492,-1473.2938860045044
strength_lateral_HX_2,N441,224.25,249.0,117.5,313.0895373426372,-377.06453132976526,40.512363375154465,-533.9378560272727,-802.1917382617403,-2114.3302420840782
strength_lateral_HX_2,N445,224.25,249.0,227.319,1512.1262114482531,130.82194620031228,9.036963390928209,-777.794998269833,-7508.847628268513,294.44229222506516
strength_lateral_HX_2,N465,224.25,249.0,229.319,3612.8267405962083,-21.94815540239424,-75.7060600275639,391.5465533082821,867.0570651231742,6337.855497963724
strength_lateral_HX_2,N613,224.25,249.0,224.25,7.4551321724523625,-275.35590187040634,3.172544089137453,-155.29257040054003,-169.136672423176,478.3921973408842
strength_lateral_HX_2,N616,-32.0,249.0,226.093,-1690.4772629909194,184.85442423207851,115.8818668666518,278.6660082657232,-7899.32716656574,1033.2501340405995
strength_lateral_HX_2,N621,50.25,249.0,229.319,-2026.0729205155878,-2839.778011391771,-5.032751952986473,530.6886470986169,-1121.0294962890866,-1116.7133749040283
strength_lateral_HX_2,N622,53.25,249.0,229.319,848.7849660405735,3514.676474148091,-83.12535517072168,-935.0557951697716,-3675.9362597433055,-5816.147723070567
strength_lateral_HX_-2,N148,-32.0,249.0,115.0,643.7781495976094,1169.6846490424596,-156.23740771787024,207.9374639019866,7077.932222559607,2901.7083060463005
strength_lateral_HX_-2,N186,224.25,249.0,120.0,3.2740283982551825,250.56929438300364,-2.2820511642919383,-128.40063926915028,-183.91035563308583,-79.10478003120255
strength_lateral_HX_-2,N198,50.25,249.0,115.0,-2730.900639839751,3628.718990812702,-33.678407472780954,-1080.9032091273477,282.0922260696674,705.6133861729297
strength_lateral_HX_-2,N200,53.25,249.0,115.0,2903.4477709396497,-3532.131593962954,132.17439995167484,59.81246773486983,10281.401784970441,15853.763472289042
strength_lateral_HX_-2,N217,224.25,249.0,115.0,78.25459612634222,287.7484190444775,-44.80386514721201,821.9357791561752,3803.2458619825857,615.9506320595847
strength_lateral_HX_-2,N419,56.25,249.0,207.0,1615.5832470325677,642.9646660743667,-56.72910578799841,-873.4983618710024,2411.078658336565,1889.6752235818874
strength_lateral_HX_-2,N441,224.25,249.0,117.5,-221.80794388954502,-411.3183639184396,94.25423800858734,-1274.7095571479192,160.82762381020066,1578.3213354987406
strength_lateral_HX_-2,N445,224.25,249.0,227.319,-1902.1194209531723,117.17932038022323,42.22577251996539,-491.593678684147,6480.252682677134,2171.1741206927345
strength_lateral_HX_-2,N465,224.25,249.0,229.319,-3336.7237355442708,-65.80667757279939,34.68359546563056,507.6250068820495,400.7535577404205,-4111.442468886632
strength_lateral_HX_-2,N613,224.25,249.0,224.25,-5.339489613005753,-227.84140510705703,2.4147742379936994,-120.87952189013113,194.4913779748262,-275.9156930850751
strength_lateral_HX_-2,N616,-32.0,249.0,226.093,1994.46387197813,-459.56138417491894,-76.9025775363731,-751.3192167601389,6673.1615081250675,-4207.035493963085
strength_lateral_HX_-2,N621,50.25,249.0,229.319,2055.0599358455547,2772.377921313885,-1.4207869891845186,-165.83302910206808,770.8297628560952,2465.671971091554
strength_lateral_HX_-2,N622,53.25,249.0,229.319,-1096.970370795011,-3297.6552370777013,66.30146900282134,439.3573906279098,3088.3511135222693,3176.8704869179282
lateral_HZ,N148,-32.0,249.0,115.0,-141.8520789332214,288.50269704276167,-18.52949621657456,-316.2703815702261,518.4341470252347,467.2678162541059
lateral_HZ,N186,224.25,249.0,120.0,-0.8611875841867399,379.22710879047884,-2.7738239892419205,-159.0214802120296,-14.122565862997613,20.64291785036763
lateral_HZ,N198,50.25,249.0,115.0,-132.34759681024119,125.91081754330027,3.995521424479457,204.44669869156425,158.52965682659854,687.8996567309912
lateral_HZ,N200,53.25,249.0,115.0,137.94538590327053,-74.97346874211627,4.1234645951258875,-208.6010873081924,902.7922054221295,839.2775496096182
lateral_HZ,N217,224.25,249.0,115.0,38.18320814158824,869.4730963087736,-140.4015576756,1228.1545914196408,443.01310584109206,-531.6172002690578
lateral_HZ,N419,56.25,249.0,207.0,220.22121676103694,179.35032237907498,-5.264840180897934,-53.987535326066435,184.54632746767592,301.21850042546293
lateral_HZ,N441,224.25,249.0,117.5,28.061200960132986,-601.224962041943,140.17552020032164,-1946.8393091616717,-246.9302499516603,-171.5779172944596
lateral_HZ,N445,224.25,249.0,227.319,-205.287485714469,80.95514814262351,126.82623408374164,-556.2111538700308,-231.17455329208664,1068.2224588338281
