case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N5,-32.0,0.0,115.0,73.81878121007263,890.488179564145,10.009578057733194,96.92495183201964,418.09063022399215,1507.20727414847
service40,N7,-32.0,0.0,153.373,-212.9836465535253,-455.3589188442107,-11.26464550322404,536.2623656920392,-282.0898379800791,-810.6858847697063
service40,N70,224.25,0.0,115.0,344.4587994321972,700.5215416368906,21.050881663715554,190.8465955082642,383.27179228187265,-1087.2078978530737
service40,N72,224.25,0.0,153.373,-205.29393421425345,-393.06540042740573,-19.79581390253185,367.84910732193555,-197.66151637031015,698.2393434274836
service_patches,N5,-32.0,0.0,115.0,76.87198157169371,890.747255893517,10.001056725609253,97.13656133438121,435.41722024257564,1501.3208224968755
service_patches,N7,-32.0,0.0,153.373,-197.75722050977654,-454.858645717135,-11.48757052808266,537.6577628615793,-268.3294118885728,-805.6891206994618
service_patches,N70,224.25,0.0,115.0,346.22040289613966,701.0064389552143,22.400908504705423,214.2527726886515,405.0799221677031,-1050.614762929351
service_patches,N72,224.25,0.0,153.373,-225.33516407863172,-394.30964720472474,-20.91439438454944,394.3135142059875,-191.24853417571958,672.3607286169375
typical30,N5,-32.0,0.0,115.0,-6.689226899122474,648.1142308468934,5.928738884087594,93.45578134528675,361.41955739620425,1222.5348286775543
typical30,N7,-32.0,0.0,153.373,-124.74940200157552,-243.82542697946423,-7.52540443494567,304.9840986668594,-190.29225742325804,-625.3110414257173
typical30,N70,224.25,0.0,115.0,226.6182931871348,545.7576082581762,13.881438387667576,142.91932590309125,286.5578847338164,-1025.2837922096599
typical30,N72,224.25,0.0,153.373,-95.17966430740026,-207.46101020049835,-12.28477261673844,218.81672591861178,-48.539614424780396,443.9733144087608
storage125_sensitivity,N5,-32.0,0.0,115.0,110.59745304377388,920.6792620466322,14.450936578841587,250.0672611383101,857.6114201428057,1239.7669072959527
storage125_sensitivity,N7,-32.0,0.0,153.373,-52.776936050383085,-465.2445742257522,-20.625401691039322,741.6485974052549,-59.992414599980066,-748.5896903372768
storage125_sensitivity,N70,224.25,0.0,115.0,442.8782114917275,718.1676959271263,36.88082806534354,403.629017928611,924.7944520146365,-893.9875368499457
