case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N5,-32.0,0.0,115.0,-53.67058026584061,8707.919068795682,40.93820079460784,-3856.286005948017,-500.7565370263119,-269.54932956461835
service40,N6,-32.0,0.0,130.311,5.69914817820343e-12,-4.2847038445340395,1.0406403048328707e-12,5.174584035309278e-12,1.391557116351882e-14,-2.790750398097348e-12
service40,N7,-32.0,0.0,153.373,-139.9288295203005,310.89897530007875,-125.62706036340387,1569.0195363737876,-1220.240866178472,-2723.5467327644
service40,N15,-32.0,185.0,115.0,375.5372437810787,4453.906858623043,-450.96913570791094,15991.451487851189,3981.1406712805833,10294.648645879044
service40,N16,-32.0,185.0,116.0,480.8870859169573,-295.0840178629071,-221.98420293286165,-10831.315392984225,253.50959320295019,-72459.34165677546
service40,N17,-32.0,185.0,143.183,-9.87102738984725e-08,-6.232814608910792,-2.0954210917991111e-10,1.9224612384045234e-10,6.09618479634119e-14,1.2087412662387748e-09
service40,N18,-32.0,185.0,171.82,-1.9392777386953634e-10,-6.395091802972502,-6.338589625239645e-11,-7.015873342938079e-11,-1.5445426228121635e-14,2.883464014411348e-10
service40,N19,-32.0,185.0,200.457,3.614403621905986e-11,-5.854287820595002,6.67810349049485e-11,3.5805779001131405e-11,2.0082393589561312e-14,2.621057801727341e-11
service40,N20,-32.0,185.0,224.25,3.2221398800611496,150.257144510746,-6.690591357648373,148.55734369158745,-37.25139165483415,85.27752620424144
service40,N28,-32.0,253.0,115.0,-1.8965960332955816,10.708075888494658,37.49941661273609,43.91681782417548,26.220178018070126,83.00995228945695
service40,N32,-32.0,253.0,224.25,323.35330699011683,2442.630114423111,-1020.9195066206157,7262.7659774464555,-949.695333186537,-146.83923323838826
service40,N78,-32.0,-63.0,115.0,57.43776182039466,-711.8637459048232,2530.084657154572,3812.1511431183008,796.2315599265374,-298.68410601986113
service40,N80,-32.0,-63.0,117.0,19.972312818335922,-814.1889426579319,-2481.437160426198,-2797.26096386445,380.99105050881917,-349.3723987905305
service40,N127,-32.0,69.75,115.0,52.26020502538829,182.31647045320196,-12.149438716002328,-1053.0494986547458,-1615.3301113657685,1224.4368023591196
service40,N149,-32.0,249.0,115.0,-218.36193656132892,380.2024980270164,1121.0443038497197,2370.771685028941,4245.6563825517205,9567.450527824969
service40,N150,-32.0,252.0,115.0,1.395007432789778,244.21708860269044,-9.71164872375341,-544.368296547242,-70.66417444373019,-157.0531521729638
service40,N233,-32.0,69.75,150.143,-11.228018549154513,-1411.840209352551,26.682239373214543,237.40927434244077,27.35013193664662,349.0043188090858
service40,N248,-32.0,69.75,116.0,228.9446644935623,-144.03955790714372,14.828912868122996,-5.347712606678038,-1551.3737524240853,-2166.8590529749104
service40,N369,-32.0,-0.0,117.5,-95.29389809776964,-1576.56296975237,-311.70886090064045,-3416.3823755557273,-849.8484725970734,891.84448693963
service40,N370,-32.0,-0.0,134.148,-1.0244102506501292e-12,-0.9286815991371353,-2.506644999096052e-13,2.9660842038651862e-12,-1.0118443329032244e-14,-4.10001470744481e-13
service40,N371,-32.0,-0.0,150.796,95.29389782127717,1551.9964818693918,311.7088608548225,-6962.275856646685,849.8484725971697,2281.061140844971
service40,N372,-32.0,69.75,117.5,-176.5128067835467,329.4544331043726,-26.95214424617734,-994.1180604341498,-63.85462139001697,3175.4413378559984
service40,N373,-32.0,69.75,142.022,-9.094947017729282e-13,-2.2816270189359784,0.0,0.0,5.684341886080802e-14,3.637978807091713e-12
service40,N381,-32.0,185.0,117.5,-532.5954137162543,-2351.317929116502,411.9355282016501,19850.74629541527,284.0948317524419,41479.07409848257
service40,N382,-32.0,185.0,143.688,4.559232803945584e-09,-1.4608395190933454,2.2295333333012987e-10,1.8270497141700111e-10,2.5756541987254213e-14,5.0399341055907546e-09
service40,N383,-32.0,185.0,169.875,-7.808743454710052e-10,-1.4608395190265442,-2.1453116691697882e-10,4.336215258426535e-11,-2.925251655986188e-14,3.759560322762147e-10
service40,N384,-32.0,185.0,196.062,-2.5292716586117494e-11,-0.9923180341926279,-2.584376867815e-11,3.09384416949382e-12,8.668491421822742e-15,1.5574729620180733e-11
service40,N385,-32.0,185.0,205.452,145.1119499206543,-1838.5607023239136,398.4049472808838,13744.01085615158,2486.988748073578,2403.099054336548
