case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N218,-32.0,69.75,150.143,-45.68735732539378,11.848477295037755,8.461993279520371,-22.513483239169883,-6.082165588626903,-197.00144327335724
roof_first_service,N232,224.25,69.75,150.143,26.252750512082635,246.33007271005607,1.937072371501477,-15.117506530667495,79.5289787456577,-636.3474320666029
roof_first_service,N337,-32.0,69.75,193.643,9.5312881090294,209.44970367223058,-7.570303022449076,567.8248399231036,-236.0834555237687,-945.3896622711354
roof_first_service,N402,224.25,69.75,193.643,9.903318459765282,-5.484895016023282,-2.8287610733858872,-77.83450025395766,-65.85871053596806,119.6849760982102
strength_roof_first,N218,-32.0,69.75,150.143,-57.85791410676118,-7.528378703722853,11.90072257458289,-26.52745053773001,-6.566848525679301,-284.7278839046365
strength_roof_first,N232,224.25,69.75,150.143,20.563114618065175,316.4228260053625,2.7427871441348595,-17.269149186257952,108.62793400646163,-819.7120333545839
strength_roof_first,N337,-32.0,69.75,193.643,13.752100870296458,270.18770245735,-10.800570001725887,789.9824038174047,-285.9525937858179,-1140.6385281681557
strength_roof_first,N402,224.25,69.75,193.643,23.542698271895787,-24.510119365921305,-3.842937568042756,-109.19313925418139,-98.022206478517,119.31254155689633
lateral_HX,N218,-32.0,69.75,150.143,30.88318271133423,87.80234825376652,3.5200513290825532,-13.79449080904853,131.08916616452896,603.615938139036
lateral_HX,N232,224.25,69.75,150.143,188.95302049813347,217.78570568342036,2.837010075718208,-16.529508293319275,285.7197945314,-340.4520471743856
lateral_HX,N337,-32.0,69.75,193.643,-35.683656412880296,184.94902253079934,-4.784384386634664,363.5922573838949,-116.16747534426796,-105.06066140313872
lateral_HX,N402,224.25,69.75,193.643,-184.15254658270885,-28.3937178331331,-1.5726763558372785,-56.736089952442335,23.34395780652404,959.4428724220442
strength_lateral_HX_1,N218,-32.0,69.75,150.143,23.262253939027925,101.04531948270449,4.33928466455813,-18.541552124865387,129.50685800051005,588.378725973776
strength_lateral_HX_1,N232,224.25,69.75,150.143,199.6736636573195,256.63835076888887,3.0152743942050684,-19.988938935516675,295.02901057084074,-439.6739756497755
strength_lateral_HX_1,N337,-32.0,69.75,193.643,-34.93467620299135,217.41493420138002,-5.440341805196962,422.86092742618877,-162.05794266842898,-291.05312726190846
strength_lateral_HX_1,N402,224.25,69.75,193.643,-188.0012412023609,-20.526574092799958,-1.9142164316961792,-64.40712054064679,19.668092810128705,995.5345821838877
strength_lateral_HX_-1,N218,-32.0,69.75,150.143,-114.71339950302261,57.87033487358516,5.491515366820723,-38.423183721315695,-148.49455633617254,-771.225276291941
strength_lateral_HX_-1,N232,224.25,69.75,150.143,-71.02594618390087,209.59339100447002,-0.8761025556925394,-21.524228684593247,-183.31841847803796,-750.989170510213
strength_lateral_HX_-1,N337,-32.0,69.75,193.643,43.92243735596129,172.17600615845075,-2.4311472203176927,288.36311297740065,-388.6276669026633,-1940.8564619517465
strength_lateral_HX_-1,N402,224.25,69.75,193.643,141.81690786861128,114.93229832816942,-2.1842644964306563,-27.645246428562164,-63.77847435502063,-562.4340612219713
strength_lateral_HX_2,N218,-32.0,69.75,150.143,92.25008065995635,122.63281178008204,3.7631693173180136,-8.600736326615422,268.50756516686096,1268.1807271068883
strength_lateral_HX_2,N232,224.25,69.75,150.143,335.0234685773169,280.16083065179066,4.960962872646916,-19.221294060883192,534.2027250974402,-284.0163782174172
strength_lateral_HX_2,N337,-32.0,69.75,193.643,-74.36323298251634,240.03439822667178,-6.944939102295733,490.1098346506548,-48.773080547324945,533.8485400798637
strength_lateral_HX_2,N402,224.25,69.75,193.643,-352.9103157376489,-88.25601029962439,-1.779192401817032,-82.78805759672242,61.3913763906565,1774.518903888768
strength_lateral_HX_-2,N218,-32.0,69.75,150.143,-183.7012262253382,36.282842573306944,6.067630706732968,-48.363999519465146,-287.4952634966805,-1451.027277424605
strength_lateral_HX_-2,N232,224.25,69.75,150.143,-206.3757511042031,186.07091112995667,-2.821791031294897,-22.291873559202816,-422.49213300270276,-906.6467679468982
strength_lateral_HX_-2,N337,-32.0,69.75,193.643,83.35099413549786,149.5565421298554,-0.9265499262503855,221.11420575286266,-501.91252902153326,-2765.7581292966634
strength_lateral_HX_-2,N402,224.25,69.75,193.643,306.7259824044155,182.66173453264264,-2.3192885297643873,-9.264309372540653,-105.50175793686245,-1341.4183829241208
lateral_HZ,N218,-32.0,69.75,150.143,-32.34224642376558,66.59340811910741,3.2774379038948585,-3.9455637071492005,27.89727751465331,-26.879426092568707
lateral_HZ,N232,224.25,69.75,150.143,79.80116640389734,177.46707937602787,-0.4839129359271873,-64.38003731729076,134.36660835499717,-474.77972593606984
lateral_HZ,N337,-32.0,69.75,193.643,-3.867212025483,168.48670203459832,-2.787329339391337,321.30588802215874,-241.89942893898055,-858.852031214793
lateral_HZ,N402,224.25,69.75,193.643,-43.591708160751864,49.59616909582024,-0.006194470060950386,-131.46195812893004,-45.954623282381945,323.2085633758352
strength_lateral_HZ_1,N218,-32.0,69.75,150.143,-39.9631751961695,79.83637934849617,4.096671242466127,-8.69262502294927,26.314969349151987,-42.116638254844396
strength_lateral_HZ_1,N232,224.25,69.75,150.143,90.52180956343017,216.31972445850658,-0.3056486173065338,-67.83946795944942,143.6758243956488,-574.0016544098595
strength_lateral_HZ_1,N337,-32.0,69.75,193.643,-3.11823181560221,200.95261371627322,-3.443286760730411,380.57455806468425,-287.7898962629824,-1044.8444970711762
strength_lateral_HZ_1,N402,224.25,69.75,193.643,-47.44040278072749,57.46331283495618,-0.3477345368762531,-139.13298871721383,-49.630488275437145,359.3002731411676
strength_lateral_HZ_-1,N218,-32.0,69.75,150.143,-51.48797036733159,79.07927501457404,5.734128784265807,-48.27211082326513,-45.30266768155277,-140.729912059062
strength_lateral_HZ_-1,N232,224.25,69.75,150.143,38.12590791024046,249.91201731256305,2.444820456466781,26.326300339343007,-31.965232302145004,-616.6614917464867
strength_lateral_HZ_-1,N337,-32.0,69.75,193.643,12.105992968501353,188.63832665761268,-4.42820226786418,330.6494823386524,-262.8957133063563,-1187.0650921371282
strength_lateral_HZ_-1,N402,224.25,69.75,193.643,1.2560694467321867,36.94241139105002,-3.750746383523647,47.08062174799504,5.520106733339153,73.80024782847127
strength_lateral_HZ_2,N218,-32.0,69.75,150.143,-34.20077761101243,80.21493150927225,3.277942469594607,11.097117877209916,62.123787865495,7.189998641049981
strength_lateral_HZ_2,N232,224.25,69.75,150.143,116.71976038968961,199.5235780313558,-1.6808831446033428,-114.92235210890361,231.49635274696627,-552.6717357399586
strength_lateral_HZ_2,N337,-32.0,69.75,193.643,-10.73034420753904,207.10975724136142,-2.950829006509731,405.5370959274665,-300.23698773990685,-973.7341995413445
strength_lateral_HZ_2,N402,224.25,69.75,193.643,-71.78863889409028,67.72376355540544,1.3537713700812215,-232.23979394979565,-77.20578579027898,502.0502857964527
strength_lateral_HZ_-2,N218,-32.0,69.75,150.143,-57.25036795285913,78.70072283613786,6.552857554379119,-68.06185372355137,-81.1114861962274,-190.0365489641221
strength_lateral_HZ_-2,N232,224.25,69.75,150.143,11.927957084527927,266.7081637369422,3.8200549868315132,73.40918448881018,-119.7857606534205,-637.9914104195504
strength_lateral_HZ_-2,N337,-32.0,69.75,193.643,19.718105360427096,182.4811831318654,-4.920660023898427,305.6869444765093,-250.44862182788654,-1258.175389662203
strength_lateral_HZ_-2,N402,224.25,69.75,193.643,25.60430555977405,26.68196068140957,-5.452252303893423,140.18742698056639,33.09540423938739,-68.94976483245041
basic_Droof,N218,-32.0,69.75,150.143,-5.155231619726584,-30.86620172956565,2.3244792524878974,3.1287318883037973,0.8827965120057472,-79.34034712080668
basic_Droof,N232,224.25,69.75,150.143,-19.13600380904057,21.90347666948904,0.602421951959709,-1.9831708757421125,18.15165845450563,-88.28458722665258
basic_Droof,N337,-32.0,69.75,193.643,4.263262774567785,25.78445538780703,-2.2555399089287054,150.80454712715164,-6.900098275649291,-22.03149859983588
basic_Droof,N402,224.25,69.75,193.643,20.02797258842823,-16.821730318989985,-0.6713609016700275,-24.629907186749787,-29.799990163741352,-55.87232777955658
basic_Dsteel,N218,-32.0,69.75,150.143,-32.94941239306433,97.08105767576478,1.7716874243930392,-26.864038496146737,-8.79433752003529,3.1542840741263958
basic_Dsteel,N232,224.25,69.75,150.143,72.73921937242476,172.3597491308775,0.28889965004212736,-15.313982290343953,28.394421545564143,-407.82505740161656
basic_Dsteel,N337,-32.0,69.75,193.643,-0.5183624218918184,136.5451031175933,-1.0242471866864937,145.53880303068675,-222.55223920993902,-907.9308301441516
basic_Dsteel,N402,224.25,69.75,193.643,-39.27144460407142,56.157448700800295,-1.0363394873025202,-13.725245705499512,11.420664356929125,236.3308784083007
basic_Dwall,N218,-32.0,69.75,150.143,-3.5861721013363166,-71.65121876512073,0.8775106568909907,-3.2745477957373725,1.093005988187926,-62.22314552247225
basic_Dwall,N232,224.25,69.75,150.143,-3.1883999218046224,-27.894466489387757,0.2269626834713593,-6.36879756445989,6.634590640877834,7.4384232433636
basic_Dwall,N337,-32.0,69.75,193.643,3.8397123943812863,70.16718284839057,-0.8264935552571534,65.07552318152064,-15.533701773831849,12.492652551996235
basic_Dwall,N402,224.25,69.75,193.643,2.9348596073490913,29.37850240997534,-0.27797963484164295,-7.3875879186130256,-5.2669976347293455,-43.298251678756095
basic_HX,N218,-32.0,69.75,150.143,68.98782672106768,21.587492305460994,-0.5761153465429821,9.940815798223918,139.00070716592927,679.8020011347178
basic_HX,N232,224.25,69.75,150.143,135.3498049206958,23.522479881404887,1.945688475924445,0.7676448745667961,239.17371452488968,155.6575974319714
basic_HX,N337,-32.0,69.75,193.643,-39.428556779368066,22.619464020958002,-1.5045972921320971,67.24890722436372,113.28486211731419,824.901667342194
basic_HX,N402,224.25,69.75,193.643,-164.90907453533237,-67.7294362085177,0.13502403235541754,-18.38093705604662,41.72328358193469,778.9843217031636
basic_HZ,N218,-32.0,69.75,150.143,5.762397585462385,0.3785521685928522,-0.8187287716148974,19.7897429001795,35.808818515666445,49.306636901775974
basic_HZ,N232,224.25,69.75,150.143,26.197950826391402,-16.79614643104758,-1.3752345331852827,-47.082884149526905,87.8205283501785,21.32991867138309
basic_HZ,N337,-32.0,69.75,193.643,-7.612112391983241,6.157143528658701,0.49245775318512236,24.962537862749233,-12.447091477932034,71.1102975318172
basic_HZ,N402,224.25,69.75,193.643,-24.34823611353513,10.26045071858461,1.7015059200152802,-93.1068052325864,-27.57529750634103,142.75001265742793
basic_R20,N218,-32.0,69.75,150.143,-7.582713312605329,-54.36637865420043,4.365826604434362,1.2218233686171434,1.8293754194805412,-120.81538023540764
basic_R20,N232,224.25,69.75,150.143,-27.350465050900826,52.06684690225785,1.0457507636739123,2.179646636367451,32.98289874595599,-140.23778743253467
basic_R20,N337,-32.0,69.75,193.643,5.786387753624794,47.12014516820529,-4.290515928996965,271.48148976505036,-6.631118040713073,-15.427333522168793
basic_R20,N402,224.25,69.75,193.643,29.14679047792401,-44.820613395826854,-1.1210606932600273,-39.47934736346426,-47.47938473791207,-60.773574532527356
basic_U20,N218,-32.0,69.75,150.143,7.582713312605329,54.36637865420043,-4.365826604434362,-1.2218233686171434,-1.8293754194805412,120.81538023540764
basic_U20,N232,224.25,69.75,150.143,27.350465050900826,-52.06684690225785,-1.0457507636739123,-2.179646636367451,-32.98289874595599,140.23778743253467
basic_U20,N337,-32.0,69.75,193.643,-5.786387753624794,-47.12014516820529,4.290515928996965,-271.48148976505036,6.631118040713073,15.427333522168793
basic_U20,N402,224.25,69.75,193.643,-29.14679047792401,44.820613395826854,1.1210606932600273,39.47934736346426,47.47938473791207,60.773574532527356
