case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N50,224.25,-63.0,120.0,2.415233950429036,-588.2421759848075,-5.149591004199233,4453.66792411084,-431.828668848404,-43.19572641900475
service40,N60,224.25,253.0,228.398,-399.015365421772,4072.7625046372414,2482.52940890193,8179.898656249046,-897.4656499624252,1110.1843980168924
service40,N70,224.25,0.0,130.311,7.606650390320277e-13,-9.01856236630505,6.47474806351583e-12,-1.8477027197416902e-11,-2.0795352638884095e-13,2.231685761987527e-12
service40,N71,224.25,0.0,153.373,180.03967534648257,-1475.1266454318527,-335.6614823220002,7367.657947120022,440.0608139623471,3000.638641727874
service40,N72,224.25,0.0,156.373,0.12633132934570312,30.81687819957733,1.19122314453125,-26.473426818847656,4.335842081345618,-1.3666162490844727
service40,N154,224.25,0.0,120.0,-240.43017177336242,11378.9560619056,975.7443641115169,-6898.798298529768,-917.6479734223899,-916.2383466660194
service40,N161,224.25,69.75,120.0,-620.6897283428137,-879.5497374823942,-21.638642210561787,82.57563890700601,-2680.30827410748,9142.70312256407
service40,N169,224.25,122.762,120.0,2.357675728670379,-8185.811393170132,-4556.173405638828,-2138.021598826594,104.03463620353524,-1092.7211021917421
service40,N177,224.25,185.0,120.0,-291.4728973342405,-12950.71323834351,5221.4128621177515,3392.91126237782,-1677.6329005944826,66692.4847990769
service40,N186,224.25,249.0,120.0,-951.4109957931792,1670.0441791717258,-498.2119702657513,5898.125640077435,1816.391922268726,-12701.452195644668
service40,N188,224.25,253.0,120.0,735.6296852668884,2237.451535335667,376.71479091917365,393.37254936444833,-1565.2977077371222,673.4442193030236
service40,N245,224.25,69.75,150.143,1.89250770653598,-33.40343230916187,-0.020939794601872563,-0.10394803830422461,-1.910810635893995,13.72601735824719
service40,N424,224.25,-0.0,121.5,106.11450055000647,-1927.5515103105135,-460.98728944993945,-5173.3275824852535,-169.09776854732044,-903.9060780627109
service40,N425,224.25,-0.0,150.796,-106.11450104446357,1892.9082170682673,460.9872899475723,-8331.756062558154,169.09776854712712,-2204.824344455679
service40,N426,224.25,69.75,121.5,75.15841151917783,135.61721507601743,-3.2018202658152806,-156.05129824836916,-62.65152570694139,-1235.3812674111832
service40,N427,224.25,69.75,144.689,2.3283064365386963e-10,-9.272280334029347,0.0,0.0,0.0,-4.656612873077393e-10
service40,N428,224.25,69.75,152.368,84.19756979565194,-1965.1308447105805,16.131185622737522,393.35794194294454,86.72415515541941,-1888.8779622268296
service40,N466,224.25,69.75,193.643,-116.56963641941547,-717.6813198626041,7.361467599868774,58.92653274536133,174.38849449914414,2706.5196907520294
service40,N527,224.25,249.0,229.319,383.7318170365305,1230.7658721226783,-2566.2008805274113,476.7618339114559,1333.297793896911,6441.446159036448
service40,N555,224.25,69.75,147.143,467.03789657447487,430.0135757755488,-19.86332632554695,-458.74929908441845,-399.8464353450745,4299.535547240172
service40,N631,224.25,-63.0,122.0,1.9163916411910236,90.59378151107893,-876.4234834179932,355.1681237038284,-626.052400314063,-393.1094387385891
service40,N640,224.25,-0.0,156.677,32.52025604248047,1899.2605552375317,306.63922119140625,-6907.753105163574,681.811167200096,-341.89484786987305
service40,N658,224.25,120.0,222.729,192.97244503129824,-35.34763835155068,112.30660021496786,-1526.447122456025,1391.2667174122414,3221.8072263271984
service40,N659,224.25,122.762,224.25,-103.21488101035357,8582.191243872046,-5208.382932186127,2838.702924013138,-2914.1042317945976,-2891.806314341724
service40,N665,224.25,150.0,231.911,222.5022621581884,-118.84254198496357,-70.14786058375307,1551.6422867909746,457.5360972329113,5098.628203579252
service40,N672,224.25,185.0,231.911,-2.357676863670349,8087.562452837825,4556.173403739929,-1437.8805356025696,42.70245252002496,828.8711345791817
service40,N681,224.25,235.0,231.911,342.66318387807746,-89.5578107690356,104.87176945765063,-1286.8803685881144,-613.1463955315754,3217.8614157324564
service_patches,N50,224.25,-63.0,120.0,0.9376344213911783,-642.710735567904,142.5430720580129,4736.816967894086,-467.67463139158605,-34.404810644901154
service_patches,N60,224.25,253.0,228.398,-466.48646887391806,4440.257090270519,2727.661817625165,8767.42143073678,-993.2868694104254,1194.1438384559005
service_patches,N70,224.25,0.0,130.311,-1.0701699673297994e-12,-9.018562366302554,1.8938769809138937e-12,-1.9022215772298247e-11,-1.6391282694640258e-13,2.0520518541019396e-12
service_patches,N71,224.25,0.0,153.373,179.8153032178096,-1531.9282706261613,-363.95133562629314,7867.755813309296,425.049080599624,2995.6201600412833
service_patches,N72,224.25,0.0,156.373,0.110870361328125,31.9109648168087,1.29364013671875,-28.933059692382812,4.086992621421814,-1.2388172149658203
service_patches,N154,224.25,0.0,120.0,-236.7248683310615,12182.292949505192,1042.6741414349935,-7449.4952991505525,-940.5691992019201,-980.377256659106
service_patches,N161,224.25,69.75,120.0,-680.6091252449731,-1235.3024936115473,-22.86893558825192,86.67113468261988,-2839.2184763567298,10098.925707401513
service_patches,N169,224.25,122.762,120.0,2.36921677347853,-9001.785243324373,-5012.578654691368,-2330.965593300655,110.57318395624357,-1200.1023734304151
service_patches,N177,224.25,185.0,120.0,-321.90630634703155,-14561.700712175458,5624.051301778411,3698.579362741657,-1998.7241468124612,73834.79999199149
service_patches,N186,224.25,249.0,120.0,-1121.522316041185,1727.5587842507096,-530.7177093278715,5610.026062363685,1793.6539005462976,-13857.734442385921
service_patches,N188,224.25,253.0,120.0,880.4545688944424,2474.68239408526,399.8252872648824,428.23616404384006,-1867.9617716941918,845.0662620280737
