case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N148,-32.0,249.0,115.0,-111.19601163665695,276.83770132691444,59.44349855302369,429.343232674719,-2696.782546655847,-2500.7786281433528
service40,N186,224.25,249.0,120.0,-1.899062685595709,820.1670914556598,-3.7215270672459155,-235.80114255909575,-54.166806721187186,181.92938130811672
service40,N201,50.25,249.0,115.0,-99.46611009530996,94.93365314362144,-2.1687537197355216,-164.99400211817667,-169.44741033045182,459.1172918326111
service40,N203,53.25,249.0,115.0,-681.0920902115147,1437.4889297647258,-43.2366770339567,429.88245291543564,-2070.113512317621,19024.619486615604
service40,N228,224.25,249.0,115.0,-270.7972515821457,2722.455666894093,-263.73014736175537,889.7113807201385,-119.99457497755066,-2138.549917280674
service40,N481,56.25,249.0,207.0,672.7737583689791,313.4108735396144,-7.489343132933469,-37.37196328329877,-54.17560809289506,650.9622349583584
service40,N503,224.25,249.0,117.5,476.4233747124672,-1241.8649643696845,250.84477877616882,-2202.6743570566177,-880.4111921833828,5065.660725712776
service40,N527,224.25,249.0,229.319,-38.891870676181675,-475.3665839809697,3.2127966879673973,-574.8385098143038,-199.20710107504104,-9124.745482102915
service40,N628,-32.0,249.0,226.093,106.7884338586715,48.56820109954343,-15.379192840602883,275.47714315300624,262.0350662878162,1256.033370468425
service40,N690,50.25,249.0,229.319,381.19465509495683,467.52305237506914,9.131283594578884,-418.6108245254883,138.57017735226307,1092.300373969119
service40,N691,53.25,249.0,229.319,-433.83782520586095,-348.52755905772693,13.093280617939513,490.9385798890965,-246.53491157878753,-2027.5764389443298
service_patches,N148,-32.0,249.0,115.0,-192.1711125719575,311.9215918732765,65.05494340851386,438.9452634292613,-2996.6308690396454,-2814.8722289734033
service_patches,N186,224.25,249.0,120.0,-2.582213746602065,891.7403781555768,-4.201944210799411,-265.8138231249177,-59.25888200446752,225.32897186549962
service_patches,N201,50.25,249.0,115.0,-192.39153982741593,220.62455394000875,-1.3171742457005924,-103.54849103503356,-131.85907234864132,487.3289289828876
service_patches,N203,53.25,249.0,115.0,-773.3542197449225,1916.9365467878179,-49.55587229823428,369.9041803801091,-2293.7320060994484,26661.38946440993
service_patches,N228,224.25,249.0,115.0,-326.9738521575928,3305.4257092289627,-281.03151071071625,575.7138639688492,-181.05825410271063,-3357.9875795841217
service_patches,N481,56.25,249.0,207.0,872.8728530226163,374.6636670427327,-9.846218999025247,-65.74636380986566,-5.439874998003752,815.1875241677383
service_patches,N503,224.25,249.0,117.5,561.7791073620319,-1305.8667411059141,267.32984149456024,-2002.4828732013702,-866.5072200638242,5408.442291855812
service_patches,N527,224.25,249.0,229.319,-66.89327224141967,-401.23441349807797,4.759028203941319,-645.1216164962963,-155.57101406816017,-12125.771319589143
service_patches,N628,-32.0,249.0,226.093,191.7679125709545,71.77669014707666,-14.058029369184641,281.20782219036147,199.66538040518162,1442.6932085404887
service_patches,N690,50.25,249.0,229.319,482.1636231372372,605.7591587232121,10.168873647215003,-474.83255442031594,146.38523848663513,1172.4369032001234
service_patches,N691,53.25,249.0,229.319,-554.217286034928,-469.25445644249834,12.698061262341731,553.8877904642947,-307.2981024562146,-2329.6459203233785
typical30,N148,-32.0,249.0,115.0,-116.37303520207315,228.75374972772184,46.05120777121041,245.13767644082088,-2182.253977756241,-1956.0451684066843
typical30,N186,224.25,249.0,120.0,-1.8740741702349624,512.3453089046234,-2.581893292546738,-162.21483161661308,-44.10381759697589,160.9140195591317
typical30,N201,50.25,249.0,115.0,-125.5411060279998,127.54979666821312,-0.8767363667019635,-90.67462809061524,-104.09882126836342,521.5848418019582
typical30,N203,53.25,249.0,115.0,-544.3871305732321,1181.7283862291642,-34.33149494432826,277.8237790510133,-1727.5008736524426,16208.875585185911
typical30,N228,224.25,249.0,115.0,-226.86749175190926,2026.0257648546249,-169.85231560468674,339.1274603009224,-162.43864288646728,-2110.7461981773376
typical30,N481,56.25,249.0,207.0,555.0165806445639,260.849329119915,-5.45950677841891,-37.53223511537908,-28.486758733913618,531.3648359543782
typical30,N503,224.25,249.0,117.5,408.64382749795914,-745.2029535640031,159.14206683635712,-1210.1315315365791,-733.536673521623,4085.9858117699623
typical30,N527,224.25,249.0,229.319,-47.404407271892275,-177.50767083292106,2.3143308234618147,-385.8101876404402,-100.79090622390162,-7367.587129450267
typical30,N628,-32.0,249.0,226.093,131.91789134215588,79.65707239439942,-9.359622665899296,163.30930665569485,137.9294737750596,840.4910761725473
typical30,N690,50.25,249.0,229.319,323.7552163830175,391.27822734450535,6.773360861931203,-319.5600785829269,78.92997370508034,971.5063254668647
typical30,N691,53.25,249.0,229.319,-356.88627092634397,-267.49802610834814,8.180606018896778,363.54799451744964,-172.88026039866023,-1758.2316131223374
storage125_sensitivity,N148,-32.0,249.0,115.0,-87.0673016784123,111.08898098257488,132.1352789466716,731.4626889548275,-6291.064757395461,-7443.881879392361
storage125_sensitivity,N186,224.25,249.0,120.0,-2.888320622907486,1305.7733783492004,-5.763400224386714,-367.8591274296632,-135.8890602477095,412.4021353291173
storage125_sensitivity,N201,50.25,249.0,115.0,-231.6936041836929,292.0585952875436,-2.2165638194957844,-248.99356600224093,-286.5686139095346,98.500316512153
storage125_sensitivity,N203,53.25,249.0,115.0,-1577.7071101702418,3136.3584612110308,-94.88862440540112,728.7109085934524,-5246.968587889615,42798.09193560884
storage125_sensitivity,N228,224.25,249.0,115.0,-710.6903807520866,4922.7201633267105,-418.6388326883316,745.538464307785,-621.8792673749849,-4052.8039088249207
storage125_sensitivity,N481,56.25,249.0,207.0,1342.908234932325,527.1616085350503,-12.204796711934463,-73.84727951759082,-199.3833724743547,1206.8449722637897
storage125_sensitivity,N503,224.25,249.0,117.5,1177.0354456305504,-1870.2212623097003,386.9834945201874,-2861.1765491962433,-2336.978201358579,13496.004393100739
storage125_sensitivity,N527,224.25,249.0,229.319,-79.45021182581175,-655.2575286471179,0.0524185334056184,-846.5861206744391,-365.5994614854112,-24053.39048004523
storage125_sensitivity,N628,-32.0,249.0,226.093,192.95166288601214,365.1805247147184,-30.71728597377139,418.5821747604736,560.8228238332798,5141.284581158826
storage125_sensitivity,N690,50.25,249.0,229.319,814.4297512489283,1045.5822090748168,19.951900768670292,-956.1844900728157,240.00864936720436,1796.0724383997765
storage125_sensitivity,N691,53.25,249.0,229.319,-837.8281655719408,-834.8189167606955,25.30642602764915,1147.1483251457544,-441.84373565787075,-3269.3677714411842
live_only,N148,-32.0,249.0,115.0,11.354698065685753,-77.99940315730474,34.20790065654701,142.17387744066164,-1691.427124952776,-2326.1662644910357
live_only,N186,224.25,249.0,120.0,-0.465533197777404,228.52060599489778,-0.9608815020619659,-62.144934941243264,-38.4575355344989,108.45776773538091
live_only,N201,50.25,249.0,115.0,-62.224690318594384,92.76466156559677,-0.022499045735636013,-39.529222420646306,-55.11587611066528,-169.70211010094232
live_only,N203,53.25,249.0,115.0,-421.93651520626594,799.4680320590613,-24.306800952253205,140.6251804625739,-1494.990811814723,11187.516391811974
live_only,N228,224.25,249.0,115.0,-207.00852817296982,1035.4185844492167,-72.89820432662964,-67.84609925746918,-236.18101248401217,-900.8254526555538
