case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,N5,-32.0,0.0,115.0,-45.1054431579247,886.0261005639004,11.181433327745681,89.246823628696,678.4468694027472,1299.5652804020785
service40,N7,-32.0,0.0,153.373,-126.58573653460189,-488.1766041641545,-16.644513436755783,634.5411624893993,-14.851328448604027,-913.335763940987
service40,N69,224.25,0.0,115.0,225.17428462612185,839.9614344682773,29.339151095082123,279.97373355961645,667.3194115723405,-1344.7355800288258
service40,N71,224.25,0.0,153.373,-53.48310478678523,-495.2255289241087,-23.876070265520454,551.1346640365759,68.99940841771709,853.9032385071117
service_patches,N5,-32.0,0.0,115.0,-49.9953021948289,885.6222596121461,11.41778409194386,89.03646110412467,692.1688115102745,1291.7520486672322
service_patches,N7,-32.0,0.0,153.373,-128.4500951458003,-489.23873176965117,-17.220556721864757,636.5603444504247,15.95571763862376,-920.2707994307806
service_patches,N69,224.25,0.0,115.0,220.61021457958367,849.8758751101034,31.117479371247516,311.09634557532274,687.979999159592,-1317.626203040693
service_patches,N71,224.25,0.0,153.373,-42.16481708320082,-503.6740010218376,-25.31470599568717,595.5125111881763,90.85604331052282,828.6633086137291
typical30,N5,-32.0,0.0,115.0,-69.34214351431481,659.657546619526,7.101816231322405,96.0661701186832,525.5252263787311,1134.345921091437
typical30,N7,-32.0,0.0,153.373,-87.26900439325541,-273.5818379379708,-11.131577847259813,383.6807532858924,-51.567258342087705,-715.6894376506461
typical30,N69,224.25,0.0,115.0,173.2533690016872,631.6677721010299,19.347668341415847,198.61793733817666,462.23126617358514,-1179.9568156094067
typical30,N71,224.25,0.0,153.373,-16.642220967946454,-275.15807884723426,-15.317906224205267,336.581209005566,96.43723766409674,562.0606039532066
storage125_sensitivity,N5,-32.0,0.0,115.0,-50.438922471395735,948.5169301380952,17.90708089869648,256.72881912093266,1204.4191250436725,1061.4206269753151
storage125_sensitivity,N7,-32.0,0.0,153.373,-255.07800630098862,-536.2817078321134,-29.862598341514452,921.6434938396367,320.1791126771542,-974.8673816306158
storage125_sensitivity,N69,224.25,0.0,115.0,329.42155244500475,928.8230974090376,50.290366930219285,551.7340523494445,1312.4997995427068,-1269.0334570306868
storage125_sensitivity,N71,224.25,0.0,153.373,-23.90462338140384,-598.4729177878623,-38.334848533493115,886.834296708471,226.5034056324368,968.6008456257031
live_only,N5,-32.0,0.0,115.0,-2.509980962639225,29.40738650818764,3.1650075378964306,78.81503781871231,247.51668322310803,-112.06841782102556
live_only,N7,-32.0,0.0,153.373,-60.466653119735135,-22.63767393180893,-6.220276704146204,135.1069756682179,157.66163319243392,-28.956042267930446
live_only,N69,224.25,0.0,115.0,49.05738659916976,41.817311567764555,9.859398484270736,127.88721916444176,303.6146290818599,35.624322343514386
live_only,N71,224.25,0.0,153.373,13.919247551193559,-48.58702414353452,-6.804129199029756,157.97629890873972,74.11978536710333,53.975388848422845
machine200,N5,-32.0,0.0,115.0,-70.22552678493086,667.4761733321736,7.95124256432759,117.42151978214874,593.8926629144232,1103.272835182508
machine200,N7,-32.0,0.0,153.373,-104.15273990308759,-279.66317532922676,-12.832859860348343,420.3203977967101,-6.87872211251275,-723.5923669240059
machine200,N69,224.25,0.0,115.0,186.15408539125679,643.0827353540759,22.035554229154574,233.4374817300961,546.1678364642988,-1170.8604761864294
machine200,N71,224.25,0.0,153.373,-11.775818557915535,-288.31033143000315,-17.15393640114532,379.5039521210992,117.73271320212453,575.9795451140164
uplift20_sensitivity,N5,-32.0,0.0,115.0,-65.34012423668732,163.54441977706747,-0.45153265451481656,48.69601716510557,112.89056198556958,537.8014535741254
uplift20_sensitivity,N7,-32.0,0.0,153.373,-0.9509723953052329,54.97322482102608,0.0780423655316526,-47.673357411813775,-99.18830013189418,-225.976114018426
uplift20_sensitivity,N69,224.25,0.0,115.0,42.21944182899518,162.3436104337857,-0.3547579543086891,12.2375391039582,11.528095887159777,-550.3204412501321
uplift20_sensitivity,N71,224.25,0.0,153.373,24.07165484483685,64.68998612420859,0.7282483013871431,-44.199988538731226,70.47653662787442,34.598703539594545
strength_screen,N5,-32.0,0.0,115.0,-80.35945855905784,921.0363067117755,12.760022282296513,156.85175785195656,871.3689683690216,1366.883570506586
strength_screen,N7,-32.0,0.0,153.373,-162.1318587282522,-450.3116112378775,-20.61269267566635,666.7643021944151,96.42448656492898,-985.3962470277742
strength_screen,N69,224.25,0.0,115.0,254.76967525319913,902.0563364184849,36.727428560149676,402.35078202805136,864.8576215808998,-1434.4789907943746
strength_screen,N71,224.25,0.0,153.373,-12.278357749900357,-481.67854957046694,-28.874757371085234,673.0151069343872,179.5957992825294,811.0460917969148
HB0.25,N5,-32.0,0.0,115.0,-75.74494928214826,660.2016585153548,7.630693765359874,112.78047802933287,626.5318916761889,1071.5339786059233
HB0.25,N7,-32.0,0.0,153.373,-103.5883003873798,-276.0420868722143,-13.028447685822416,419.28313158958053,27.94861934867339,-707.8423795823851
HB0.25,N69,224.25,0.0,115.0,168.45374882979854,644.3448620759934,22.30323211905783,235.0049013151743,574.7216253702352,-1168.2806007348486
HB0.25,N71,224.25,0.0,153.373,10.87950100378044,-285.91903178274146,-16.905477695159362,381.5860254321861,153.97235847118782,544.2098488377098
HB0.5,N5,-32.0,0.0,115.0,-78.49751520956404,658.6135522484403,7.723251166337475,114.08048408439137,629.4091326402636,1066.235989357736
HB0.5,N7,-32.0,0.0,153.373,-110.23088745236655,-275.79168043252906,-13.246964115020909,419.49618973941983,41.480815733031825,-707.9106596037674
HB0.5,N69,224.25,0.0,115.0,162.8932286010311,645.1398537868748,22.639278532701198,240.75772055836663,581.5631402155476,-1159.4320519373643
HB0.5,N71,224.25,0.0,153.373,25.835174228551857,-285.37632366043965,-17.1155650592283,390.7669559271556,162.9984091426152,516.9400427718151
HB0.75,N5,-32.0,0.0,115.0,-78.71010303703585,661.2105391571802,7.981701657710969,115.65747435006406,608.4463719974167,1082.1919985593843
HB0.75,N7,-32.0,0.0,153.373,-110.44215395950849,-277.8535634783521,-13.281663494065747,418.8546355160633,32.7774934682118,-719.4228432994269
HB0.75,N69,224.25,0.0,115.0,166.45645766587288,647.7109267753846,22.814430108964796,246.18699838388065,565.3498340257131,-1157.1547811954663
HB0.75,N71,224.25,0.0,153.373,22.695799488825685,-288.48250052494933,-17.514467731073104,401.04085413449934,151.5415798978155,518.7651559541548
HT0.25,N5,-32.0,0.0,115.0,-57.44539326739831,695.1214443268292,10.25781246914002,177.0247973414384,658.0975207491971,1083.0910918002658
HT0.25,N7,-32.0,0.0,153.373,-124.5779782382712,-296.9177599539323,-15.404764865000358,507.33518712337235,-36.5882639119257,-743.2599967871804
HT0.25,N69,224.25,0.0,115.0,241.5104483868001,649.6494882524103,24.156000099329216,247.14802077555683,630.5328003781004,-1200.1887586220853
HT0.25,N71,224.25,0.0,153.373,-59.48707674071674,-305.2677706927669,-19.00904711367297,389.0532222597785,66.86456305159261,693.1688018386554
HT0.5,N5,-32.0,0.0,115.0,-57.04425334435723,693.7481555327822,9.435601501334617,155.58714737237744,645.6373199004404,1118.968622440817
HT0.5,N7,-32.0,0.0,153.373,-121.56860832497044,-295.07158445507673,-14.625729833326522,477.14675460755086,-13.500378569496782,-762.89923469878
HT0.5,N69,224.25,0.0,115.0,243.3860556257239,653.3454300625017,24.481690068980097,261.9332420204628,622.4451138632733,-1193.1985890024662
HT0.5,N71,224.25,0.0,153.373,-64.773193816345,-309.4365992095959,-19.291561175430385,406.84108358011383,75.3883949642581,703.7519395674416
HT0.75,N5,-32.0,0.0,115.0,-56.994849905479114,685.1328271363528,8.447093653643591,129.649245201142,634.2563002674269,1124.7278130473278
HT0.75,N7,-32.0,0.0,153.373,-119.95858692633054,-287.8343353565303,-13.553139949147226,443.0238600475271,-15.520840049870632,-745.2832934786013
HT0.75,N69,224.25,0.0,115.0,233.63342589921803,650.6458280773624,24.494534407176722,270.9206080523559,596.9073710149345,-1151.054863188571
HT0.75,N71,224.25,0.0,153.373,-56.67998892682418,-305.35891792497756,-19.38848754982681,420.4753784031523,92.78159511153936,657.4421641862033
storage125_strength_sensitivity,N5,-32.0,0.0,115.0,-81.06940752559572,1021.6676883475473,23.14289268981324,425.15950384445074,1690.9699430287856,998.3527923328531
storage125_strength_sensitivity,N7,-32.0,0.0,153.373,-364.73608677057456,-525.5803407423383,-40.83996131208715,1122.8973360841815,583.1822753628614,-1072.7507571241904
storage125_strength_sensitivity,N69,224.25,0.0,115.0,428.8675969869126,1028.3719768139547,67.4040526737514,787.371123878451,1864.0897769906392,-1356.7308977887376
storage125_strength_sensitivity,N71,224.25,0.0,153.373,16.937897740896737,-633.3568420756466,-49.70698288346597,1139.1299660820894,396.6319470171701,1034.94621568468
strength_roof,N5,-32.0,0.0,115.0,-48.568853024908485,1144.5526059963936,14.336411436580665,80.51355231958706,814.7722500514412,1651.3729362011902
strength_roof,N7,-32.0,0.0,153.373,-151.3535641035302,-665.9206290437116,-20.888552441711543,823.2806433054172,-19.626353707675634,-1173.3096523565089
strength_roof,N69,224.25,0.0,115.0,271.6960308924131,1088.6405072866737,38.02408664768173,361.26725617926263,812.395164902989,-1663.1723826512555
strength_roof,N71,224.25,0.0,153.373,-71.77361359089235,-676.1700019139155,-31.471944698733598,744.1679380970019,71.44518004432126,1099.9884497332746
strength_HB0.25,N5,-32.0,0.0,115.0,-89.59992290116409,910.1439485159551,12.340224189271185,152.0686421266752,933.972860730997,1311.2119233280555
strength_HB0.25,N7,-32.0,0.0,153.373,-164.05616033436507,-445.19294525169516,-21.15957316748846,669.6853191970266,160.58515558585552,-961.2585353678851
strength_HB0.25,N69,224.25,0.0,115.0,227.4673728348784,905.6127390188425,37.51257030520882,409.4150243089077,923.3962454303952,-1430.0467211944128
strength_HB0.25,N71,224.25,0.0,153.373,26.188710650570037,-479.46125995587124,-28.693220540657247,681.8322946976523,242.0039929434055,760.8947167025447
strength_HB0.5,N5,-32.0,0.0,115.0,-94.00402842319747,907.6029784704299,12.488316030238538,154.1486518054696,938.5764464184987,1302.7351404316905
strength_HB0.5,N7,-32.0,0.0,153.373,-174.6842995737008,-444.7922949483126,-21.50919945264174,670.0262122387651,182.236669933785,-961.3677834152555
strength_HB0.5,N69,224.25,0.0,115.0,218.57054041610328,906.8847257729885,38.05024456766125,418.6195351127956,934.3426693181416,-1415.8890431728657
strength_HB0.5,N71,224.25,0.0,153.373,50.117787835824174,-478.59292695121513,-29.029360330370967,696.5217834837299,256.4456741619438,717.2630270024791
strength_HB0.75,N5,-32.0,0.0,115.0,-94.34416891447609,911.7581575359171,12.901836813010053,156.67183624243802,905.0360292473424,1328.2647552352564
strength_HB0.75,N7,-32.0,0.0,153.373,-175.02232604545165,-448.0913078181277,-21.564718461651573,668.9997254804782,168.3113541812247,-979.7872773101657
strength_HB0.75,N69,224.25,0.0,115.0,224.27170696843964,910.9984425396758,38.3304870899756,427.3063796088122,908.4013792821746,-1412.245409939264
