case,node,CAD_x_in,CAD_y_in,CAD_z_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,N5,-32.0,0.0,115.0,-109.89726484847677,698.8623614069314,7.187556326789567,-27.532817856562122,196.01607314252212,1039.4836387793753
roof_first_service,N7,-32.0,0.0,153.373,12.241504095742988,-453.8047454429891,-8.060891281087969,431.7007005983029,-160.22445889573936,-984.0902991157328
roof_first_service,N68,224.25,0.0,115.0,136.05680990452873,667.2069735327445,13.602943670263288,78.34689378731971,192.79633688385894,-1084.9924354664006
roof_first_service,N70,224.25,0.0,153.373,-38.40104910244394,-428.5846989194532,-12.729608193408593,315.27907854734576,-4.795798782188706,850.3069844228712
strength_roof_first,N5,-32.0,0.0,115.0,-128.23000186936554,923.8081311398336,10.145146861973576,-40.84392045945997,256.8348436354817,1312.4752297826492
strength_roof_first,N7,-32.0,0.0,153.373,9.682485144186693,-627.4279435255621,-11.402726149711658,606.8192271903405,-187.70883998894186,-1257.0805363572783
strength_roof_first,N68,224.25,0.0,115.0,174.4679552804494,881.6129682524445,19.189395365692576,112.09853615703015,274.4328917499145,-1377.4893564336894
strength_roof_first,N70,224.25,0.0,153.373,-55.92043849469375,-597.5772871753798,-17.931815385373145,447.5805445921223,-21.3041098753354,1129.445578482606
lateral_HX,N5,-32.0,0.0,115.0,-204.01684319640026,439.56223012532206,-1.624204304922297,-61.3902148892999,686.2281152218766,615.3452478769755
lateral_HX,N7,-32.0,0.0,153.373,186.0559633619278,-233.81057934347044,-5.579962456880672,223.15595669175127,174.401136027689,-768.6413031587389
lateral_HX,N68,224.25,0.0,115.0,-22.074316947345896,507.11986611842843,9.585177983106389,49.79136711195474,531.6222885362331,-1077.4304769131898
lateral_HX,N70,224.25,0.0,153.373,40.03519710711337,-229.19162632042642,-2.3810110925186034,93.92933360579585,453.81618273428955,658.8971545599358
strength_lateral_HX_1,N5,-32.0,0.0,115.0,-227.81965383043385,536.7480538444204,-0.9467326692887552,-62.994508927575836,714.6235509302273,790.694544995125
strength_lateral_HX_1,N7,-32.0,0.0,153.373,191.0079237013089,-283.1404039938462,-6.327312397951861,265.10690355337505,140.07598791732602,-927.3732742513663
strength_lateral_HX_1,N68,224.25,0.0,115.0,-0.4628462919513986,600.0789606910425,10.87283523263943,56.41961404667324,548.642911119732,-1256.6797465221175
strength_lateral_HX_1,N70,224.25,0.0,153.373,37.274576756059616,-273.2707418447065,-3.5987899559495813,122.36232416462931,460.6315976480055,774.4199530225136
strength_lateral_HX_-1,N5,-32.0,0.0,115.0,-57.81407645288941,629.4818293829948,9.076392231021188,43.74298031587642,-373.8783138829214,1313.4970119388065
strength_lateral_HX_-1,N7,-32.0,0.0,153.373,-131.58439648728032,-308.8174913258811,-2.640886984712245,238.3044589745592,-551.9777566952552,-977.4103790588246
strength_lateral_HX_-1,N68,224.25,0.0,115.0,259.8004909715054,515.4301752970777,4.579051751951529,23.119349312932357,-344.3954310991871,-894.3114935559352
strength_lateral_HX_-1,N70,224.25,0.0,153.373,-70.40201825001408,-255.6786446593354,-11.014556416209619,218.83356237893273,-378.84661003755997,611.8536272308215
strength_lateral_HX_2,N5,-32.0,0.0,115.0,-312.8224425196162,490.38116607883757,-5.958295121513373,-116.36325354935508,1258.8744833381281,529.2933115243746
strength_lateral_HX_2,N7,-32.0,0.0,153.373,352.3040837964828,-270.30186033218826,-8.17052510624151,278.50812584283864,486.10286022512696,-902.3547218494148
strength_lateral_HX_2,N68,224.25,0.0,115.0,-130.59451492409917,642.4033533784515,14.0197269750061,73.06974641376816,995.1620822304831,-1437.8638730008586
strength_lateral_HX_2,N70,224.25,0.0,153.373,91.11287425981224,-282.0667904359826,0.10909326539758293,74.12670505756577,880.3707014882968,855.7031159174994
strength_lateral_HX_-2,N5,-32.0,0.0,115.0,27.18871223555655,675.8487171519555,14.087954676763916,97.11172493786884,-918.1292462881112,1574.8982454111463
strength_lateral_HX_-2,N7,-32.0,0.0,153.373,-292.88055658203757,-321.6560349888583,-0.7976742752204993,224.90323668486238,-898.004629004456,-1002.4289314610377
strength_lateral_HX_-2,N68,224.25,0.0,115.0,389.932159603452,473.1057825990371,1.432160008424275,6.469216945854296,-790.9146022104293,-713.1273670721565
strength_lateral_HX_-2,N70,224.25,0.0,153.373,-124.24031575303609,-246.88259606901968,-14.722439646593747,267.06918148612834,-798.585713881661,530.5704643368343
lateral_HZ,N5,-32.0,0.0,115.0,-110.95724901263611,496.4362367131363,1.4771422465942696,-27.793943148130584,339.17219873921704,943.4756608442234
