case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,TE-P001,N50,interface_action,S2; T-SO,224.25,-63.0,120.0,2.415233950429036,-588.2421759848075,-5.149591004199233,4453.66792411084,-431.828668848404,-43.19572641900475
service40,TE-P002,N631,interface_action,S2,224.25,-63.0,122.0,1.9163916411910236,90.59378151107893,-876.4234834179932,355.1681237038284,-626.052400314063,-393.1094387385891
service40,TE-P003,N150,interior_applied_load,,224.25,-61.0,120.0,-1.7885781744553242e-10,-37.62408361514463,-1.1641532182693481e-10,-7.075868779793382e-10,2.0793322619283572e-10,-2.2737367544323206e-13
service40,TE-P004,N632,interior_applied_load,,224.25,-57.84,124.84,4.993089955254897e-11,-358.5843332487417,3.8680590187519926e-11,2.331659093246926e-10,6.19665199097803e-12,2.7694910532165446e-11
service40,TE-P005,N633,interior_applied_load,,224.25,-47.52,130.521,-7.271553846132848e-13,-361.1516880782093,8.253490500367605e-11,1.038794420665073e-09,1.0114729416144602e-11,2.39939923638817e-12
service40,TE-P006,N461,interior_applied_load,,224.25,-41.0,130.624,9.947598300641403e-14,-18.28916722869326,0.0,-9.094947017729282e-12,1.8189894035458565e-12,0.0
service40,TE-P007,N634,interior_applied_load,,224.25,-39.78,134.781,-3.44076952904632e-11,-10.26941931740473,1.0957816721931984e-10,-1.263061497243268e-09,-5.011537737357497e-11,3.4311805028377782e-12
service40,TE-P008,N635,interior_applied_load,,224.25,-37.2,136.201,2.6096776272990607e-11,-356.0169784194926,-7.095491856082554e-11,1.1829793064331788e-09,-7.580829935372944e-11,4.628938508655248e-11
service40,TE-P009,N151,interior_applied_load,,224.25,-34.273,120.0,1.0112747344945585e-12,-39.65499984931338,3.010720003294647e-11,2.3765810231312125e-10,2.7984361765299477e-11,7.026115698722695e-14
service40,TE-P010,N636,interior_applied_load,,224.25,-26.88,141.882,1.477926204955241e-11,-359.3002533228912,2.548047299742655e-10,-2.3587689889730585e-11,1.7704943980436492e-11,-1.9998673636485417e-11
service40,TE-P011,N152,interior_applied_load,,224.25,-21.0,120.0,2.1682032665430105e-08,-28.479499998842783,8.571282389428423e-08,6.52081537379136e-08,-9.213575531605417e-11,-1.247083083829214e-08
service40,TE-P012,N422,interior_applied_load,,224.25,-21.0,121.5,-8.867067157520243e-09,-6.933652492305527,-5.5845886731225e-08,7.468290424062997e-08,-6.480058786419616e-11,-1.7266917047727287e-08
service40,TE-P013,N423,interior_applied_load,,224.25,-21.0,138.671,-3.725290298461914e-09,-6.9336524941027164,0.0,0.0,-1.1641532182693481e-10,0.0
service40,TE-P014,N462,interior_applied_load,,224.25,-21.0,141.249,3.725290298461914e-09,-9.144583616405725,5.960464477539063e-08,-3.5762786865234375e-07,5.820766091346741e-10,-2.2351741790771484e-08
service40,TE-P015,N637,interior_applied_load,,224.25,-21.0,145.118,-1.2445823015161755e-08,-10.269419317821919,2.1940223529869267e-08,-1.6251170890245515e-07,4.547632683391668e-10,-7.014957554058425e-09
service40,TE-P016,N638,interior_applied_load,,224.25,-16.559,147.562,-5.7738722970420156e-11,-357.86841335927886,2.0308762428514655e-10,1.53937443522978e-12,2.0416655928857344e-11,-4.945238321699933e-11
service40,TE-P017,N639,interior_applied_load,,224.25,-6.239,153.243,7.194910083717648e-12,-359.6582133605259,3.519094060191003e-11,2.5672450695096454e-10,-2.8334514422645487e-11,-1.6885473251727207e-11
service40,TE-P018,N153,interior_applied_load,,224.25,-5.545,120.0,-1.1721308989761739e-11,-20.818875249644663,1.097786346814355e-10,-6.362475861041723e-10,1.5852219237068984e-10,-1.0402934404248823e-12
service40,TE-P019,N154,interface_action,S3,224.25,0.0,120.0,-240.43017177336242,11378.9560619056,975.7443641115169,-6898.798298529768,-917.6479734223899,-916.2383466660194
service40,TE-P020,N424,interface_action,S3,224.25,-0.0,121.5,106.11450055000647,-1927.5515103105135,-460.98728944993945,-5173.3275824852535,-169.09776854732044,-903.9060780627109
service40,TE-P021,N70,interface_action,S3,224.25,0.0,130.311,7.606650390320277e-13,-9.01856236630505,6.47474806351583e-12,-1.8477027197416902e-11,-2.0795352638884095e-13,2.231685761987527e-12
service40,TE-P022,N425,interface_action,S3,224.25,-0.0,150.796,-106.11450104446357,1892.9082170682673,460.9872899475723,-8331.756062558154,169.09776854712712,-2204.824344455679
service40,TE-P023,N71,interface_action,BR-R-main-2; S3; T-S top / segment 1,224.25,0.0,153.373,180.03967534648257,-1475.1266454318527,-335.6614823220002,7367.657947120022,440.0608139623471,3000.638641727874
service40,TE-P024,N72,interface_action,S3,224.25,0.0,156.373,0.12633132934570312,30.81687819957733,1.19122314453125,-26.473426818847656,4.335842081345618,-1.3666162490844727
service40,TE-P025,N640,interface_action,S3,224.25,-0.0,156.677,32.52025604248047,1899.2605552375317,306.63922119140625,-6907.753105163574,681.811167200096,-341.89484786987305
service40,TE-P026,N641,interior_applied_load,,224.25,4.081,158.924,2.090227653105985e-11,-349.808388833207,6.867637091182509e-10,-1.5787084857234716e-09,9.866151388897376e-11,-1.4172740298445093e-10
service40,TE-P027,N642,interior_applied_load,,224.25,6.661,160.344,5.2784091826457463e-11,-10.269419317973774,6.29426587912078e-10,-6.064044913869562e-09,-7.721561376774404e-11,-1.940563759444551e-10
service40,TE-P028,N155,interior_applied_load,,224.25,7.781,120.0,1.7552710310750392e-11,-41.98559758236555,-1.5759890126468904e-11,-4.660456033211566e-10,-8.07949253790151e-11,-5.166897947939798e-13
service40,TE-P029,N643,interior_applied_load,,224.25,14.401,164.604,3.552768565375982e-12,-361.1516880783173,1.6337255055106463e-10,4.2817635511566576e-10,-2.3108938685515418e-10,3.3386199163900504e-11
service40,TE-P030,N463,interior_applied_load,,224.25,17.438,138.411,3.979039320256561e-13,-20.478638340029022,8.640199666842818e-12,-1.4551915228366852e-11,-9.094947017729282e-13,9.094947017729282e-13
service40,TE-P031,N156,interior_applied_load,,224.25,23.182,120.0,5.305621751813955e-07,-15.428277544761816,1.4184771010552572e-09,8.519861565981413e-08,1.7840994351834963e-08,3.053179729868539e-11
service40,TE-P032,N157,interior_applied_load,,224.25,23.344,120.0,6.948985103908331e-07,-38.29559928815272,-1.1657495519106035e-09,2.6998841907966136e-07,-2.6958602621699924e-08,9.498273954069872e-12
service40,TE-P033,N644,interior_applied_load,,224.25,24.721,170.285,-8.451450041479691e-12,-358.5843332488806,2.3307813486238346e-10,-5.95392772657061e-10,-8.006209418965324e-11,2.5771787465210793e-11
service40,TE-P034,N645,interior_applied_load,,224.25,29.881,173.125,2.4244049624369914e-11,-10.269419319039757,2.954777979739941e-10,-1.9053874242850567e-10,1.0758495192071743e-10,3.1863676738471422e-12
service40,TE-P035,N464,interior_applied_load,,224.25,34.875,156.822,-1.9010965471899152e-14,-20.478638340110592,-3.352861097872631e-11,5.444442322226591e-12,-3.9925430111497686e-13,-4.2925064230774374e-13
service40,TE-P036,N646,interior_applied_load,,224.25,35.041,175.965,-2.6490947389057106e-11,-358.58433324847675,-8.698557776607743e-10,1.6462405335367858e-09,6.630115548771424e-11,-3.980351909043236e-11
service40,TE-P037,N158,interior_applied_load,,224.25,38.906,120.0,-7.313276189893796e-12,-54.728822405178676,3.220964294965972e-11,-4.9825101766091916e-11,-2.4770046894838135e-11,4.0436080342754743e-13
service40,TE-P038,N647,interior_applied_load,,224.25,45.361,181.646,8.931035186704156e-12,-361.1516880780745,3.7675614724154305e-11,4.890880210474377e-10,1.7020298803881768e-10,-8.503962076238952e-11
service40,TE-P039,N159,interior_applied_load,,224.25,51.909,120.0,8.127988847159778e-10,-15.428273525520966,-2.7565945918255234e-11,-3.758303073287711e-09,-1.0466379141463615e-09,4.4453301851281914e-13
service40,TE-P040,N465,interior_applied_load,,224.25,52.313,175.232,-3.8931265471080845e-12,-20.4786383400516,-1.6294565034973068e-11,-4.590628584705978e-11,-1.9659176098981892e-11,-6.640788236301553e-12
