case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,TN-P001,N148,interface_action,BR-N-upper-1; T-W / B-WO; W4,-32.0,249.0,115.0,-111.19601163665695,276.83770132691444,59.44349855302369,429.343232674719,-2696.782546655847,-2500.7786281433528
service40,TN-P002,N628,interface_action,BR-N-upper-2; T-W top / segment 2; W4,-32.0,249.0,226.093,106.7884338586715,48.56820109954343,-15.379192840602883,275.47714315300624,262.0350662878162,1256.033370468425
service40,TN-P003,N189,interior_applied_load,,-31.0,249.0,115.0,-1.1645084896372282e-09,-7.501450308336132,-2.042339986019215e-08,3.906370693584904e-08,-5.024247684559668e-10,1.3607177606900223e-08
service40,TN-P004,N488,interior_applied_load,,-31.0,249.0,117.5,2.4126768737051794e-08,-3.7252154039114758,2.057426076881844e-08,-1.33937743655682e-08,2.343321624706209e-11,-9.274997239289495e-09
service40,TN-P005,N489,interior_applied_load,,-31.0,249.0,144.148,3.632563947984894e-14,-7.4504308070861285,-1.1843710875489401e-14,1.1017277822316196e-12,6.127450516681863e-14,7.711141459924609e-13
service40,TN-P006,N490,interior_applied_load,,-31.0,249.0,170.797,4.8837041387639035e-14,-7.450430807086128,-1.0745815145813201e-13,-5.701619835848635e-13,-4.5706254543835035e-14,-4.711824334443094e-13
service40,TN-P007,N491,interior_applied_load,,-31.0,249.0,197.445,3.515393097043128e-14,-7.450430807085888,-9.543025825955751e-14,-2.4696829691082822e-12,1.0352841784660358e-14,-1.3229558098401107e-12
service40,TN-P008,N492,interior_applied_load,,-31.0,249.0,224.093,-5.960464477539063e-08,-3.72521540382877,2.384185791015625e-07,0.0,2.3283064365386963e-10,0.0
service40,TN-P009,N686,interior_applied_load,,-31.0,249.0,226.324,0.0,-3.1277812607586384,2.384185791015625e-07,-7.152557373046875e-07,1.909211277961731e-08,0.0
service40,TN-P010,N513,interior_applied_load,,-23.25,249.0,143.58,2.8421709430404007e-13,-8.2790074078344,2.1316282072803006e-14,-1.2732925824820995e-11,1.5347723092418164e-12,-1.0231815394945443e-12
service40,TN-P011,N190,interior_applied_load,,-21.323,249.0,115.0,3.998726814954434e-12,-74.68745577538625,6.904816345389093e-13,-1.8039690803618622e-13,-6.1295037940137136e-12,-1.6589377997963174e-12
service40,TN-P012,N687,interior_applied_load,,-18.0,249.0,229.319,1.0093347235205705e-12,-6.823118306105394,9.201362405600188e-12,1.4911379302925507e-11,2.1134672193088432e-11,1.83829075426981e-13
service40,TN-P013,N514,interior_applied_load,,-15.5,249.0,172.16,-6.40696188883343e-14,-8.27900740783602,6.717550268169333e-13,1.241416661480877e-12,4.3389306074940454e-13,-2.475224825293067e-13
service40,TN-P014,N515,interior_applied_load,,-7.75,249.0,200.739,2.473279804595545e-13,-8.279007407835314,4.615046221318686e-14,9.800659451597928e-12,-2.6165980815080314e-12,-1.7645539906514247e-12
service40,TN-P015,N191,interior_applied_load,,-3.85,249.0,115.0,3.1678549982651435e-12,-6.714053410418679,4.937766419190939e-14,4.76346080618695e-13,-7.317446780860129e-13,2.0895118369094606e-11
service40,TN-P016,N192,interior_applied_load,,0.0,249.0,115.0,-3.418311855796219e-08,-1.2220984398931165,-2.948395294577466e-07,1.1008743916463004e-09,8.261534980946239e-09,-1.359701125025481e-07
service40,TN-P017,N493,interior_applied_load,,0.0,249.0,117.5,2.3781158129473615e-08,-3.837952384485718,-1.3915831972300863e-09,-1.6665852576259835e-10,-5.865710047804877e-11,2.0537023526007984e-08
service40,TN-P018,N494,interior_applied_load,,0.0,249.0,144.955,-4.96760576930633e-15,-7.67590477156973,-3.7954448223844854e-14,-2.1231668802972997e-13,-4.648880608822241e-15,-3.602047084431225e-13
service40,TN-P019,N495,interior_applied_load,,0.0,249.0,172.41,-1.988764066677486e-14,-7.675904771568745,1.7032331354208516e-14,-1.1831318933812036e-12,-2.592222843163738e-16,7.016732876869394e-13
service40,TN-P020,N496,interior_applied_load,,0.0,249.0,199.864,-3.2351668008130125e-14,-7.675904771569212,-9.718765517600491e-14,1.2484511840609234e-12,8.966244780006613e-15,-1.2254683416581576e-13
service40,TN-P021,N497,interior_applied_load,,0.0,249.0,227.319,2.9802322387695312e-08,-3.837952386587858,-2.384185791015625e-07,0.0,0.0,-5.960464477539063e-08
service40,TN-P022,N516,interior_applied_load,,-0.0,249.0,229.319,-5.960464477539063e-08,-10.271621760446578,4.76837158203125e-07,-2.384185791015625e-07,0.0,-2.9802322387695312e-08
