case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,TS-P001,N5,interface_action,T-W / B-WO; T-W diagonal 9; T-W vertical 2; W1,-32.0,0.0,115.0,-45.1054431579247,886.0261005639004,11.181433327745681,89.246823628696,678.4468694027472,1299.5652804020785
service40,TS-P002,N7,interface_action,BR-R-main-1; T-W top / segment 1; T-W vertical 2; W1,-32.0,0.0,153.373,-126.58573653460189,-488.1766041641545,-16.644513436755783,634.5411624893993,-14.851328448604027,-913.335763940987
service40,TS-P003,N91,interior_applied_load,,-31.0,0.0,115.0,-1.2875970073133575e-08,-7.323306386193326,1.9092144414874623e-08,1.8508723732033e-09,4.768954659700916e-10,8.164717660256921e-08
service40,TS-P004,N310,interior_applied_load,,-31.0,0.0,117.5,2.0501478252617736e-08,-2.3675862420583202,1.0160063881761156e-08,1.7949858585402605e-08,-2.0359646716593376e-10,3.6972835550750166e-08
service40,TS-P005,N311,interior_applied_load,,-31.0,0.0,134.437,-3.5513823344742393e-15,-4.735172485306047,6.051189918122243e-15,3.138687836059595e-13,-1.5606176565795117e-14,-4.1804864110406654e-14
service40,TS-P006,N312,interior_applied_load,,-31.0,0.0,151.373,-1.722781286378483e-08,-2.36758624578647,9.060558997520118e-09,1.2249189829116602e-08,7.705125262181372e-12,-2.995864599453224e-08
service40,TS-P007,N556,interior_applied_load,,-31.0,0.0,153.373,2.0401738675201364e-08,-8.965190980399875,7.087472728640899e-08,-3.941248232143556e-08,4.447648719897573e-09,5.510700145088781e-08
service40,TS-P008,N92,interior_applied_load,,-21.323,0.0,115.0,2.890507411418954e-13,-30.225775253121945,5.049132625985148e-13,-8.41011090521766e-13,-2.2105560097447402e-11,-6.04585905151675e-11
service40,TS-P009,N331,interior_applied_load,,-10.146,-0.0,134.187,6.928216379863521e-13,-7.922719485490428,-1.8480836175940692e-13,4.867359520851693e-13,-2.4474408864712327e-13,-2.2918782771597475e-13
service40,TS-P010,N93,interior_applied_load,,-3.528,0.0,115.0,-2.4390447122255885e-12,-6.723893202304573,1.3062408044246773e-11,9.59630029547901e-13,4.666534318509021e-12,-2.2885252763201627e-10
service40,TS-P011,N557,interior_applied_load,,-3.528,0.0,153.373,2.5528802133701553e-13,-13.132911487196399,-5.788569510901927e-13,1.972680624566012e-13,4.910478920464447e-13,-1.348573181684529e-13
service40,TS-P012,N94,interior_applied_load,,0.031,0.0,115.0,-2.9390651178594037e-12,-26.05805479191745,1.3721122126645601e-11,1.9947567844686828e-13,-2.827830423385527e-11,-1.0434993583698251e-11
service40,TS-P013,N95,interior_applied_load,,10.708,0.0,115.0,-4.411579057617132e-08,-6.723893202637141,1.0244700643369242e-08,1.195209997639779e-08,3.77624386106484e-11,3.5055734093347724e-08
service40,TS-P014,N313,interior_applied_load,,10.708,0.0,117.5,3.3691298536764934e-08,-2.3675862403202625,8.679541497012634e-09,-3.788367356221167e-08,4.4663411087543253e-11,-3.5378610416543485e-09
service40,TS-P015,N314,interior_applied_load,,10.708,0.0,134.437,1.882371267933142e-14,-4.735172485303864,-5.4954918840971485e-14,5.325793252716314e-13,-1.366516489892247e-15,-5.6268853271005056e-14
service40,TS-P016,N315,interior_applied_load,,10.708,0.0,151.373,4.833095443822211e-08,-2.367586245164399,-4.032010780807838e-09,-1.1380351216949691e-08,3.4653448841140996e-14,-4.634569534048283e-08
service40,TS-P017,N332,interior_applied_load,,10.708,-0.0,153.373,-2.6193409561885658e-08,-16.939627156740332,-6.249592296533105e-08,-1.1347874148352616e-07,4.677356892632047e-13,3.111402134866404e-08
service40,TS-P018,N96,interior_applied_load,,21.385,0.0,115.0,-3.817502005121843e-12,-26.058054738090554,2.824597589504206e-11,-4.418738987769891e-14,6.481155727076666e-11,-5.1901400488963123e-11
service40,TS-P019,N97,interior_applied_load,,24.944,0.0,115.0,4.696014525000171e-12,-6.723893282994725,-1.6860007356223145e-11,8.549909036539915e-13,5.343731066125865e-12,8.005122457502017e-11
service40,TS-P020,N558,interior_applied_load,,24.944,0.0,153.373,-2.7823981222115153e-12,-13.447786404544596,1.4957129042791844e-12,7.569785778199028e-12,8.223000190781558e-12,1.322836076992108e-10
service40,TS-P021,N333,interior_applied_load,,32.062,0.0,134.187,-3.3944791890414743e-12,-8.02615288109879,-1.510033247321546e-13,1.4041628334987634e-13,-5.104937818257088e-12,-4.5283650013470666e-13
service40,TS-P022,N98,interior_applied_load,,42.74,0.0,115.0,-5.364031813770611e-13,-30.540650224251088,2.646508366844595e-12,-9.090322172836193e-14,-5.171374438766223e-11,8.515936628888362e-11
service40,TS-P023,N99,interior_applied_load,,53.417,0.0,115.0,-2.2069738281665753e-08,-14.750046053396835,-5.814569450931042e-09,4.022910722916755e-08,5.082114519777586e-12,5.6788372463466774e-08
service40,TS-P024,N316,interior_applied_load,,53.417,0.0,117.5,-5.879978972857926e-08,-2.3675862439211315,-1.30411864807925e-08,-3.9401900136203936e-08,1.7565240568011534e-10,-4.237137598103073e-08
