case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,TW-P001,N77,interface_action,SW0; T-SO,-32.0,-63.0,115.0,11.964661552901944,-1230.0703092656072,4459.283277263202,6179.656602923901,-319.0892958151182,-256.7167798055678
service40,TW-P002,N79,interface_action,SW0,-32.0,-63.0,117.0,-8.260245387456962,-1962.2987950044007,-4395.877484748802,-1706.2181920121075,-221.95543792699755,30.96987215648187
service40,TW-P003,N116,interior_applied_load,,-32.0,-61.0,115.0,5.2717211234746764e-12,-21.284457899014917,9.381335396537834e-11,-5.22459494832481e-10,-5.040572187343967e-11,-1.2276428319264676e-12
service40,TW-P004,N577,interior_applied_load,,-32.0,-57.84,119.979,-3.637978807091713e-12,-293.764803210659,-7.275957614183426e-12,-1.4551915228366852e-10,7.275957614183426e-12,-1.4551915228366852e-11
service40,TW-P005,N578,interior_applied_load,,-32.0,-47.52,125.937,-5.083323018268298e-13,-295.7897676365629,2.186410302090955e-12,-6.157046319955341e-11,3.235205027138048e-12,1.8052494596337728e-12
service40,TW-P006,N396,interior_applied_load,,-32.0,-41.0,128.124,8.526512829121202e-14,-10.41591579763832,-8.810729923425242e-13,-1.1823431123048067e-11,6.821210263296962e-13,-5.684341886080801e-13
service40,TW-P007,N579,interior_applied_load,,-32.0,-39.78,130.406,-2.645709930744365e-11,-8.099857703572166,-4.4433763956182204e-11,2.2063331935681244e-11,-2.3102852807229476e-11,2.1369416318902236e-11
service40,TW-P008,N580,interior_applied_load,,-32.0,-37.2,131.896,3.0063569638035054e-11,-291.73983878475724,-5.5851600368837165e-11,-3.378742806393819e-10,-8.801560016849724e-12,2.946696656030047e-11
service40,TW-P009,N117,interior_applied_load,,-32.0,-34.273,115.0,1.625280536428174e-13,-22.384999914940558,6.859515153194496e-12,-1.570188589780361e-10,1.5858893217740425e-11,-5.2657741170298026e-14
service40,TW-P010,N581,interior_applied_load,,-32.0,-26.88,137.854,-2.419279450459837e-12,-294.3294749364957,-3.160531406371756e-12,-6.755356920952896e-11,6.7662718252442076e-12,-1.704196471864723e-11
