month,tilt,kwh_per_kw,six_kw_kwh,modeled_load_kwh
1,30,117.85,707.0999999999999,850.2857142857142
2,30,120.75,724.5,768.0
3,30,149.12,894.72,850.2857142857142
4,30,148.94,893.64,822.8571428571428
5,30,144.41,866.46,850.2857142857142
6,30,138.1,828.5999999999999,896.4731000376756
7,30,137.95,827.6999999999999,1104.5062940016362
8,30,149.8,898.8000000000001,1181.5910506536304
9,30,139.58,837.48,1117.1095927502881
10,30,133.61,801.6600000000001,981.7105011539052
11,30,122.02,732.12,822.8571428571428
12,30,112.69,676.14,850.2857142857142
1,35,121.99,731.9399999999999,850.2857142857142
2,35,123.49,740.9399999999999,768.0
3,35,149.83,898.98,850.2857142857142
4,35,146.89,881.3399999999999,822.8571428571428
5,35,140.35,842.0999999999999,850.2857142857142
6,35,133.26,799.56,896.4731000376756
7,35,133.63,801.78,1104.5062940016362
8,35,146.83,880.98,1181.5910506536304
9,35,139.21,835.26,1117.1095927502881
10,35,135.74,814.44,981.7105011539052
11,35,126.11,756.66,822.8571428571428
12,35,117.27,703.62,850.2857142857142
1,40,125.34,752.04,850.2857142857142
2,40,125.49,752.9399999999999,768.0
3,40,149.7,898.1999999999999,850.2857142857142
4,40,144.03,864.1800000000001,822.8571428571428
5,40,135.57,813.42,850.2857142857142
6,40,127.86,767.16,896.4731000376756
7,40,128.77,772.6200000000001,1104.5062940016362
8,40,143.09,858.54,1181.5910506536304
9,40,138.05,828.3000000000001,1117.1095927502881
10,40,137.07,822.42,981.7105011539052
11,40,129.38,776.28,822.8571428571428
12,40,121.06,726.36,850.2857142857142
