month,normal_temperature_F,recent_temperature_F,temperature_2026_F,base_kwh,modeled_use_kwh,modeled_current_bill_usd,target_array_kwh,seven_kw_30deg_kwh,grid_import_kwh,grid_export_kwh,solar_bill_before_credit_bank_trueup
Jan,56.07290322580646,56.49709677419354,59.170967741935485,850.2857142857142,850.2857142857142,335.2925670786069,762.5235527256189,824.95,270.179626937955,211.53174587763334,65.83850354168482
Feb,56.613263546798024,56.86065270935961,60.44642857142857,768.0,768.0,304.31135428619376,826.2231174062764,845.25,182.68309262479337,227.19200046316743,44.54303237679534
Mar,58.15043010752689,57.94677419354839,64.70645161290322,850.2857142857142,850.2857142857142,335.2925670786069,1095.2894548762263,1043.84,142.43791455857829,295.63834367948436,36.77191031704015
Apr,60.121111111111105,60.656333333333336,62.95666666666667,822.8571428571428,822.8571428571428,324.9654961478025,1168.657007341953,1042.58,117.36799032896957,303.6085994162272,37.442888485669826
May,62.45376344086023,62.233225806451614,63.5,850.2857142857142,850.2857142857142,335.2925670786069,1190.020141641219,1010.8699999999999,122.38795975326848,241.32695866633105,37.017536109160375
Jun,65.16955555555556,65.90666666666667,66.17333333333333,822.8571428571428,896.4731000376756,352.6824778149741,1165.616269248262,966.7,175.02815885294024,214.95580307286687,47.381042956450756
Jul,68.92397849462364,70.08129032258064,71.41935483870968,850.2857142857142,1104.5062940016362,431.0085968263973,1151.893964004938,965.65,257.2131458230108,82.8760234635287,56.773203911415074
Aug,70.54849462365591,71.76096774193549,74.89032258064516,850.2857142857142,1181.5910506536304,460.03160853161904,1200.0,1048.6000000000001,324.7203111763683,159.4942882729958,76.84107546956254
Sep,69.97433333333333,70.98500000000001,,822.8571428571428,1117.1095927502881,435.75383703981464,1052.095380417127,977.0600000000002,302.1844007167251,124.37896324288786,72.1194318346233
Oct,66.33612903225806,67.30225806451612,,850.2857142857142,981.7105011539052,384.7750237055631,938.9643298031318,935.27,256.0371253219305,171.57291893905338,64.63801146499456
Nov,60.95544444444444,61.895999999999994,,822.8571428571428,822.8571428571428,324.9654961478025,795.6598011825092,854.1399999999999,242.6031086232453,247.73293743197075,61.92348786787632
Dec,56.140967741935484,57.688709677419354,,850.2857142857142,850.2857142857142,335.2925670786069,711.6106815671496,788.8299999999999,237.09594635144694,137.27063180262172,59.04977597948414
