tilt,solar_kw,battery_kwh,annual_solar_kwh,august_kwh,annual_import_kwh,annual_export_kwh,annual_bill,first_year_saving,roof_fits_22pct_90pct,upfront,annual_equipment,annual_net_saving,npv
30,2.0,0.0,3229.6400000000003,299.6,8071.89520852999,205.28752707571192,3318.1987788917504,985.0566812709194,True,15120.0,1166.6598445893503,-226.95561476095065,-3198.6998533934466
30,2.5,0.0,4037.05,374.50000000000006,7641.917893583794,582.7202121295151,3135.9461607098533,1167.3092994528165,True,16400.0,1263.8789899323644,-150.3131342106558,-2118.504981113424
30,3.0,0.0,4844.460000000001,449.4000000000001,7344.434637443161,1092.6469559888824,2988.4203098219214,1314.8351503407484,True,17680.0,1361.0981352753781,-106.79858501178546,-1505.2133368881232
30,3.5,0.0,5651.87,524.3000000000001,7118.202563751025,1673.8248822967464,2864.052728428992,1439.2027317336779,True,18960.0,1458.3172806183923,-85.37608819297043,-1203.2858542574713
30,4.0,0.0,6459.280000000001,599.2,6948.719067869424,2311.751386415147,2761.110782364846,1542.144677797824,True,20240.0,1555.5364259614062,-84.39278084215789,-1189.4271749637383
30,4.5,0.0,7266.6900000000005,674.1,6816.119677653793,2986.5619961995144,2671.8490590206725,1631.4064011419973,True,21520.0,1652.7555713044203,-96.45985262117097,-1359.499815691629
30,5.0,0.0,8074.1,749.0000000000001,6706.603513564246,3684.4558321099685,2591.277954145693,1711.9775060169768,True,22800.0,1749.974716647434,-116.81742289697013,-1646.4182826581064
30,5.5,0.0,8881.51,823.9000000000001,6613.635827562908,4398.89814610863,2517.2688521965547,1785.9866079661151,True,24080.0,1847.193861990448,-143.43487854058822,-2021.563226988411
30,6.0,0.0,9688.920000000002,898.8000000000002,6534.340250686464,5127.012569232187,2448.502662436108,1854.7527977265618,True,25360.0,1944.413007333462,-175.0538603440773,-2467.199403761563
30,6.5,0.0,10496.33,973.7,6466.8536878155255,5866.936006361248,2384.035539835618,1919.219920327052,True,26640.0,2041.6321526764762,-210.7739783271768,-2970.6367665079442
30,7.0,0.0,11303.74,1048.6000000000001,6408.605748644892,6616.098067190614,2342.298463668322,1960.956996494348,True,27920.0,2138.85129801949,-268.17764121036316,-3779.6808090714962
30,7.5,0.0,12111.15,1123.5000000000002,6356.987539327932,7371.889857873653,2358.5887302064307,1944.6667299562391,False,29200.0,2236.070443362504,-380.937041913244,-5368.905551878324
30,8.0,0.0,12918.560000000001,1198.4,6311.787485524006,8134.099804069728,2377.526402514494,1925.729057648176,False,30480.0,2333.289588705518,-496.22196063696447,-6993.724805671417
30,8.5,0.0,13725.97,1273.3000000000002,6272.400812464099,8902.12313100982,2398.65312106216,1904.6023391005097,False,31760.0,2430.508734048532,-613.5951409295428,-8647.975902255392
