id,y,x1,z1,x2,z2,spacing_in
ER-01,-2,247.5,100,211.5,140.79571668975677,23
ER-02,21,247.5,100,211.5,154.07477288111818,23
ER-03,44,247.5,100,211.5,167.35382907247958,23
ER-04,67,247.5,100,211.5,180.632885263841,23
ER-05,90,247.5,100,211.5,193.91194145520237,23
ER-06,113,247.5,100,211.5,207.19099764656374,23
ER-07,136,247.5,100,211.5,220.47005383792512,23
ER-08,159,247.5,100,211.5,225.75,23
ER-09,182,247.5,100,211.5,225.75,23
ER-10,205,247.5,100,211.5,225.75,23
ER-11,228,247.5,100,211.5,225.75,23
ER-12,251,247.5,100,211.5,225.75,23
