assembly,id,x1,y1,z1,x2,y2,z2,length_in,width_in,depth_in
T-E,T-E.bottom.0,211.5,-64.0,100.0,211.5,269.0,100.0,333.0,3.0,3.0
T-E,T-E.upright.7,211.5,269.0,100.0,211.5,269.0,225.75,125.75,3.0,3.0
T-E,T-E.web.4,211.5,126.0,100.0,211.5,145.145135013942,225.75,127.19905146934889,2.5,2.5
T-E,T-E.top.0,211.5,-64.0,105.0,211.5,-2.0,140.79571668975677,71.59143337951359,3.0,3.0
T-E,T-E.top.3,211.5,69.75,182.22059850411244,211.5,126.0,214.69655114602887,64.95190528383289,3.0,3.0
T-E,T-E.top.4,211.5,126.0,214.69655114602887,211.5,145.145135013942,225.75,22.106897707942277,3.0,3.0
T-E,T-E.top.6,211.5,185.0,225.75,211.5,269.0,225.75,84.0,3.0,3.0
T-E,T-E.upright.3,211.5,69.75,100.0,211.5,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T-E,T-E.upright.6,211.5,185.0,100.0,211.5,185.0,225.75,125.75,3.0,3.0
T-E,T-E.upright.2,211.5,0.0,100.0,211.5,0.0,141.95041722813605,41.95041722813605,3.0,3.0
T-E,T-E.upright.4,211.5,126.0,100.0,211.5,126.0,214.69655114602887,114.69655114602887,3.0,3.0
T-E,T-E.web.2,211.5,0.0,100.0,211.5,69.75,182.22059850411244,107.82063493772635,2.5,2.5
T-E,T-E.top.2,211.5,0.0,141.95041722813605,211.5,69.75,182.22059850411244,80.5403625519528,3.0,3.0
T-E,T-E.top.1,211.5,-2.0,140.79571668975677,211.5,0.0,141.95041722813605,2.309401076758514,3.0,3.0
T-E,T-E.web.0,211.5,-64.0,100.0,211.5,-2.0,140.79571668975677,74.21785836462071,2.5,2.5
T-E,T-E.web.1,211.5,-2.0,100.0,211.5,0.0,141.95041722813605,41.99806549848092,2.5,2.5
T-E,T-E.web.3,211.5,69.75,100.0,211.5,126.0,214.69655114602887,127.74725572314114,2.5,2.5
T-E,T-E.web.5,211.5,145.145135013942,100.0,211.5,185.0,225.75,131.91464195856693,2.5,2.5
T-E,T-E.upright.1,211.5,-2.0,100.0,211.5,-2.0,140.79571668975677,40.79571668975677,3.0,3.0
T-E,T-E.upright.0,211.5,-64.0,100.0,211.5,-64.0,105.0,5.0,3.0,3.0
T-E,T-E.upright.5,211.5,145.145135013942,100.0,211.5,145.145135013942,225.75,125.75,3.0,3.0
T-E,T-E.web.6,211.5,185.0,100.0,211.5,269.0,225.75,151.22520457913092,2.5,2.5
T-E,T-E.top.5,211.5,145.145135013942,225.75,211.5,185.0,225.75,39.854864986058004,3.0,3.0
T-N,T-N.header_vertical.6,150.125,269.0,203.25,150.125,269.0,225.75,22.5,2.5,2.5
T-N,T-N.door_header.0,81.5,269.0,192.75,113.5,269.0,192.75,32.0,3.0,3.0
T-N,T-N.upright.4,211.5,269.0,100.0,211.5,269.0,225.75,125.75,3.0,3.0
T-N,T-N.header_vertical.1,-3.3125,269.0,203.25,-3.3125,269.0,225.75,22.5,2.5,2.5
T-N,T-N.header_brace.6,150.125,269.0,203.25,180.8125,269.0,225.75,38.0522358902864,2.5,2.5
T-N,T-N.header_brace.1,-3.3125,269.0,225.75,27.375,269.0,203.25,38.0522358902864,2.5,2.5
T-N,T-N.header_vertical.3,58.0625,269.0,203.25,58.0625,269.0,225.75,22.5,2.5,2.5
T-N,T-N.header_vertical.5,119.4375,269.0,203.25,119.4375,269.0,225.75,22.5,2.5,2.5
T-N,T-N.header_brace.3,58.0625,269.0,225.75,88.75,269.0,203.25,38.0522358902864,2.5,2.5
T-N,T-N.header_brace.4,88.75,269.0,203.25,119.4375,269.0,225.75,38.0522358902864,2.5,2.5
T-N,T-N.header_brace.7,180.8125,269.0,225.75,211.5,269.0,203.25,38.0522358902864,2.5,2.5
T-N,T-N.header_lower.0,-34.0,269.0,203.25,211.5,269.0,203.25,245.5,3.0,3.0
T-N,T-N.upright.0,-34.0,269.0,100.0,-34.0,269.0,225.75,125.75,3.0,3.0
T-N,T-N.upright.1,19.5,269.0,100.0,19.5,269.0,225.75,125.75,3.0,3.0
T-N,T-N.header_brace.2,27.375,269.0,203.25,58.0625,269.0,225.75,38.0522358902864,2.5,2.5
