id,y,x1,z1,x2,z2,spacing_in
ER-01,-2,247.5,100,211.5,152.21836642056718,23
ER-02,21,247.5,100,211.5,165.49742261192856,23
ER-03,44,247.5,100,211.5,178.77647880328996,23
ER-04,67,247.5,100,211.5,192.05553499465134,23
ER-05,90,247.5,100,211.5,228.75,23
ER-06,113,247.5,100,211.5,228.75,23
ER-07,136,247.5,100,211.5,228.75,23
ER-08,159,247.5,100,211.5,228.75,23
ER-09,182,247.5,100,211.5,228.75,23
ER-10,205,247.5,100,211.5,228.75,23
ER-11,228,247.5,100,211.5,228.75,23
ER-12,251,247.5,100,211.5,228.75,23
