member,end,joint,status,connected_to,group
B-SO,start,"@-34,-63",connected,BW; SW0,Beams
B-SO,end,"@211.5,-63",connected,BE; BR-S-1; S2,Beams
B-S,start,"@-34,3",connected,BW; W1,Beams
B-S,end,"@247.5,3",connected,BEW,Beams
B-1,start,"@-34,71",connected,BW; W2,Beams
B-1,end,E-M1/B.top,connected,BEW; E-M1/B; RE-M1,Beams
B-1A,start,"@3.75,128",connected,BWI-2,Beams
B-1A,end,"@247.5,128",connected,BEW,Beams
B-2,start,"@-34,185",connected,BR-W-2; BW; W.rear.brace; W.square.brace; W3,Beams
B-2,end,E-M/B.top,connected,BEW; E-M/B; RE-M,Beams
B-N,start,"@-34,268",connected,BR-N-2; BR-W-1; BW; W4,Beams
B-N,end,"@211.5,268",connected,BE; BR-NU-2; N2,Beams
C-EN,start,"@211.5,251",connected,BE,Beams
C-EN,end,E-N.top,connected,BEW; E-N; RE-N,Beams
BW,start,"@-34,-63",connected,B-SO; SW0,Beams
BW,end,"@-34,268",connected,B-N; BR-N-2; BR-W-1; W4,Beams
BE,start,"@211.5,-63",connected,B-SO; BR-S-1; S2,Beams
BE,end,"@211.5,268",connected,B-N; BR-NU-2; N2,Beams
BWI-1,start,"@3.75,185",connected,B-2; BWI-2,Beams
BWI-1,end,"@3.75,268",connected,B-N,Beams
BWI-2,start,"@3.75,71",connected,B-1; BWI-3,Beams
BWI-2,end,"@3.75,185",connected,B-2; BWI-1,Beams
BWI-3,start,"@3.75,3",connected,B-S,Beams
BWI-3,end,"@3.75,71",connected,B-1; BWI-2,Beams
BEW,start,"@247.5,-4",declared overhang,,Beams
BEW,end,"@247.5,253",declared overhang,,Beams
SW0,start,SW0.base,ground support,,Columns
SW0,end,SW0.top,connected,R-SO; W.slope,Columns
W1,start,W1.base,ground support,,Columns
W1,end,W1.top,connected,W.slope,Columns
W2,start,W2.base,ground support,,Columns
W2,end,W2.top,connected,W.square.brace; W.top,Columns
W3,start,W3.base,connected,BR-W-1,Columns
W3,end,W3.top,connected,W.top,Columns
W4,start,W4.base,connected,BR-N-1; BR-W-2,Columns
W4,end,W4.top,connected,W.rear.brace; W.top,Columns
S1,start,S1.base,connected,BR-S-1,Columns
S1,end,S1.top,connected,R-SO,Columns
S2,start,S2.base,connected,BR-S-2,Columns
S2,end,S2.top,connected,E.slope; R-SO,Columns
S3,start,S3.base,ground support,,Columns
S3,end,S3.top,connected,E.slope; RE-S,Columns
N1,start,N1.base,connected,BR-N-2,Columns
N1,end,N1.top,connected,B-N; BR-N-1,Columns
N2,start,N2.base,ground support,,Columns
N2,end,N2.top,connected,E.rear.brace; E.top; RE-N,Columns
E-S,start,E-S.base,ground support,,Columns
E-S,end,E-S.top,connected,BEW; RE-S,Columns
E-M1/B,start,E-M1/B.base,ground support,,Columns
E-M1/B,end,E-M1/B.top,connected,B-1; BEW; RE-M1,Columns
E-M/B,start,E-M/B.base,ground support,,Columns
E-M/B,end,E-M/B.top,connected,B-2; BEW; RE-M,Columns
E-N,start,E-N.base,ground support,,Columns
E-N,end,E-N.top,connected,BEW; C-EN; RE-N,Columns
E.clerestory,start,"@211.5,71",connected,B-1; BE,Truss
E.clerestory,end,"@211.5,71,228.75",connected,E.square.brace; E.top; RE-M1,Truss
